lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model
-0.00031025,-1.952158837,-0.847769107,-1.119607083,-3.783518059,1.310571942,4.525485773,1.705916364,0,full
-0.00030884,-1.748999974,-0.67157665,-0.744183124,-4.612573326,1.320757321,4.790913476,1.687902211,0,full
-0.000310241,-1.658074199,-0.52950674,-0.486100835,-6.494402235,1.401656506,5.411653701,1.793187152,0,full
-0.000297885,-1.566397951,-0.42454725,-0.351333726,-2.512752536,0.870503157,4.174039506,1.886441599,0,full
-0.027516381,-2.208594068,-1.040212982,-1.552789335,-4.050196973,1.326567561,4.598508513,1.556682446,0,full
-0.003384857,-2.007992477,-0.84359286,-1.029455632,-3.356490662,1.13151034,4.432529485,1.449479967,0,full
-0.016383959,-1.877209794,-0.684163587,-0.697353824,-2.925287729,0.988007212,4.315325969,1.497694102,0,full
-0.043143464,-1.787974388,-0.576536657,-0.489895819,-3.219193449,0.957818286,4.475289349,1.592416333,0,full
-0.062084921,-2.414351396,-1.186461825,-1.801357744,-7.787823726,1.622366391,5.497858842,1.52002332,0,full
-0.043138442,-2.256602274,-1.020579114,-1.320351243,-2.739762739,1.033394192,4.213247744,1.454125066,0,full
-0.031311738,-2.150868245,-0.909355792,-1.002510536,-3.762888619,1.084787044,4.620452848,1.444655961,0,full
-0.047666505,-2.062577945,-0.79151608,-0.711195157,-1.791081024,0.677081433,3.843527092,1.500123587,0,full
-0.092196139,-2.666965959,-1.374654239,-2.213721782,-5.148254104,1.465623142,4.850181484,1.62936847,0,full
-0.074634808,-2.532712613,-1.206287635,-1.606147346,-6.111851095,1.377988436,5.278462211,1.627192913,0,full
-0.051624292,-2.429318719,-1.080906919,-1.225978432,-4.777479225,1.164369293,5.013602515,1.654488482,0,full
-0.063198708,-2.358093738,-0.971443903,-0.992861141,-3.866577035,1.010999099,4.744668153,1.747144287,0,full
-0.078022534,-3.01811635,-1.634840887,-4.440133441,-7.190749608,1.626226608,5.300833508,1.949228839,0,full
-0.076418181,-2.864740698,-1.481945908,-2.207963202,-3.326322679,1.149661744,4.39671169,1.983872171,0,full
-0.082492544,-2.757255195,-1.361453281,-1.557377577,-6.001982018,1.342087124,5.2848497,2.02396226,0,full
-0.110772017,-2.66964217,-1.236978581,-1.140964594,-3.266498887,1.038835729,4.422987948,2.129007536,0,full
-0.000130891,-1.957573429,-0.854254239,-0.985415113,-4.136518349,1.350397955,4.620359596,1.69628715,0,full
-0.00031025,-1.879032136,-0.764352218,-0.933764234,-3.786624974,1.267394858,4.538006115,1.722452973,0,full
-0.000310043,-1.961671853,-0.819001256,-1.211014011,-3.509878869,1.231579726,4.455212868,1.71952651,0,full
-0.000195806,-1.874780105,-0.732138371,-0.95449593,-4.260173464,1.321122873,4.669597832,1.6908294,0,full
-0.027939211,-2.205485804,-1.039762739,-1.3208781,-2.712672499,1.142104153,4.21131853,1.551432774,0,full
-0.007339632,-2.156883613,-0.973921327,-1.36274122,-3.784594268,1.281976228,4.529627231,1.447930951,0,full
-0.007525517,-2.147637455,-0.961518709,-1.376356591,-2.770076586,1.159862589,4.229395934,1.430681099,0,full
-0.009994612,-2.153568896,-0.948173726,-1.399341711,-2.537347622,1.113217035,4.153504637,1.418398532,0,full
-0.062035718,-2.419601953,-1.198397518,-1.566251971,-3.42761258,1.267730867,4.415281404,1.515444542,0,full
-0.043139925,-2.369583864,-1.139134658,-1.594495481,-3.692949263,1.296932504,4.489605716,1.464800476,0,full
-0.047332794,-2.371951791,-1.133905833,-1.659046449,-3.018893346,1.212236151,4.295924162,1.458373356,0,full
-0.04734752,-2.367392645,-1.096299398,-1.659546366,-2.5750881,1.147217486,4.159652861,1.457981505,0,full
-0.092347657,-2.668612196,-1.376472645,-1.813575715,-3.677324446,1.313582869,4.479527436,1.615939356,0,full
-0.079201784,-2.612290405,-1.326993464,-1.830686661,-3.644031406,1.310092857,4.470249798,1.614685893,0,full
-0.065905794,-2.609720047,-1.272658798,-1.879028902,-4.887711952,1.443369726,4.78673347,1.61814456,0,full
-0.068396125,-2.615207739,-1.29688191,-1.938375312,-5.213015531,1.468823373,4.867865961,1.618093957,0,full
-0.075634862,-3.019753251,-1.63971783,-3.032324495,-5.630419475,1.5076958,4.950922632,1.911189684,0,full
-0.075206392,-2.982895035,-1.585279068,-2.842338244,-2.46800955,1.127065305,4.120494872,1.942157804,0,full
-0.075864663,-2.965991719,-1.558218161,-3.032057392,-6.239037493,1.539158227,5.112287732,1.962976702,0,full
-0.074653928,-2.966363976,-1.503033629,-3.167315758,-5.17668199,1.475875281,4.848441782,1.989591003,0,full
-0.000310184,-1.873250671,-0.755809365,-0.22545733,-0.178970152,0.488094458,3.138760592,1.632080012,0,full
-0.000290148,-1.816777025,-0.709091979,-0.239798355,0.198143197,-0.055720589,2.571671764,1.676325489,0,full
