lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,bias,xc,phi,epsilon
0,-1.947398164,-0.843094682,-1.101810337,-9.581016034,1.737348001,5.857992418,1.702865766,0,reduced,full,0,0,0
0,-1.752951286,-0.674045397,-0.753059313,-8.186091616,1.586981634,5.702895273,1.686432844,0,reduced,full,0,1,0
0,-1.657164171,-0.52729016,-0.486800734,-5.35858322,1.299039639,5.10098685,1.7917167,0,reduced,full,0,2,0
0,-1.564007434,-0.423148985,-0.34894409,-4.466764114,1.128131928,4.926606197,1.884009012,0,reduced,full,0,3,0
0,-2.217480494,-1.046845063,-1.646395393,-5.789820473,1.501029604,5.022715865,1.66566205,0,reduced,full,0,0,0.25
0,-2.021139694,-0.855308504,-1.074701259,-7.645914019,1.511919991,5.648466664,1.437461869,0,reduced,full,0,1,0.25
0,-1.906297383,-0.707995207,-0.744825265,-5.895006818,1.296645269,5.335135639,1.495295502,0,reduced,full,0,2,0.25
0,-1.813246644,-0.600643277,-0.545770445,-7.511739156,1.337414352,6.042124903,1.614257417,0,reduced,full,0,3,0.25
0,-2.428999233,-1.188417794,-1.994263963,-10.66501218,1.77584273,6.097051541,1.871220465,0,reduced,full,0,0,0.5
0,-2.308591293,-1.03942755,-1.53718441,-13.3017854,1.745986723,7.153943939,1.630780831,0,reduced,full,0,1,0.5
0,-2.194643393,-0.888150195,-1.08086572,-8.799083173,1.471794958,6.242329552,1.635937791,0,reduced,full,0,2,0.5
0,-2.082902697,-0.763494611,-0.788479645,-6.428135004,1.251877009,5.693149548,1.767299501,0,reduced,full,0,3,0.5
0,-2.693245312,-1.410541655,-2.918249168,-11.85911776,1.798776762,6.417596141,2.145567899,0,reduced,full,0,0,0.75
0,-2.565154905,-1.206534686,-1.832227229,-6.432555035,1.392117633,5.382526785,2.02740007,0,reduced,full,0,1,0.75
0,-2.461767403,-1.087422091,-1.350363748,-12.24734924,1.610713402,7.338053837,2.05909263,0,reduced,full,0,2,0.75
0,-2.36907708,-0.968899689,-1.023819658,-5.635228339,1.173513431,5.443543892,2.150301022,0,reduced,full,0,3,0.75
0,-3.012504113,-1.626843976,-126.7403542,-15.18658264,1.908564162,7.137211769,2.602065725,0,reduced,full,0,0,1
0,-2.886828217,-1.455659517,-2.366481208,-10.70254034,1.618029045,6.5856178,2.545777422,0,reduced,full,0,1,1
0,-2.798704153,-1.33711685,-1.691316956,-10.28867996,1.519818028,6.787909462,2.628899949,0,reduced,full,0,2,1
0,-2.730400772,-1.256351665,-1.422347946,-5.726704012,1.162853724,5.51877035,2.731789673,0,reduced,full,0,3,1
0,-1.94797047,-0.8435917,-1.103511623,-7.844564396,1.642434995,5.493244583,1.703192385,0,reduced,stages,0,0,0
0,-1.750975211,-0.673009098,-0.748626727,-6.161014883,1.453761489,5.203490777,1.68704268,0,reduced,stages,0,1,0
0,-1.657525717,-0.526952276,-0.486678281,-5.435468248,1.304370324,5.125846932,1.791713671,0,reduced,stages,0,2,0
0,-1.564162503,-0.423279647,-0.34923088,-4.348298518,1.115886271,4.883992553,1.884243127,0,reduced,stages,0,3,0
0,-2.212264,-1.043981392,-1.64508406,-7.003799083,1.570755892,5.322928249,1.666217077,0,reduced,stages,0,0,0.25
0,-2.018243914,-0.853476932,-1.075413388,-8.633009866,1.581651484,5.86798843,1.436894584,0,reduced,stages,0,1,0.25
0,-1.916605864,-0.706931307,-0.743416439,-8.487548929,1.469099746,6.117271269,1.490002609,0,reduced,stages,0,2,0.25
0,-1.8133941,-0.594756807,-0.546340122,-6.589088064,1.275391401,5.728830022,1.613104471,0,reduced,stages,0,3,0.25
0,-2.430294896,-1.186050079,-1.958465587,-4.54242262,1.376476853,4.722180025,1.887314898,0,reduced,stages,0,0,0.5
0,-2.309982887,-1.040801857,-1.545145091,-6.146286909,1.37873641,5.28953944,1.645188856,0,reduced,stages,0,1,0.5
0,-2.193999681,-0.887491669,-1.078980521,-8.957430283,1.479692745,6.291369733,1.635141881,0,reduced,stages,0,2,0.5
0,-2.082262112,-0.761716651,-0.780101061,-9.279553565,1.421799084,6.684852881,1.75936717,0,reduced,stages,0,3,0.5
0,-2.718611419,-1.412141964,-3.136526312,-6.965132074,1.532588929,5.356623045,2.164228109,0,reduced,stages,0,0,0.75
0,-2.569079435,-1.208316401,-1.842140677,-7.180183222,1.443262299,5.593632461,2.02433875,0,reduced,stages,0,1,0.75
0,-2.470518762,-1.084925874,-1.351371676,-6.857737248,1.332838205,5.701780739,2.070137287,0,reduced,stages,0,2,0.75
0,-2.36754788,-0.969933313,-1.017555673,-7.19056453,1.286754518,6.012059001,2.144159599,0,reduced,stages,0,3,0.75
0,-3.01250608,-1.623113009,-5.721431201,-25.52279909,2.164899038,9.147512031,2.600636896,0,reduced,stages,0,0,1
0,-2.885910177,-1.455877529,-2.371169847,-10.02444214,1.587141434,6.40377096,2.546264884,0,reduced,stages,0,1,1
0,-2.800745703,-1.34179105,-1.706855222,-8.955387904,1.457632396,6.362890292,2.637482374,0,reduced,stages,0,2,1
0,-2.73235985,-1.256583681,-1.425313865,-6.261313838,1.203140111,5.724702402,2.73004916,0,reduced,stages,0,3,1
0,-1.881010069,-0.768832079,-0.125191273,0.111237952,0.204200244,2.829745216,1.62681167,0,reduced,full,0.5,0,0
