lA,BN,BA,c,m,s,P0,fit,con,model,epsilon,frac,meas.late
-0.000310248,-1.883511515,-0.767604647,-0.122803896,0.098471012,0.222202932,2.848386793,1.625864955,0,full,0,0,0.4665165
-0.016447655,-2.193653765,-1.029266832,-0.673903208,-2.49495117,1.199936071,4.15329762,1.473921174,0,full,0.25,0,0.4665165
-0.04734797,-2.429869414,-1.208207706,-1.050924143,-2.050328141,1.093502332,3.995337501,1.477702315,0,full,0.5,0,0.4665165
-0.059734357,-2.6806918,-1.392957573,-1.31300731,-3.1222348,1.278684768,4.321833416,1.638178696,0,full,0.75,0,0.4665165
-0.075290289,-3.017473633,-1.635088553,-2.104043352,-2.647420695,1.19219623,4.183042535,1.915969377,0,full,1,0,0.4665165
-0.000310248,-1.883511515,-0.767604647,-0.122803896,0.098471012,0.222202932,2.848386793,1.625864955,0,full,0,0.031,0.4665165
-0.013519325,-2.204490925,-1.034215994,-0.723706345,-3.769277978,1.439480845,4.497789239,1.455355273,0,full,0.25,0.031,0.470650997
-0.041585002,-2.456606968,-1.236029382,-1.22013578,-2.66245316,1.326029115,4.215907116,1.458284763,0,full,0.5,0.031,0.474785494
-0.053482957,-2.72127128,-1.44484766,-1.812751962,-5.749485932,1.752013053,4.87405321,1.606489125,0,full,0.75,0.031,0.478919991
-0.073590061,-3.041415061,-1.649430899,-4.146264528,-3.887499168,1.582469176,4.51658973,1.887483904,0,full,1,0.031,0.483054489
-0.000310248,-1.883511515,-0.767604647,-0.122803896,0.098471012,0.222202932,2.848386793,1.625864955,0,full,0,0.1,0.4665165
-0.01354777,-2.212046677,-1.052424458,-0.797129803,-1.403245058,1.212755271,3.922299155,1.423983777,0,full,0.25,0.1,0.479853588
-0.040953132,-2.492319717,-1.288337757,-1.794617698,-1.503874559,1.596983879,4.216877166,1.41306148,0,full,0.5,0.1,0.493190675
-0.058906058,-2.739830614,-1.511592329,-3.345294773,4.688354872,2.986448069,5.547152197,1.58074982,0,full,0.75,0.1,0.506527763
-0.119530608,-2.992830712,-1.730914775,-11.64225561,0.840008281,0.579249501,3.152959691,2.084837701,0,full,1,0.1,0.51986485
