lA,BN,BA,c,m,s,P0,fit,con,model,epsilon,frac,meas.late
0,-1.947398164,-0.843094682,-1.101810337,-9.581016034,1.737348001,5.857992418,1.702865766,0,reduced,0,0,0.4665165
0,-2.217480494,-1.046845063,-1.646395393,-5.789820473,1.501029604,5.022715865,1.66566205,0,reduced,0.25,0,0.4665165
0,-2.428999233,-1.188417794,-1.994263963,-10.66501218,1.77584273,6.097051541,1.871220465,0,reduced,0.5,0,0.4665165
0,-2.693245312,-1.410541655,-2.918249168,-11.85911776,1.798776762,6.417596141,2.145567899,0,reduced,0.75,0,0.4665165
0,-3.012504113,-1.626843976,-126.7403542,-15.18658264,1.908564162,7.137211769,2.602065725,0,reduced,1,0,0.4665165
0,-1.947398164,-0.843094682,-1.101810337,-9.581016034,1.737348001,5.857992418,1.702865766,0,reduced,0,0.031,0.4665165
0,-2.236556656,-1.068409958,-0.898398646,-6.664607759,1.685222684,5.111172317,1.492655285,0,reduced,0.25,0.031,0.470650997
0,-2.451692614,-1.219309045,-1.150934809,-16.14411327,2.14903196,6.573146642,1.625379506,0,reduced,0.5,0.031,0.474785494
0,-2.741738542,-1.433678397,-2.059378701,-6.844942818,1.756782439,5.097125047,1.935810445,0,reduced,0.75,0.031,0.478919991
0,-3.044664464,-1.650862567,-3.494154303,-19.47069939,2.285019804,6.882102856,2.484642237,0,reduced,1,0.031,0.483054489
0,-1.947398164,-0.843094682,-1.101810337,-9.581016034,1.737348001,5.857992418,1.702865766,0,reduced,0,0.1,0.4665165
0,-2.265022665,-1.097259306,-1.067291772,-5.725519372,1.782476546,4.875710233,1.441313235,0,reduced,0.25,0.1,0.479853588
0,-2.504961289,-1.281109746,-1.854201946,-9.208622961,2.289018889,5.312940451,1.541795006,0,reduced,0.5,0.1,0.493190675
0,-2.761891333,-1.494006661,-14.45509469,9.286512845,4.485456005,7.030674328,1.990330342,0,reduced,0.75,0.1,0.506527763
0,-3.016996691,-1.655780281,-20.66212161,14.85073099,2.73729853,5.724438813,2.901991849,0,reduced,1,0.1,0.51986485
0,-1.947398164,-0.843094682,-1.101810337,-9.581016034,1.737348001,5.857992418,1.702865766,0,reduced,0,0.2,0.4665165
0,-2.276448199,-1.12081893,-1.289577107,-2.977817784,1.930383578,4.604024995,1.378499035,0,reduced,0.25,0.2,0.493190675
0,-2.52793204,-1.3185353,-4.652566557,14.83793206,2.451312323,5.755268041,1.493173123,0,reduced,0.5,0.2,0.51986485
