"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.41046695060614,-0.868463801710668,-11.2918518296226,1.26574788366356,0.363780638263876,3.10427472406578,3.74223979708634,0,"reduced",0.25,0.8,1
0,-2.40902661799172,-0.876717742783805,-11.4611118593516,1.2624247210306,0.361356654182546,3.10138833985713,3.67085664842531,0,"reduced",0.25,0.8,2
0,-2.4090179910605,-0.885009682975527,-11.2203125358804,1.26201730843053,0.361253022500577,3.10114743456736,3.60004218505001,0,"reduced",0.25,0.8,3
0,-2.40666686374038,-0.893476471273513,-19.1860020691465,1.2421341228147,0.346870001770071,3.08385977403177,3.52986211230365,0,"reduced",0.25,0.8,4
0,-2.40916826084986,-0.90171665477884,-15.898850800747,1.26295597891657,0.361880358345224,3.10192619309437,3.45974678103733,0,"reduced",0.25,0.8,5
0,-2.40888213495891,-0.910067235279107,-25.153491230453,1.2607526442246,0.360356178913791,3.10006514927066,3.39030835810973,0,"reduced",0.25,0.8,6
0,-2.40639556022939,-0.918275021241117,-12.231951250637,1.23870239338025,0.345097427531749,3.08127965408659,3.32136429533679,0,"reduced",0.25,0.8,7
0,-2.40484375308841,-0.926559634751873,-12.5982181117446,1.2255619555173,0.335736095108723,3.06984852657833,3.25281636568702,0,"reduced",0.25,0.8,8
0,-2.41050763455356,-0.935210609133974,-26.5702065394783,1.27712501288923,0.371432551226954,3.11374873752618,3.18452797304869,0,"reduced",0.25,0.8,9
0,-2.41049848123169,-0.943581699070636,-13.6235100424734,1.27925003523564,0.37285036362218,3.11550798854894,3.116886302233,0,"reduced",0.25,0.8,10
0,-2.40578428537726,-0.951669042357314,-10.4279664028112,1.23332449908063,0.34131354738477,3.07664308179598,3.04970636640945,0,"reduced",0.25,0.8,11
0,-2.40079710697303,-0.959788539042349,-14.7943047938231,1.19324750960072,0.31202914533536,3.04106051581478,2.98283965837147,0,"reduced",0.25,0.8,12
0,-2.41063517516732,-0.968716338518933,-12.7241084748218,1.28528287204695,0.376822427680809,3.1204628210868,2.91652192951636,0,"reduced",0.25,0.8,13
0,-2.40768353258431,-0.976876575680954,-11.1186393966603,1.24994581250309,0.352957798632254,3.09092620367001,2.85025729613744,0,"reduced",0.25,0.8,14
0,-2.39712366204781,-0.98468290563289,-9.9640217885389,1.16608409354831,0.291212069551761,3.01603024084318,2.78496049919153,0,"reduced",0.25,0.8,15
0,-2.40655812713841,-0.993574348702008,-15.4116454606807,1.24001132381734,0.346013215633177,3.08240392147154,2.71940818759173,0,"reduced",0.25,0.8,16
0,-2.39373927309201,-1.00131554925237,-12.8156001369232,1.14337550300783,0.272932870262892,2.99432047234696,2.65484784542095,0,"reduced",0.25,0.8,17
0,-2.41026931488743,-1.01050563632883,-12.4856371569669,1.27039303283276,0.36691982548964,3.10815589963576,2.59023214495162,0,"reduced",0.25,0.8,18
0,-2.4029426824654,-1.01852832033521,-13.3181851772272,1.20980289134662,0.324338939682699,3.05595850688982,2.52630480297957,0,"reduced",0.25,0.8,19
0,-2.40619291677271,-1.02721595866545,-11.8342435902417,1.2365545726734,0.343585902251844,3.07942706364951,2.46276696468631,0,"reduced",0.25,0.8,20
0,-2.39633205856125,-1.03496115270749,-13.6239172428681,1.16071738479476,0.286953755190064,3.01094881787337,2.39959794003087,0,"reduced",0.25,0.8,21
0,-2.4091308795905,-1.04402421428797,-12.5068976069319,1.26311777952787,0.361993254716875,3.10206469721432,2.33669513322946,0,"reduced",0.25,0.8,22
0,-2.40414753468728,-1.05215471405127,-11.7763887335808,1.21973420868002,0.33156761935606,3.06475014298838,2.27435258238539,0,"reduced",0.25,0.8,23
0,-2.39128981408459,-1.0598927860825,-20.1471751276234,1.12747004007853,0.259944238370122,2.97887811735569,2.21241434545827,0,"reduced",0.25,0.8,24
0,-2.41016011071147,-1.069810673871,-9.29585669590284,1.3429559688526,0.412158530270614,3.16547053256865,2.15401210050574,0,"reduced",0.25,0.8,25
0,-2.40555487523648,-1.07874629817877,-82.754863405505,1.40881243435977,0.433369292037033,3.20113177139468,2.10486457886671,0,"reduced",0.25,0.8,26
0,-2.40565462262828,-1.08716724760348,-86.7620462496338,1.41441887110188,0.437026085681454,3.20565218850039,2.06096283098227,0,"reduced",0.25,0.8,27
0,-2.40565339029455,-1.09557477704094,-35.9990918205567,1.4140434171176,0.436815704307466,3.20537413001695,2.01735681524087,0,"reduced",0.25,0.8,28
0,-2.40569553117917,-1.10401988905728,-13.8226142195996,1.41630410038204,0.438299532189656,3.20720173954445,1.97407888774182,0,"reduced",0.25,0.8,29
0,-2.40816444076487,-1.11242858146517,-16.705052111154,1.55278027935165,0.522512121094969,3.31165866427035,1.93210884557389,0,"reduced",0.25,0.8,30
0,-2.40584265777998,-1.1202048845125,-13.2723984629058,1.42834767531318,0.448304760828129,3.21797682053228,1.89248007211695,0,"reduced",0.25,0.8,31
