"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-3.936647042291e-08,-2.33576294521993,-1.27454524895983,-14.9373272857536,1.66273989395783,0.488670043387759,3.3149843180203,1.55349666059822,0,"full",0.25,0.8,1
-0.00107095279289974,-2.34887115017692,-1.27087193527622,-16.215187170921,2.4471638756886,0.73042827516506,3.73426478372111,1.41639608364264,0,"full",0.25,0.8,2
-6.77423696316143e-09,-2.34971579058588,-1.26365832635674,-30.4610733446984,6.01332978251633,1.22337347411218,5.09266679666891,1.29474958468329,0,"full",0.25,0.8,3
-0.00107397390391088,-2.36257336747248,-1.2662348143401,-15.7957511794367,7.33007342820722,1.33021080749387,5.51391687062602,1.20117764302416,0,"full",0.25,0.8,4
-0.00197047106786287,-2.38822744613406,-1.26725911692211,-96.9460315243259,6.42928204694595,1.26047904444458,5.22685660083355,1.12364084713932,0,"full",0.25,0.8,5
-0.00107359632886581,-2.41055678037001,-1.26404632690218,-18.190971580209,8.42630860603405,1.39390184102939,5.87788855010398,1.04532089854463,0,"full",0.25,0.8,6
-0.00107066328190804,-2.42578192547013,-1.25450083616015,-7.17722754997616,7.33015019044328,1.29649898617909,5.58491055580155,1.00421728949778,0,"full",0.25,0.8,7
-0.00108328232220035,-2.51486992044806,-1.24841203055969,-4.33817999062094,6.83381832323562,1.29229035573968,5.34831684439498,1.01339031281819,0,"full",0.25,0.8,8
-0.00217334181641741,-2.54707461295994,-1.25035083122031,-36.1078446750376,6.54213042815165,1.24383877920367,5.30151645833669,1.03357552008052,0,"full",0.25,0.8,9
-0.00184355193272016,-2.56349383286653,-1.24543280056882,-4.93811522540545,5.21541785785298,1.09107505938607,4.88422252030457,1.07372070834611,0,"full",0.25,0.8,10
-0.00108629779523513,-2.58157028193179,-1.23975687462356,-3.68323129941428,3.97285703740719,0.937980208250036,4.40311126274698,1.13346332007435,0,"full",0.25,0.8,11
-0.00944794032117318,-2.587858276256,-1.24521951874495,-2.76996077697407,5.09568679682278,1.07665356770419,4.84258223012638,1.19365539773202,0,"full",0.25,0.8,12
-0.0279654560568952,-2.60202512497774,-1.2672226095555,-2.20700705426544,5.93840061209584,1.15952606093049,5.15382593259059,1.25750116915265,0,"full",0.25,0.8,13
-0.0333196910129445,-2.5934651477039,-1.2534953972478,-1.83026889660935,3.41215691439576,0.847074063420622,4.16957326194351,1.32482160256841,0,"full",0.25,0.8,14
-0.0429957591776325,-2.60547204659349,-1.2472509609329,-1.62204914517481,2.04224568945689,0.531923514413264,3.49206075608294,1.39472861682502,0,"full",0.25,0.8,15
-0.0549288232415572,-2.61860885512942,-1.23904795523495,-1.43074523118395,1.39351074593462,0.262858381584219,3.0581992885088,1.46471468079827,0,"full",0.25,0.8,16
-0.0668759060897345,-2.63098500653721,-1.23079641313002,-1.27833674004545,1.13197226702158,0.0932281836559821,2.82751027727133,1.53126765875887,0,"full",0.25,0.8,17
-0.079007350932852,-2.63545622835748,-1.22245403319706,-1.15103232403378,1.00382289098821,-0.0184926643856072,2.68932480040489,1.59824167559148,0,"full",0.25,0.8,18
