"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.000973771373181254,-2.33500709226465,-1.27324285277596,-37.341512927251,1.67145864604276,0.490740848652255,3.31960452419659,1.55301681670861,0,"full",0.25,0.8,1
-0.00107074035481332,-2.34941489688323,-1.27379261106596,-10.277958181907,2.39173169529919,0.724446891658458,3.7104426122221,1.5486960413597,0,"full",0.25,0.8,2
-0.00216669468828193,-2.35466945916577,-1.27704667160535,-10.4183497613897,2.42881488077412,0.735897127082638,3.72910702740002,1.54715344543894,0,"full",0.25,0.8,3
-0.0048853137505493,-2.35192692391542,-1.28182584413372,-8.69566168207816,2.2988728714464,0.700648654052363,3.66553652257396,1.54864871308609,0,"full",0.25,0.8,4
-0.007108648886551,-2.34883592797379,-1.28468279904644,-10.155062374897,1.94856422723089,0.593085241199625,3.48204238500232,1.55079900962146,0,"full",0.25,0.8,5
-0.0103046958497436,-2.35225175762058,-1.29174728853421,-7.76546142668896,2.02764962958806,0.615753621496461,3.52365173240666,1.55692361591565,0,"full",0.25,0.8,6
-0.0130953410366416,-2.34151087429228,-1.29638226635574,-7.39083956908649,1.69650004353418,0.493377841595292,3.33044662180158,1.5580512122968,0,"full",0.25,0.8,7
-0.0154148862565388,-2.34064055340415,-1.30076093169136,-11.8538466838777,1.69626378505829,0.490779643304901,3.32850001961586,1.55746866163616,0,"full",0.25,0.8,8
-0.0178442793924745,-2.33615416980093,-1.3048220977492,-8.95061394932625,1.59495896709252,0.444590228464795,3.26140931929001,1.559317212355,0,"full",0.25,0.8,9
-0.0199027626976462,-2.33037399898922,-1.30935547671822,-8.56451813550681,1.53847172982512,0.418528919712679,3.22326891461331,1.56196369992618,0,"full",0.25,0.8,10
-0.0221714794623918,-2.33497511593598,-1.31357177164471,-8.42928485323383,1.56183325851581,0.427117480478747,3.23757495097193,1.5645851334238,0,"full",0.25,0.8,11
-0.0244405863975664,-2.32804852723624,-1.31889376053857,-8.57306505106263,1.41484329294443,0.344535104544339,3.12870441466733,1.56674077744614,0,"full",0.25,0.8,12
