"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.33312006866204,-1.27430250406582,-12.5970023487403,1.55898011214872,0.443989030507112,3.2482305851308,1.55281280644499,0,"reduced",0.25,0.8,1
0,-2.33688559439355,-1.27474243601722,-18.9045293389564,1.61430636985772,0.469637006207811,3.28519965964904,1.5536652118757,0,"reduced",0.25,0.8,2
0,-2.34163526325094,-1.27475206344281,-18.0636611695058,1.718538777729,0.513835187322883,3.35118262606146,1.55457359555833,0,"reduced",0.25,0.8,3
0,-2.34663399270311,-1.27462761901307,-12.9529967566061,1.85845934976957,0.567475003317608,3.43440899489582,1.5555038106836,0,"reduced",0.25,0.8,4
0,-2.35205241345193,-1.27430152787611,-14.2049369438253,2.06867561505944,0.638299197992991,3.55027198750372,1.55650202741097,0,"reduced",0.25,0.8,5
0,-2.3537232983948,-1.27484004368168,-17.1052818749958,2.11344955660388,0.651983005682791,3.57371841218278,1.55791882085174,0,"reduced",0.25,0.8,6
0,-2.3568569768265,-1.27482129461952,-11.4778465027069,2.28240773713059,0.700529682464138,3.65917477634331,1.55939661237607,0,"reduced",0.25,0.8,7
0,-2.3597312085943,-1.27492113244103,-13.4015555410806,2.46299271526415,0.747685004175852,3.74598137237005,1.56082642207055,0,"reduced",0.25,0.8,8
0,-2.3610668187022,-1.275119926551,-10.4136885717638,2.55302143425882,0.769102596104556,3.78762437422689,1.56319301602226,0,"reduced",0.25,0.8,9
0,-2.36260287341938,-1.27606126120749,-15.1833093661006,2.56235024508574,0.771832011795637,3.79205482324046,1.56629477095027,0,"reduced",0.25,0.8,10
0,-2.3627843868548,-1.27694559663331,-33.3939686382221,2.48237754410848,0.752439407927261,3.75509366762354,1.5693431109192,0,"reduced",0.25,0.8,11
0,-2.36382046581051,-1.27777040130682,-17.7180955524816,2.4930455987296,0.754986908293421,3.76009148936299,1.57248068530065,0,"reduced",0.25,0.8,12
0,-2.36390911017084,-1.27856105030813,-29.5314443730369,2.41112784988074,0.734508833524134,3.72154386960921,1.5754166660927,0,"reduced",0.25,0.8,13
0,-2.36507437002161,-1.27933848449227,-11.0273234180099,2.43804196205938,0.741338793103454,3.73431149063264,1.57845882263279,0,"reduced",0.25,0.8,14
0,-2.36558083223806,-1.28015466399433,-24.3672698539563,2.40338192599544,0.732498326310951,3.71787999416153,1.58128307147596,0,"reduced",0.25,0.8,15
0,-2.36564776349983,-1.28092199074117,-13.5740370605954,2.32910343933123,0.713028940416397,3.68213480139031,1.58410257333551,0,"reduced",0.25,0.8,16
0,-2.36635948003916,-1.28177478045101,-13.0686003674017,2.32428350269768,0.711647768582878,3.67977119107182,1.5868290129638,0,"reduced",0.25,0.8,17
0,-2.36698384679428,-1.28252942443994,-10.607408904291,2.29940823940573,0.70500951272596,3.66765377582413,1.58962626575417,0,"reduced",0.25,0.8,18
0,-2.36732250928963,-1.28317169370971,-20.3464721101265,2.26112008272511,0.694495652553242,3.64877849404958,1.59233498689774,0,"reduced",0.25,0.8,19
0,-2.3695339147878,-1.28342954793887,-12.8451949655745,2.39044151459406,0.729100890632069,3.71175512943211,1.59552106589789,0,"reduced",0.25,0.8,20
0,-2.37090164068487,-1.28362131097351,-11.1922908031755,2.4503197207181,0.744339500776277,3.74017534162623,1.59864454047165,0,"reduced",0.25,0.8,21
0,-2.37257546299613,-1.28382605467645,-19.0782040148141,2.5588137192197,0.770733333841911,3.79054953505209,1.60168755037815,0,"reduced",0.25,0.8,22
0,-2.37389586592029,-1.2837782420432,-14.3283259121452,2.61610283572091,0.784268960510917,3.81666741193842,1.60490635650625,0,"reduced",0.25,0.8,23
0,-2.37616527000643,-1.28438655028346,-13.2898129857217,2.819411650349,0.829258009247406,3.90661330437849,1.60756783957572,0,"reduced",0.25,0.8,24
0,-2.37814561065829,-1.28459206804133,-12.9808092079897,3.03395328713397,0.872597571071737,3.99763822126838,1.61070123553405,0,"reduced",0.25,0.8,25
0,-2.37977614390628,-1.28473218732937,-16.4772980571306,3.18298143403857,0.900812611084109,4.05886776629501,1.61344235491933,0,"reduced",0.25,0.8,26
0,-2.38140734039361,-1.28494756687162,-11.6993349218669,3.38073548907244,0.935719297481198,4.13794476588064,1.61637178210386,0,"reduced",0.25,0.8,27
0,-2.38265860577583,-1.28524090656565,-14.5080406583859,3.52739608580464,0.96021659459702,4.19507849638694,1.61902094145698,0,"reduced",0.25,0.8,28
0,-2.38399432269481,-1.28535739918841,-10.4663285825878,3.66936548958417,0.982880990326569,4.24930437611414,1.62181843160263,0,"reduced",0.25,0.8,29
0,-2.38549429902359,-1.28557180395602,-16.2885546817298,3.90537485049794,1.0183342006241,4.33742331480347,1.62443541427163,0,"reduced",0.25,0.8,30
0,-2.38735675456737,-1.28582195110231,-54.072751895111,4.31852250855249,1.07490096249048,4.4863408061458,1.62707949248263,0,"reduced",0.25,0.8,31
0,-2.38832686714799,-1.28590793441438,-77.2676666207354,4.4465932187345,1.09121904396097,4.53130453410347,1.62975461563539,0,"reduced",0.25,0.8,32
0,-2.3899947293506,-1.28623987369059,-13.3238910344774,4.89953043216053,1.1449892051451,4.68645885819143,1.63224514466869,0,"reduced",0.25,0.8,33
0,-2.3912929082887,-1.28638571186387,-67.2723222907557,5.28849495932985,1.1869472146265,4.81557791605837,1.63480629288578,0,"reduced",0.25,0.8,34
0,-2.39287951130034,-1.28671589272028,-12.9553950837778,5.92917472154245,1.24913359302546,5.02161115600238,1.63726474859559,0,"reduced",0.25,0.8,35
0,-2.39416358438726,-1.28685285968327,-15.9588726728737,6.52216348730723,1.30064489776338,5.20598341609574,1.63971305379566,0,"reduced",0.25,0.8,36
0,-2.39595742575045,-1.28692969230258,-17.6944918804652,7.91089845312819,1.4037250751361,5.620881888422,1.64227680511363,0,"reduced",0.25,0.8,37
0,-2.39683015510097,-1.28723963552963,-26.3253856868111,8.3230675174273,1.43064121519582,5.74036864271945,1.64453468433778,0,"reduced",0.25,0.8,38
0,-2.39813350856692,-1.28742965690197,-12.8589730956258,9.65667470607931,1.50894459901168,6.11831763069045,1.64690121109456,0,"reduced",0.25,0.8,39
0,-2.39957690010894,-1.28760425774223,-46.4650006720806,12.0079259867502,1.62274124589884,6.76061319236804,1.6492504458906,0,"reduced",0.25,0.8,40
0,-2.40057520731184,-1.28774449252677,-24.0347439408173,13.7055186532189,1.69130103649567,7.21084039433778,1.6515658026554,0,"reduced",0.25,0.8,41
0,-2.40191637923537,-1.28800068233815,-97.4462096177403,18.3925462201158,1.84272368142471,8.4164629194545,1.65379720755003,0,"reduced",0.25,0.8,42
0,-2.40253666363002,-1.28780237638063,-13.7706274766106,19.0523117411779,1.86077953455806,8.58296613459127,1.65632079631655,0,"reduced",0.25,0.8,43
0,-2.40381371961401,-1.28803342423334,-56.5334897093949,29.3029454975944,2.08033588242723,11.107867962016,1.65846977194657,0,"reduced",0.25,0.8,44
0,-2.40390254284338,-1.28755143811972,-95.2009036127808,25.6766814612715,2.01288618309581,10.2278546435513,1.66115575406629,0,"reduced",0.25,0.8,45
0,-2.40408337972941,-1.28732954612182,-31.9256058791768,18.8556815565798,1.85546591472813,8.533430419826,1.66387618467435,0,"reduced",0.25,0.8,46
0,-2.40483851221462,-1.28703186397453,-78.7455413122955,20.6200035057909,1.90112012436149,8.97713530568519,1.66616244429969,0,"reduced",0.25,0.8,47
