"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.00104419575285362,-2.34003417531968,-1.27252011051543,-13.3196562309795,1.97416044360375,0.601133952437465,3.495849158384,1.55325516338479,0,"full",0.25,0.8,1
-0.000953574239902143,-2.36314898554118,-1.2681254588493,-9.37483007397587,1.43090213756202,0.324995684374555,3.12666045310075,1.53321371334238,0,"full",0.25,0.8,2
-0.00108248646722947,-2.36975490554018,-1.27274612089105,-24.1886548570839,1.2750444187835,0.187322291480166,2.97376291099784,1.51842311555587,0,"full",0.25,0.8,3
-0.00107063105898568,-2.36374947337677,-1.26861260191603,-23.58501110205,1.18645276788122,0.0774121833379212,2.86144343677697,1.50858360237185,0,"full",0.25,0.8,4
-0.00104576294603544,-2.35899665938844,-1.27920448270127,-8.68086403680005,1.22498050777033,0.0691243476715893,2.87974160016678,1.49753228140085,0,"full",0.25,0.8,5
-0.000310246147243844,-2.35529480374982,-1.27451766542607,-50.9606731199124,1.19080328064216,0.0104886019173579,2.82803210713408,1.49403982770728,0,"full",0.25,0.8,6
-0.00108629805155696,-2.34918510065895,-1.26918990051378,-18.5376398110603,1.13347113733963,-0.0753374479408714,2.74303341754297,1.48981915203144,0,"full",0.25,0.8,7
-0.00167114240780316,-2.34239199081302,-1.26440028202784,-8.34882690780147,1.11875191909423,-0.118178206529171,2.71051000745958,1.49109992282838,0,"full",0.25,0.8,8
-8.27227233114414e-06,-2.34116175637279,-1.26037408244463,-12.0064884489733,1.126859001387,-0.139985544137721,2.70585258754323,1.4890404730073,0,"full",0.25,0.8,9
-0.000309767750120079,-2.33524580506041,-1.25429558450632,-8.51147037152772,1.09723762027233,-0.196952132191845,2.65405182659851,1.4850066539219,0,"full",0.25,0.8,10
-4.90558930760993e-09,-2.33064838138373,-1.24844891156126,-9.16260698582509,1.15755318339589,-0.172543687046986,2.7147446754614,1.49431328951364,0,"full",0.25,0.8,11
-0.00302738096708733,-2.32664027617356,-1.24612838801292,-8.45568673122453,1.08692371121997,-0.259279206811884,2.6158354269741,1.48253477264322,0,"full",0.25,0.8,12
-0.000310171683284416,-2.32182515445111,-1.24054041582458,-9.34296530023801,1.09063923934405,-0.279234213208722,2.61056589769114,1.47906292438764,0,"full",0.25,0.8,13
-4.00615081867486e-09,-2.32097884651833,-1.23674667604907,-8.96406782613347,1.09901920596112,-0.293254356536009,2.61293269409244,1.47876557478987,0,"full",0.25,0.8,14
