"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.325117075457076,-2.44745186195643,-1.12198287264668,-9.49548927892857,0.611945478377815,-0.809378109360119,1.96809035175886,3.55382172800006,0,"full",0.5,0.5,1
-0.321148218945119,-2.44720739989239,-1.13145277945189,-10.1734442706767,0.612264918208462,-0.808217201794487,1.96877845822216,3.52292719447121,0,"full",0.5,0.5,2
-0.315605934522956,-2.44731452254546,-1.13968007197667,-7.73676808537454,0.615892227378585,-0.793270147678625,1.97922213940139,3.50360620706295,0,"full",0.5,0.5,3
-0.313443203295422,-2.44596127258641,-1.14268665739727,-20.644116789606,0.610017390256075,-0.808434311252892,1.96398959441925,3.4691062191163,0,"full",0.5,0.5,4
-0.311283558714875,-2.44623745183856,-1.1530791212889,-4.98514668157314,0.605085415209588,-0.81985955744012,1.95508018885705,3.45643667913098,0,"full",0.5,0.5,5
-0.307002067661884,-2.44543949827355,-1.15886285766489,-5.07851843746163,0.605923372041976,-0.815626638422169,1.95694876193726,3.42739044332557,0,"full",0.5,0.5,6
-0.301155542113625,-2.44448682537244,-1.16912153066056,-9.28979748838541,0.611383806527311,-0.796576815319354,1.96903610322191,3.38881424735111,0,"full",0.5,0.5,7
-0.298972632479303,-2.44450915733474,-1.17424351706764,-10.8995310207404,0.606428329362987,-0.808109591223176,1.95680836599702,3.35691020490294,0,"full",0.5,0.5,8
-0.298092764655454,-2.44676632842291,-1.17457299298713,-4.98827014380302,0.594495409212696,-0.836562811526514,1.93182501073918,3.34561810821835,0,"full",0.5,0.5,9
-0.273864701699747,-2.45058946928953,-1.19968907471529,-38.6827943877126,0.629937777363971,-0.716872489450772,2.03500000677227,3.33473536612931,0,"full",0.5,0.5,10
-0.29870596168268,-2.44251575590767,-1.18410000868421,-5.68573354539061,0.584718117669604,-0.875601505618254,1.89486311572017,3.30023034271177,0,"full",0.5,0.5,11
-0.289449764269163,-2.37738048418514,-1.19597629918427,-15.9180580884583,0.587367654516686,-0.854854256177175,1.9099853997779,3.25626479851051,0,"full",0.5,0.5,12
-0.285670904244896,-2.43012351855857,-1.20308917002102,-7.90735658694592,0.585734659606835,-0.85597982376016,1.90736015904867,3.22926677923609,0,"full",0.5,0.5,13
-0.284801187086724,-2.4059388554226,-1.20736314108962,-5.26480779183905,0.582040573223149,-0.867452355630024,1.89700977495642,3.21893749717032,0,"full",0.5,0.5,14
-0.275916453590266,-2.42812187907367,-1.23332216254781,-14.0062084297756,0.623798431720989,-0.759788788838637,1.98627145233965,3.18270848863507,0,"full",0.5,0.5,15
-0.267741979660303,-2.4467378213657,-1.23187217867337,-9.25847068485485,0.596282396752616,-0.807329150230409,1.94313053923262,3.14504043835702,0,"full",0.5,0.5,16
-0.27003306687057,-2.42383314409695,-1.24736752672908,-6.49994381302652,0.626794268924524,-0.750963214676293,1.99075486344944,3.13617866446859,0,"full",0.5,0.5,17
-0.263305720577851,-2.43391582268136,-1.25176318007806,-8.6572156377506,0.611348292286365,-0.775335573400808,1.9667544424931,3.10215224532364,0,"full",0.5,0.5,18
-0.20868349985551,-2.45367781663635,-1.2674179080862,-10.0432263197441,0.658617982460926,-0.568176441144388,2.15875151498642,3.08181221412404,0,"full",0.5,0.5,19
-0.208433433133105,-2.47596908060596,-1.2735006433045,-9.38985293774926,0.632912387856801,-0.614877047760261,2.11073654541996,3.04541106779154,0,"full",0.5,0.5,20
-0.205141324363613,-2.47385172188715,-1.28644647458471,-10.6411636612535,0.639031535302789,-0.599514790222281,2.12350055168328,3.01796073974444,0,"full",0.5,0.5,21
-0.193476738196903,-2.46043147698456,-1.29737532206925,-6.75751238031289,0.710080219131564,-0.468816976889355,2.2554768408315,2.99251333487899,0,"full",0.5,0.5,22
-0.185820016289905,-2.45686946279324,-1.29589100772374,-10.0223625242285,0.736781367780329,-0.425468138933201,2.30067422130911,2.95655534491919,0,"full",0.5,0.5,23
-0.186885514435379,-2.45168916204894,-1.3465094432741,-7.54096307380871,0.773625719898494,-0.371295091254676,2.35915308989418,2.92697077916105,0,"full",0.5,0.5,24
-0.182977419746897,-2.45301674048273,-1.33929704415791,-8.65476546557082,0.756145122450455,-0.393007452339949,2.33212536526286,2.8945877764158,0,"full",0.5,0.5,25
-0.182844645635697,-2.44831297159836,-1.39056150424524,-18.9979186271281,0.806376997183895,-0.323946678686391,2.40944159316666,2.85868389671252,0,"full",0.5,0.5,26
-0.178787389170794,-2.44694945068149,-1.39755569513049,-12.8612423534375,0.823826423712597,-0.300373468251083,2.43504111366509,2.82532901497456,0,"full",0.5,0.5,27
