"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.5703384944535,-1.35867898904247,-13.3143318982155,1.26889525068636,0.182213262368685,2.99528206022744,2.87177037688211,0,"reduced",0.5,0.5,1
0,-2.58514894179036,-1.34770379013745,-11.4214670746547,1.56002581110432,0.320310891414232,3.21311790019809,2.74652443102766,0,"reduced",0.5,0.5,2
0,-2.59904780048297,-1.33585429335237,-12.4025502735151,2.49480375575816,0.606013289589731,3.78310113452714,2.62743883652707,0,"reduced",0.5,0.5,3
0,-2.6279618909399,-1.33900114309986,-12.7230799357899,2.80390524418264,0.690754038879861,3.94314671918878,2.52907867459906,0,"reduced",0.5,0.5,4
0,-2.65690007407655,-1.34220647951086,-22.9765567517965,3.19184443976272,0.781754861024697,4.12693599705452,2.43259556339476,0,"reduced",0.5,0.5,5
0,-2.68284889814872,-1.34245885338725,-13.6471496642274,4.56361437567441,0.994810060579789,4.70852046492776,2.34109115347929,0,"reduced",0.5,0.5,6
0,-2.67875105881221,-1.33293965971698,-33.865337411883,14.0525205111615,1.5784794086904,8.0624198989104,2.26541049885132,0,"reduced",0.5,0.5,7
0,-2.64954898748858,-1.32139824229993,-26.2868687810448,20.1507928491165,1.73929478510631,10.2634124900187,2.19848783189538,0,"reduced",0.5,0.5,8
0,-2.63964465577634,-1.31341938105906,-28.9063942524145,12.2681647022478,1.45849637005003,7.76770850802368,2.15004317209536,0,"reduced",0.5,0.5,9
0,-2.66177273306328,-1.30854534627504,-9.79206611358103,19.537517920517,1.69801630201465,10.3280301131219,2.14221507548653,0,"reduced",0.5,0.5,10
0,-2.6897233497618,-1.30930529385564,-168.901358915437,15.5835514592076,1.58587247006639,8.91428852210147,2.14795104615994,0,"reduced",0.5,0.5,11
0,-2.71739437783185,-1.31069311414425,-561.644220866462,16.0036806627837,1.60336697386403,9.02773857248715,2.15358090888966,0,"reduced",0.5,0.5,12
0,-2.73418382899614,-1.30205828921436,-24.8879963176481,19.814080923873,1.69805654351318,10.4997745149398,2.17115629184032,0,"reduced",0.5,0.5,13
0,-2.74538413675745,-1.29051553369179,-80.7931053732379,21.5642004672157,1.71815755102668,11.4025504425109,2.19617241039497,0,"reduced",0.5,0.5,14
0,-2.75718251691401,-1.27968969282905,-28.3079885729366,14.9135504484072,1.50700644591622,9.14405563670824,2.22252539030671,0,"reduced",0.5,0.5,15
0,-2.76864206633951,-1.26788947940809,-28.1974852584347,18.6912747900416,1.60163467070175,10.8530463165383,2.24723182349512,0,"reduced",0.5,0.5,16
0,-2.83554867652106,-1.26563596544432,-73.3978552495644,13.3944579318894,1.4268468792145,8.74529665963984,2.28750926980433,0,"reduced",0.5,0.5,17
0,-2.90158650090528,-1.26095903996744,-14.1585552293449,15.0971389212,1.47942030173774,9.53067684406581,2.36416760513596,0,"reduced",0.5,0.5,18
0,-2.98961705949852,-1.2630385019369,-22.4895139368808,16.8331061900313,1.51790461156901,10.4543086267804,2.46403259954229,0,"reduced",0.5,0.5,19
0,-3.01052240212568,-1.26422950158492,-35.6894714798086,12.1641839199483,1.3492870242268,8.45826788039802,2.56728777155725,0,"reduced",0.5,0.5,20
0,-3.03450228605887,-1.26182097927133,-34.137780999201,19.9500998566636,1.61081436495859,11.682989119173,2.6683504145916,0,"reduced",0.5,0.5,21
0,-3.02961843432147,-1.26274313478116,-53.1007911177499,20.9877891715396,1.62910197803295,12.2293953959217,2.76794956846468,0,"reduced",0.5,0.5,22
0,-3.06854221565326,-1.26163759608991,-346.250890369623,17.8030911152454,1.5558597387142,10.7472297935735,2.86733129684796,0,"reduced",0.5,0.5,23
0,-3.08506426145729,-1.26294524490273,-52.542054760578,18.5662220901792,1.56699073905361,11.2023375809488,2.96368325937086,0,"reduced",0.5,0.5,24
0,-3.1014496968478,-1.2621686448973,-15.4737809562596,16.9421151558747,1.52746115283672,10.4248114204121,3.06028419263433,0,"reduced",0.5,0.5,25
0,-3.11735805909525,-1.26345468523327,-23.0569519124104,15.5701848172586,1.4763973810781,9.93310117871328,3.15433347725521,0,"reduced",0.5,0.5,26
0,-3.13664416596928,-1.26380217788478,-113.343673931085,13.8410323538432,1.41587668377553,9.18855222287872,3.2486018059911,0,"reduced",0.5,0.5,27
0,-3.15148034118871,-1.26257792651542,-7.46666174729485,15.3914152923215,1.46921390702457,9.86949983555676,3.34279229879113,0,"reduced",0.5,0.5,28
0,-3.16622821870194,-1.26211621546179,-843.457405196126,20.1943121683024,1.60991618877757,11.8886699592922,3.43480288855082,0,"reduced",0.5,0.5,29
0,-3.21177439772123,-1.26351584241689,-70.0282791813761,15.2345878997308,1.46521051901579,9.78914603470856,3.52738133934298,0,"reduced",0.5,0.5,30
0,-3.20307654287959,-1.26458454542175,-262.357315811415,10.9985261659219,1.29729796385252,7.94371749542514,3.61735886988983,0,"reduced",0.5,0.5,31
0,-3.21144764835353,-1.2641256844501,-250.862606678356,12.5508412016793,1.36540959346459,8.62778267582235,3.70555822136204,0,"reduced",0.5,0.5,32
0,-3.22661121963308,-1.26294990070455,-32.8481876151443,16.8167907353041,1.51579391861281,10.4668929747709,3.79242850623702,0,"reduced",0.5,0.5,33
0,-3.24635167129979,-1.26421314578484,-95.7533941573871,12.242622330048,1.35256106075264,8.49302993023348,3.87947178315594,0,"reduced",0.5,0.5,34
0,-3.26242083910262,-1.26485722930395,-67.7850840116921,10.3616826372798,1.26607360814596,7.66269914618584,3.96507154580412,0,"reduced",0.5,0.5,35
0,-3.28812902279345,-1.26401902953841,-32.3099097667168,12.9170231636812,1.38024327890714,8.78758325146924,4.04871979119843,0,"reduced",0.5,0.5,36
0,-3.32929916435822,-1.26382966309508,-46.1423853023393,13.7209498077694,1.41138918661389,9.13656113384754,4.13217601039089,0,"reduced",0.5,0.5,37
0,-3.34001781751188,-1.26277458747152,-34.4140387647253,19.6325703332621,1.59569079114034,11.6498853351142,4.21304912064049,0,"reduced",0.5,0.5,38
0,-3.3673681711905,-1.26406068085424,-8.54319777949623,12.2104406591529,1.35154521813128,8.47598830918193,4.29487371286527,0,"reduced",0.5,0.5,39
0,-3.39357011863957,-1.26402152244796,-8.03948708347179,11.9498809549808,1.33979798945124,8.3666214383211,4.37463550671374,0,"reduced",0.5,0.5,40
0,-3.41885009152601,-1.2625865026294,-29.8486085395104,19.6916154985998,1.59602930724809,11.6916177304364,4.45215534893094,0,"reduced",0.5,0.5,41
0,-3.44619253380919,-1.26378248726819,-41.2960432765646,13.8561420999263,1.41641134774128,9.19533678847526,4.53022546775907,0,"reduced",0.5,0.5,42
0,-3.47247359496488,-1.26369827424452,-6.74187824270475,11.3502026462112,1.31413653301394,8.09489698728559,4.60770629292454,0,"reduced",0.5,0.5,43
0,-3.50190832944163,-1.26508840688296,-77.8625441747802,9.84692420616919,1.23953117901708,7.43273061866115,4.68308770412237,0,"reduced",0.5,0.5,44
0,-3.52595141836873,-1.2648839550556,-15.2973518732243,9.56253236590288,1.22358091297595,7.30885706340586,4.75767772823629,0,"reduced",0.5,0.5,45
0,-3.54982122302385,-1.26240035837041,-7.7402205109739,12.9215144370974,1.37769645731672,8.8125495600748,4.83078695291697,0,"reduced",0.5,0.5,46
0,-3.57893865033314,-1.26505743734381,-40.5945038283709,9.9106341246594,1.24287862850354,7.4613655187116,4.90309319711443,0,"reduced",0.5,0.5,47
0,-3.60457121872878,-1.2635620492077,-108.988098760542,12.3239415746148,1.36048908837637,8.49007296031898,4.9747250222556,0,"reduced",0.5,0.5,48
0,-3.63055040842154,-1.26392484021175,-25.9336746288229,12.6893620694233,1.37076585992317,8.69080946731965,5.04424403413856,0,"reduced",0.5,0.5,49
0,-3.65401858909288,-1.26164322809543,-30.6801376928396,15.1685861558916,1.45938050282217,9.79762329848952,5.11417529296233,0,"reduced",0.5,0.5,50
