"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.101575977523455,-2.43746004215616,-1.50703523775512,-10.7255609425286,0.966919325093466,-0.128163732362787,2.62436965395172,2.33691146336121,0,"full",0.5,0.5,1
-0.105225875883176,-2.44122449790561,-1.49674635366282,-17.5605082339713,0.987669287558676,-0.108224547639562,2.64885406868439,2.34787757206941,0,"full",0.5,0.5,2
-0.10798617647367,-2.43770520016299,-1.47440530804611,-20.38148245591,0.968383275896888,-0.126912393197465,2.6260413341809,2.35377534476046,0,"full",0.5,0.5,3
-0.107636659965743,-2.44215301920194,-1.43932717520947,-34.3148695666575,0.959656635829873,-0.135099943914613,2.61601272242233,2.36387484514115,0,"full",0.5,0.5,4
-0.112810458363713,-2.43396153132864,-1.4250039330773,-6.61497871071571,0.944574198800161,-0.153276538951656,2.59505322184189,2.37277751831375,0,"full",0.5,0.5,5
-0.115967688719622,-2.43321076715477,-1.40629824751345,-18.4261987480251,0.942087460573408,-0.158694483025892,2.58943707406094,2.38024993834418,0,"full",0.5,0.5,6
-0.116884630489128,-2.43427264384283,-1.38293206796177,-6.31166459232962,0.947194026693087,-0.149768737790543,2.5992387206156,2.39127220796744,0,"full",0.5,0.5,7
-0.124157631688131,-2.4281640655934,-1.36363888104739,-5.02839762593591,0.915460929814963,-0.192981179425148,2.55059321934475,2.41766553950003,0,"full",0.5,0.5,8
-0.142957157958413,-2.39519954071348,-1.34206380994382,-6.42528483882378,0.853970495639867,-0.30456410980701,2.43105990040556,2.428733068592,0,"full",0.5,0.5,9
-0.123268676231354,-2.43555647987376,-1.32393495226351,-8.37013182499629,0.938525177920422,-0.158753569493738,2.58859747397696,2.42126574010296,0,"full",0.5,0.5,10
-0.125933788011919,-2.43468175444196,-1.30317550576102,-5.59132885998269,0.933878465039354,-0.163094290137746,2.58361844303623,2.44218648761162,0,"full",0.5,0.5,11
-0.12963274856786,-2.43337024505614,-1.28001187337119,-7.17828735547646,0.908587395777282,-0.195937755189867,2.54598372007727,2.44973845973916,0,"full",0.5,0.5,12
-0.134486556563378,-2.42724764666645,-1.26134189917067,-5.75075075439753,0.885997523119763,-0.220539333407806,2.51532495228788,2.46933835634157,0,"full",0.5,0.5,13
-0.134507852176721,-2.4352312423375,-1.24553623026125,-13.698667948606,0.899892621685854,-0.205826954847202,2.53492598553806,2.46757113362469,0,"full",0.5,0.5,14
-0.13436320765913,-2.43779806629778,-1.22698233707072,-9.78352501015778,0.914990794874574,-0.183110408619165,2.56012742502212,2.48244896530438,0,"full",0.5,0.5,15
-0.151185656192087,-2.41534467102321,-1.19837227661094,-7.67013857113385,0.843701236334859,-0.302980904176561,2.43081233412425,2.49781013448149,0,"full",0.5,0.5,16
-0.139582970150874,-2.43778056524414,-1.18803431073163,-13.8619834328668,0.885825598711419,-0.21938491395807,2.51897391749725,2.50341395420505,0,"full",0.5,0.5,17
-0.155408079713839,-2.42346895797235,-1.15889293949204,-7.51903350364927,0.83440669666952,-0.315250289153699,2.41740030592511,2.51833361510673,0,"full",0.5,0.5,18
-0.142381866554384,-2.44024455411004,-1.15372106554388,-11.923009073742,0.881861632793975,-0.220288357789077,2.51731797832342,2.52426672981983,0,"full",0.5,0.5,19
-0.155703051103542,-2.42906213966927,-1.12772951663094,-7.92550821635504,0.837475158288536,-0.300724868925663,2.43188394997538,2.53787139546612,0,"full",0.5,0.5,20
-0.151993961997791,-2.43671673014375,-1.11891114641534,-7.15775227631107,0.862496707344174,-0.251808244744982,2.48329773511845,2.54768684686253,0,"full",0.5,0.5,21
-0.152027111357457,-2.43778307826926,-1.09950411540956,-9.26693965988265,0.855349078940411,-0.2594972851839,2.4745657302551,2.55424321902757,0,"full",0.5,0.5,22
-0.154221862460267,-2.44698812144742,-1.08512441603242,-16.5369685774336,0.858399788992351,-0.252833822139154,2.48169849212144,2.56825620249216,0,"full",0.5,0.5,23
-0.154762354173327,-2.44327565187876,-1.05713233724355,-9.79299287282625,0.821446231944072,-0.282606365144583,2.43690239462143,2.588167050474,0,"full",0.5,0.5,24
-0.16204591644887,-2.43518301506617,-1.04138797664034,-15.0158283132735,0.828373999350477,-0.30482683136819,2.42653860328894,2.5932467122936,0,"full",0.5,0.5,25
-0.15910375433076,-2.44160855700685,-1.03603435928385,-5.50640931994742,0.844690745448676,-0.266237387043432,2.46658605624401,2.60779195337276,0,"full",0.5,0.5,26
-0.216004221374103,-2.39563461549053,-1.01171416394731,-6.91128296430296,0.772491649518418,-0.460475261424381,2.26741977328978,2.60881915252353,0,"full",0.5,0.5,27
-0.210573039933531,-2.40043412676733,-0.972326155712112,-7.11807247046909,0.759761762660113,-0.467753004125476,2.25435528279999,2.62097437199693,0,"full",0.5,0.5,28
-0.223389374420781,-2.39390809220414,-0.972457618239019,-7.26863423689408,0.764240823668199,-0.475301359139837,2.25076061149659,2.61755905455556,0,"full",0.5,0.5,29
-0.229412327655671,-2.39778016296052,-0.932245033304806,-7.91444890373215,0.722317395772369,-0.53455769147628,2.17998856017568,2.62753339353982,0,"full",0.5,0.5,30
-0.233974954518667,-2.40320287042044,-0.919315796382654,-9.04050266848813,0.704612225129835,-0.557898316441436,2.15369353193966,2.63564423893791,0,"full",0.5,0.5,31
-0.234792572580195,-2.39335905179332,-0.923631801571436,-6.9860064942628,0.756270012167402,-0.487796451757532,2.23599115016547,2.6298976553668,0,"full",0.5,0.5,32
-0.242392523794575,-2.38794930876642,-0.892349271904947,-10.3946532521629,0.755198912437437,-0.497880802911513,2.2269723984581,2.62729543241717,0,"full",0.5,0.5,33
-0.239555476774605,-2.38440506787788,-0.885523114325826,-7.85065419038161,0.777946303069815,-0.468554493138587,2.26282883583377,2.64981927697089,0,"full",0.5,0.5,34
-0.252365577749061,-2.39482110336014,-0.85622043507353,-6.59176787999601,0.716517714530933,-0.551401192095613,2.1639707027979,2.63199332895413,0,"full",0.5,0.5,35
