"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.56940279878653,-1.35775427429014,-32.0823727681016,1.22892351527789,0.150694195397309,2.95538110264995,2.8714766228541,0,"reduced",0.5,0.5,1
0,-2.56952603335907,-1.3320561288214,-14.0433848095361,1.23716994730747,0.156753107955593,2.96340379491948,2.88658129738096,0,"reduced",0.5,0.5,2
0,-2.56938523172064,-1.3067917569261,-10.9202315771506,1.23512256044528,0.154510531957058,2.96097217690872,2.90138070342331,0,"reduced",0.5,0.5,3
0,-2.56983908286207,-1.28224303526678,-11.281946821763,1.2582940338741,0.17217598988146,2.98377570944745,2.91574289676121,0,"reduced",0.5,0.5,4
0,-2.56991259807271,-1.25794834391502,-26.9950998910497,1.26532324421507,0.177046977397013,2.99035886016981,2.92961054441176,0,"reduced",0.5,0.5,5
0,-2.56928649016907,-1.23338585087842,-59.9147416608382,1.24149193419282,0.157803099365971,2.96632881968313,2.94306064731382,0,"reduced",0.5,0.5,6
0,-2.56929601080895,-1.2098215550709,-14.982895321333,1.24251453903023,0.15803668005935,2.96701320072173,2.95621291657192,0,"reduced",0.5,0.5,7
0,-2.56913606178682,-1.1866151458681,-41.2114453180059,1.24218441137992,0.157179568735958,2.9663271254851,2.96895824527023,0,"reduced",0.5,0.5,8
0,-2.57394537712331,-1.16863203456948,-13.3425051260643,1.54383238417363,0.352640712532194,3.22760739790652,2.98121279783798,0,"reduced",0.5,0.5,9
0,-2.57718036571498,-1.14962050870635,-13.1688427412387,2.01220084298257,0.555991359008176,3.53638480372406,2.99287290158663,0,"reduced",0.5,0.5,10
0,-2.57971646331005,-1.13019376738951,-13.5630410289168,2.88699537488956,0.798335102284419,3.97858636757191,3.00395434970317,0,"reduced",0.5,0.5,11
0,-2.58253394799833,-1.11140722351004,-742.762989992239,7.89035796081361,1.37948505373876,5.71153678838505,3.01446693291188,0,"reduced",0.5,0.5,12
0,-2.58304381669375,-1.09066176563034,-28.7406410378234,13.5863280753969,1.66798842979637,7.31613598153475,3.02446874147899,0,"reduced",0.5,0.5,13
0,-2.58286575915323,-1.06956592033755,-33.3504437886557,11.896701697551,1.59763844393893,6.85900237250488,3.03408873376769,0,"reduced",0.5,0.5,14
0,-2.58246036364891,-1.04856934972337,-30.2743465096903,8.69711452914665,1.43031593153188,5.95490389469845,3.04337428103785,0,"reduced",0.5,0.5,15
0,-2.58047667354711,-1.02631243070811,-24.9829165051568,3.72048004259833,0.951501926119772,4.32743144747759,3.05273610702659,0,"reduced",0.5,0.5,16
0,-2.57787227786901,-1.00374860162406,-22.8331160904577,2.32172148203189,0.651719422120089,3.70614820556941,3.06221930714813,0,"reduced",0.5,0.5,17
0,-2.5759749877012,-0.982194469332711,-21.3256163838533,1.89306912017611,0.50687220767262,3.46357794123429,3.07142243326809,0,"reduced",0.5,0.5,18
0,-2.58071695676339,-0.968055971778339,-18.6965123784925,2.32441386893404,0.660818353825344,3.71023707290934,3.08246878918412,0,"reduced",0.5,0.5,19
0,-2.5879733886978,-0.956045390331494,-40.3702707321337,5.27141571720602,1.17371463110407,4.8685751233064,3.09325370880419,0,"reduced",0.5,0.5,20
0,-2.59178827917125,-0.943885275383192,-23.9946661858479,17.6379649204379,1.82939044511683,8.22033147411705,3.10418053853217,0,"reduced",0.5,0.5,21
0,-2.59292018681222,-0.9316596619575,-18.3581135020314,13.7582931129067,1.70412115946947,7.22159252252385,3.11522936930159,0,"reduced",0.5,0.5,22
0,-2.59414244440729,-0.919632704513929,-21.1903839373081,11.9707504773839,1.63521633105825,6.74381835278735,3.1259131490053,0,"reduced",0.5,0.5,23
0,-2.59578103781269,-0.907858719143607,-59.2728527920664,14.6913124790948,1.74739276139249,7.41427900571799,3.13613340207138,0,"reduced",0.5,0.5,24
0,-2.59727349764911,-0.896190420033888,-14.9264857314717,16.3054353740503,1.80628915797006,7.78767032340934,3.14600077221698,0,"reduced",0.5,0.5,25
0,-2.59851771498805,-0.884670517729882,-11.3567871369799,12.395805561126,1.66708285329649,6.80118410477108,3.15573125554998,0,"reduced",0.5,0.5,26
0,-2.60009393997792,-0.873384939042526,-16.4703497242839,17.2381401584309,1.8442890474795,7.96042377971875,3.16473766891474,0,"reduced",0.5,0.5,27
