"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.115043641303775,-2.4087014503576,-1.52137945003231,-5.66235894394557,0.894676182772719,-0.230479181666882,2.50962071030519,2.3526730074653,0,"full",0.5,0.5,1
-0.115381777557071,-2.27951918438445,-1.49762752866307,-9.74106424710245,0.866643703571148,-0.275031991212491,2.46095254357649,2.3990010021423,0,"full",0.5,0.5,2
-0.123998766309649,-2.17747555139963,-1.52057044838787,-6.25883434211809,0.838890426811838,-0.319155883320576,2.41315661690969,2.45851243260935,0,"full",0.5,0.5,3
-0.106779882799999,-2.15450065090721,-1.50972128153948,-9.56030180970245,0.880600717525148,-0.227183911092596,2.50894582820711,2.51512936628381,0,"full",0.5,0.5,4
-0.111909316040103,-2.06116763821714,-1.50284901747261,-6.89542855989815,0.845315312694305,-0.284092683550016,2.44774017039593,2.57548122735089,0,"full",0.5,0.5,5
-0.126807422413632,-1.94683772260192,-1.49932536761872,-8.39412485713426,0.795451241927549,-0.389953979400401,2.33789694594803,2.62881761744246,0,"full",0.5,0.5,6
-0.129928359425075,-1.88055593123992,-1.50759481171963,-6.76750626664878,0.783199100345498,-0.410439986371382,2.31658242442083,2.68418175664928,0,"full",0.5,0.5,7
-0.127469869529492,-1.82252942747286,-1.51722074812711,-7.80773210040481,0.777498398113297,-0.415866001670034,2.31065424073262,2.74128107345124,0,"full",0.5,0.5,8
-0.117048908398767,-1.75807236936037,-1.5196424762963,-25.2535472130329,0.810365634715551,-0.343612923835649,2.38426955068576,2.81216947152212,0,"full",0.5,0.5,9
-0.127131561014153,-1.68597812872512,-1.50424044021373,-7.66596313883498,0.778462352499829,-0.413836816710698,2.3127111574409,2.85935597693712,0,"full",0.5,0.5,10
-0.128292969987501,-1.61401561974583,-1.50030612696712,-67.3714176179677,0.779358467776565,-0.414572853558037,2.31213446175436,2.91766566631629,0,"full",0.5,0.5,11
-0.117233452325744,-1.56316939880272,-1.50031248656101,-7.18790238810044,0.765710050375521,-0.4196662734053,2.30562937350743,2.97739383286264,0,"full",0.5,0.5,12
-0.128086603264265,-1.49449990669968,-1.50106459903333,-9.95917070629778,0.780621401579401,-0.411976990699655,2.31475993813372,3.0290410766695,0,"full",0.5,0.5,13
-0.121860370914827,-1.44570524908313,-1.50429320039228,-9.4119288763889,0.751657699764373,-0.454576302083935,2.27161117020256,3.0806719712377,0,"full",0.5,0.5,14
-0.124449889450276,-1.3857721597366,-1.5035709913972,-9.42600327208956,0.767604712886248,-0.428601934805508,2.29732023661357,3.13414705126186,0,"full",0.5,0.5,15
-0.119711019268431,-1.34189834159526,-1.50672985222434,-8.17307714006577,0.735069906893678,-0.482212748036162,2.24372288048871,3.18248080071615,0,"full",0.5,0.5,16
-0.122761125351378,-1.2886803350303,-1.50670127909052,-7.87446284299711,0.739466473346907,-0.47969920391198,2.24687429206581,3.23727071934946,0,"full",0.5,0.5,17
-0.131529827421223,-1.22980335087376,-1.50327984875934,-6.70315058711249,0.760331187345389,-0.453823757286371,2.27265453228952,3.29339319390813,0,"full",0.5,0.5,18
-0.119869295825777,-1.20741518869278,-1.5136290310459,-10.7073624211261,0.706220525397004,-0.545116225326499,2.18384978451513,3.35200650380301,0,"full",0.5,0.5,19
-0.136550976211743,-1.13798090414793,-1.50640128263834,-8.38467425371807,0.752487274192839,-0.477880671688483,2.24907661228995,3.39858081060249,0,"full",0.5,0.5,20
-0.125095653226802,-1.11661008530687,-1.51372235860087,-9.44755422812646,0.709349249569286,-0.547868153034549,2.18123629590862,3.45305875909928,0,"full",0.5,0.5,21
-0.130576600511307,-1.0624272753635,-1.51394183743951,-8.06995502759372,0.712535126571543,-0.553700099998008,2.17746990394683,3.50281665381363,0,"full",0.5,0.5,22
-0.145683352471613,-1.00471386575987,-1.51032233682898,-8.58157554385454,0.742164486034592,-0.513921863846613,2.21437084682255,3.5463620723951,0,"full",0.5,0.5,23
-0.149231966478163,-0.962629371449045,-1.50977714686788,-6.71218975065712,0.740682487651443,-0.522568078224753,2.2059933443358,3.59472307759086,0,"full",0.5,0.5,24
-0.142159561943288,-0.936124211445621,-1.51625967242366,-8.14934016530879,0.7104114972152,-0.574167348228798,2.15656885691387,3.6407379113962,0,"full",0.5,0.5,25
-0.143983182454092,-0.896914534064173,-1.51496050574749,-5.88762341609225,0.70665002082909,-0.587549937114358,2.14422214020433,3.68940320682127,0,"full",0.5,0.5,26
