"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.56979305850729,-1.35826048401941,-11.8974931171636,1.24525596634109,0.163758083549786,2.97187972728349,2.87161678915739,0,"reduced",0.5,0.5,1
0,-2.43108213833212,-1.3577681374482,-17.448806850314,1.09970250438689,0.0447635324658859,2.82125120769941,2.94279733695404,0,"reduced",0.5,0.5,2
0,-2.30772933734076,-1.35730831388006,-11.2795883092706,1.00334401636566,-0.0534359399971276,2.70370709808434,3.01350177800643,0,"reduced",0.5,0.5,3
0,-2.19710642050172,-1.35739677803896,-39.5332181776885,0.943054489516909,-0.124954693265559,2.62107283707488,3.08352153006629,0,"reduced",0.5,0.5,4
0,-2.104923128695,-1.36606257366971,-15.6833277342387,1.01758786287899,-0.0104570737991219,2.74622744062813,3.15216628729618,0,"reduced",0.5,0.5,5
0,-2.0127285541155,-1.36657375569229,-29.6335639184465,0.958092557942004,-0.0771194638534612,2.66878515390203,3.2195353327263,0,"reduced",0.5,0.5,6
0,-1.92814454287982,-1.36782922381403,-9.98521050066346,0.921109381052129,-0.120541201345615,2.61899237020436,3.28602371113471,0,"reduced",0.5,0.5,7
0,-1.84996037147289,-1.36909859166228,-70.7872346389922,0.884928277355628,-0.16902724442472,2.56502037679644,3.35155017441292,0,"reduced",0.5,0.5,8
0,-1.77449332048235,-1.36934694982263,-13.4323696420807,0.854457532330686,-0.215231934026746,2.51487930329358,3.41544179816691,0,"reduced",0.5,0.5,9
0,-1.70489384888298,-1.37165812825432,-17.1081192210278,0.831307141865535,-0.251175371994134,2.47623765030743,3.47905531959054,0,"reduced",0.5,0.5,10
0,-1.63867389691049,-1.3710905408401,-49.7636986737884,0.81160110040532,-0.286962526783879,2.43917959725139,3.5411046916638,0,"reduced",0.5,0.5,11
0,-1.57616315635503,-1.37203658820126,-15.4150070696848,0.792543515853958,-0.320560941462951,2.40382324264624,3.60177917327831,0,"reduced",0.5,0.5,12
0,-1.51629784921628,-1.37258071159852,-39.7436503352668,0.774611945618169,-0.35727060815771,2.36642555246413,3.66169350656739,0,"reduced",0.5,0.5,13
0,-1.45964237245741,-1.37370499465782,-39.7789589066106,0.76251112122904,-0.382400054768459,2.34133260019693,3.72039306271287,0,"reduced",0.5,0.5,14
0,-1.40515654465594,-1.37427441305964,-8.60726393503823,0.748331169360088,-0.413923439099152,2.30973266287948,3.7785358037256,0,"reduced",0.5,0.5,15
0,-1.3528030620281,-1.37505828474884,-25.3795922849254,0.73708357126239,-0.440940360477111,2.28321021475119,3.83429521521935,0,"reduced",0.5,0.5,16
0,-1.3024883995084,-1.37565666744899,-8.38600413220329,0.739191735555822,-0.442773947543199,2.28447939895097,3.89426731299205,0,"reduced",0.5,0.5,17
0,-1.25368242620916,-1.37532536745257,-174.957722612693,0.735085498161838,-0.444970298978954,2.27925881658597,3.95081989415503,0,"reduced",0.5,0.5,18
0,-1.20595198686717,-1.37543346201711,-11.9890937856878,0.735364754825511,-0.44455670435271,2.27976691380008,4.00720003598017,0,"reduced",0.5,0.5,19
0,-1.16029251866322,-1.3755780232717,-10.5770651526938,0.735143272835497,-0.444807518436663,2.27941782907776,4.06225582788705,0,"reduced",0.5,0.5,20
0,-1.11616608759868,-1.37543677557161,-18.1206315063071,0.7351346418236,-0.444863268965031,2.279368182019,4.1155748121815,0,"reduced",0.5,0.5,21
0,-1.07344626012421,-1.37542371647191,-12.1761579559801,0.735238858802693,-0.444592797870719,2.27962767243351,4.16757312224298,0,"reduced",0.5,0.5,22
0,-1.03304854072913,-1.37544565223163,-23.8603020634929,0.735390083379309,-0.444683949350604,2.27971250583223,4.21837594245415,0,"reduced",0.5,0.5,23
0,-0.992239143598387,-1.37555016294173,-33.1623963229262,0.734855183225823,-0.445211137350601,2.27901611652092,4.26714550385941,0,"reduced",0.5,0.5,24
0,-0.953059909198321,-1.37543346624384,-10.4907663268764,0.735092132573606,-0.444928312210394,2.27930064661121,4.31435917121028,0,"reduced",0.5,0.5,25
0,-0.915271624181439,-1.37542546059935,-14.4574206569664,0.735281706155482,-0.444487939848363,2.27972862666123,4.36021521087124,0,"reduced",0.5,0.5,26
0,-0.878637703156261,-1.37545094059771,-11.6384976769329,0.735058687068833,-0.444977801994424,2.2792504097061,4.40470154791344,0,"reduced",0.5,0.5,27
0,-0.842908534261339,-1.3754362972699,-10.3899176907009,0.735280146345769,-0.444771849917469,2.27955582569191,4.44782811151824,0,"reduced",0.5,0.5,28
0,-0.808053541648819,-1.37525273273347,-13.8434833407247,0.737634708163734,-0.438813906865709,2.28529097341223,4.4897958141603,0,"reduced",0.5,0.5,29
0,-0.783727695911389,-1.375430642166,-28.808971807944,0.735166772932282,-0.444770573146301,2.27945329666119,4.53388653243356,0,"reduced",0.5,0.5,30
0,-0.762249992267254,-1.37543160578589,-11.1860738728637,0.735136222201228,-0.444877564130225,2.27936479392841,4.57856527619392,0,"reduced",0.5,0.5,31
0,-0.741222739903448,-1.37597942907083,-14.9863210186631,0.73434382069468,-0.446026297593862,2.27821168429071,4.62231988581256,0,"reduced",0.5,0.5,32
0,-0.721220463854321,-1.37600603386726,-12.3862974991307,0.734884110098446,-0.44576349262844,2.27888668019996,4.66504277765101,0,"reduced",0.5,0.5,33
0,-0.700782072533965,-1.3757258346328,-16.9753158547781,0.734204849575855,-0.446359614093094,2.27788706937423,4.70552775655032,0,"reduced",0.5,0.5,34
0,-0.68158981575787,-1.37542985753248,-10.8077872883807,0.735111889941625,-0.444897299563973,2.27933259016888,4.74524214151925,0,"reduced",0.5,0.5,35
0,-0.662228361790875,-1.37546911225878,-13.1544125645904,0.735830126805526,-0.443095540913436,2.28108422855353,4.78396870197493,0,"reduced",0.5,0.5,36
0,-0.643764522392365,-1.37530572196596,-10.6606686427789,0.736779180949658,-0.440807969195876,2.28331680622499,4.82195967974825,0,"reduced",0.5,0.5,37
