"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.56945042273104,-1.35777620156915,-27.0065468020742,1.22987678511799,0.151468036459526,2.95635409411024,2.87141062158928,0,"reduced",0.5,0.5,1
0,-2.57775311847704,-1.36734110131188,-12.6538822418817,1.23321111720427,0.155205962825888,2.96065072854817,2.91499665400193,0,"reduced",0.5,0.5,2
0,-2.58598806919572,-1.37694890488399,-13.1931155053547,1.24706860004126,0.16719231634472,2.97541266960324,2.95695114029439,0,"reduced",0.5,0.5,3
0,-2.5935237830822,-1.38584069212363,-11.7472588845398,1.2482506910308,0.168187400161215,2.97687606119321,2.99745950776058,0,"reduced",0.5,0.5,4
0,-2.60102430786907,-1.39503271816056,-18.5750498603589,1.2497360832701,0.171103731560311,2.97963188697783,3.03585765834504,0,"reduced",0.5,0.5,5
0,-2.60838491441437,-1.40401596915543,-13.5948038512119,1.26147899601236,0.181101764859257,2.99196058747934,3.07317765601005,0,"reduced",0.5,0.5,6
0,-2.61538849066217,-1.41250704623828,-12.1779259361379,1.26034623713912,0.181034014389592,2.99154329397911,3.10896618335253,0,"reduced",0.5,0.5,7
0,-2.62207504252659,-1.42110865656449,-13.3849786962551,1.27328286834106,0.191657354731478,3.00478594787296,3.14355382544767,0,"reduced",0.5,0.5,8
0,-2.62466919829383,-1.42863109029336,-12.0866671231601,1.24516833405995,0.17068823518737,2.97783679329923,3.17719872159445,0,"reduced",0.5,0.5,9
0,-2.63504654969728,-1.43691878189932,-10.0010933819734,1.26268373041758,0.185111025882694,2.99578565424245,3.20863533037784,0,"reduced",0.5,0.5,10
0,-2.63928664655304,-1.44453946228,-12.9270964846003,1.25946454829978,0.183145939557646,2.99309192433227,3.23941826728988,0,"reduced",0.5,0.5,11
0,-2.64647001956048,-1.45257961922116,-49.5453211689167,1.28213082770941,0.201171638642528,3.01570039822839,3.26900175851873,0,"reduced",0.5,0.5,12
0,-2.64937125013367,-1.45962947606279,-16.7675667930265,1.25724489915043,0.183378961221145,2.99254358850758,3.29809591298899,0,"reduced",0.5,0.5,13
0,-2.65622564745644,-1.46674145256652,-10.4681798345687,1.26694808619162,0.190978079957875,3.00217046202268,3.32518321655108,0,"reduced",0.5,0.5,14
0,-2.66255041923534,-1.47395184515298,-18.8193618828645,1.28326973847227,0.203583661672845,3.01814016032143,3.35174891019526,0,"reduced",0.5,0.5,15
0,-2.66751955801562,-1.48064624733909,-12.2675851809763,1.27532618268765,0.198441628018088,3.0112177008554,3.37713576033971,0,"reduced",0.5,0.5,16
0,-2.67246760469361,-1.48730420327631,-10.9597137814567,1.27723886940546,0.200554381637483,3.01361381876075,3.40193827318477,0,"reduced",0.5,0.5,17
0,-2.67631557054369,-1.49369465109874,-18.0828514195796,1.276493657757,0.200463553661161,3.01330668958716,3.42593281357226,0,"reduced",0.5,0.5,18
0,-2.68197036869803,-1.50013858671414,-12.6689289702759,1.28642374855202,0.208416901632237,3.02323265885963,3.44892534560952,0,"reduced",0.5,0.5,19
0,-2.68647357091009,-1.50621547193566,-24.2164851181521,1.28868340424148,0.210587682417604,3.02580007509804,3.47128719700894,0,"reduced",0.5,0.5,20
0,-2.69077933122848,-1.51215873824311,-590.785807033103,1.31297505022419,0.227248484190213,3.0477632609476,3.49384916139546,0,"reduced",0.5,0.5,21
0,-2.69547860976507,-1.51846264939218,-22.9302997802425,1.31442036259416,0.230247470992712,3.05062893571739,3.51402365844122,0,"reduced",0.5,0.5,22
0,-2.69869208709241,-1.52315052987856,-21.9304976100253,1.30567754617064,0.21926539304622,3.03992741823115,3.5346824319919,0,"reduced",0.5,0.5,23
0,-2.70185721284152,-1.53120990750186,-23.8679950004829,1.29064495392223,0.212889756456286,3.02863484249872,3.55434519734733,0,"reduced",0.5,0.5,24
0,-2.70766464655686,-1.53467920524983,-14.7343912249903,1.30995420054804,0.228370437172638,3.04761944951271,3.57257005096751,0,"reduced",0.5,0.5,25
0,-2.70941691472483,-1.53947051899759,-22.3446739761642,1.29046943925475,0.214603419886837,3.02977621909958,3.59085434157603,0,"reduced",0.5,0.5,26
0,-2.71468368696786,-1.54491577444968,-68.5051361256704,1.31165179988024,0.230369465607634,3.0498536896782,3.60862587008764,0,"reduced",0.5,0.5,27
0,-2.7182899698442,-1.54963344438891,-17.9221281044808,1.30227894842271,0.224033476950852,3.04151437690725,3.62568877699397,0,"reduced",0.5,0.5,28
0,-2.72178908011149,-1.55467025777854,-13.8583237305073,1.31877371686262,0.236210467486253,3.05703452465813,3.64262696160378,0,"reduced",0.5,0.5,29
0,-2.72500632637666,-1.55922524866939,-28.2969540420557,1.31119783978152,0.231182443107509,3.05038766953127,3.65869345153547,0,"reduced",0.5,0.5,30
0,-2.72858557089777,-1.56398368807132,-12.6775842147921,1.32827159458617,0.243660027887042,3.06631512208638,3.67464845348353,0,"reduced",0.5,0.5,31
0,-2.7312069317336,-1.56788931198311,-14.1299449147498,1.30206100114472,0.225240502991226,3.04248928525326,3.68967578839667,0,"reduced",0.5,0.5,32
0,-2.73278986919407,-1.57214020330195,-16.3278657792563,1.29979552841891,0.224010539658752,3.04071066979123,3.70460034667371,0,"reduced",0.5,0.5,33
0,-2.7357208866456,-1.57634790739322,-20.2294193487685,1.30160963322396,0.225677228657182,3.04269319462588,3.71904071524399,0,"reduced",0.5,0.5,34
0,-2.74063285633266,-1.58053262192405,-11.1170913068207,1.30936994863882,0.231476580093827,3.05008566116611,3.73280071698811,0,"reduced",0.5,0.5,35
0,-2.7436751251599,-1.58468115508702,-10.5933594338503,1.31985216631917,0.239275079213752,3.05998090057692,3.74659670507275,0,"reduced",0.5,0.5,36
0,-2.74667822084464,-1.58888422130991,-18.2181914293163,1.30514794186856,0.231045976639363,3.04820846644181,3.76042500338448,0,"reduced",0.5,0.5,37
0,-2.74768986205795,-1.59203299549423,-8.19769070040751,1.30623645969192,0.230483401102688,3.04821525413384,3.77358008158822,0,"reduced",0.5,0.5,38
0,-2.75164806883066,-1.59588653264914,-11.5246262348622,1.31451272414384,0.236380609248726,3.055844229131,3.78498939222987,0,"reduced",0.5,0.5,39
0,-2.75434612019423,-1.5995576995298,-15.3730723150251,1.31740869984159,0.238898746389436,3.05884995103533,3.79720522584287,0,"reduced",0.5,0.5,40
0,-2.75645103375927,-1.60296542053776,-13.9818969893685,1.31383937713585,0.236550330706851,3.05574796092972,3.80903282004629,0,"reduced",0.5,0.5,41
0,-2.75915672128688,-1.60640015924928,-14.9707948509104,1.31558784243864,0.23806531128469,3.0575777195984,3.82055211746566,0,"reduced",0.5,0.5,42
0,-2.76253099660641,-1.60984408016463,-35.4564785130908,1.32229090230508,0.243076149371626,3.06391700574527,3.83192113179414,0,"reduced",0.5,0.5,43
