"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.104218089050091,-2.43823871029507,-1.51778684599437,-6.45696241379238,0.948156563036197,-0.146533654767223,2.60191631656311,2.33690662668095,0,"full",0.5,0.5,1
-0.104321248894377,-2.42154425853194,-1.51258874058379,-5.65440142601783,0.932151514797575,-0.168002867025332,2.57772723374937,2.35752347165597,0,"full",0.5,0.5,2
-0.104521448836036,-2.41904940051418,-1.51782238656312,-12.8178471856284,0.936921182992564,-0.166848641903342,2.58009250515392,2.36555027467282,0,"full",0.5,0.5,3
-0.10160456787486,-2.42671882935952,-1.51202698789562,-5.86606847781028,0.953239140066004,-0.146794275670945,2.60336770327067,2.38848668325203,0,"full",0.5,0.5,4
-0.111699802337066,-2.38508903164772,-1.51476089068885,-8.18719366339676,0.884688129867138,-0.249275318737351,2.48961009170597,2.39793726697751,0,"full",0.5,0.5,5
-0.107149137358026,-2.38797977877644,-1.50591332947998,-7.10252316230304,0.897024483117981,-0.226739709945288,2.5138222760746,2.40489127393138,0,"full",0.5,0.5,6
-0.0970387173508483,-2.43518839833694,-1.51073401828371,-9.00847484750945,0.966941014324865,-0.129295436155057,2.62397387047458,2.41632787936791,0,"full",0.5,0.5,7
-0.100656746965133,-2.41389289518236,-1.50832244163487,-6.46000522879781,0.921491958562876,-0.183384551069564,2.56056941664103,2.42483401801316,0,"full",0.5,0.5,8
-0.0983029590565855,-2.41752204812862,-1.49885402499941,-8.48577207075548,0.927511145670894,-0.17451498641899,2.57042659270615,2.43034478856222,0,"full",0.5,0.5,9
-0.107357840179516,-2.38122961178111,-1.50617706139421,-7.58347805870759,0.888413262640612,-0.238378956481815,2.50051692303341,2.43981958368695,0,"full",0.5,0.5,10
-0.0970629778559237,-2.42253722194949,-1.50397751368217,-11.8430135901299,0.931892755457795,-0.166979398360929,2.57859594919244,2.44447359397241,0,"full",0.5,0.5,11
-0.104494138933647,-2.38861902068564,-1.50334216739419,-18.8594899271548,0.901363183201964,-0.220085728511916,2.52116491043655,2.45404165176075,0,"full",0.5,0.5,12
