"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.56961838773094,-1.35795818948648,-16.5484427161465,1.23748092609962,0.157601806957452,2.9640776467539,2.87147723608581,0,"reduced",0.5,0.5,1
0,-2.56224126127884,-1.34832548503135,-15.4666250613249,1.2383468167839,0.158917271656095,2.96545011973091,2.86969360892766,0,"reduced",0.5,0.5,2
0,-2.55546950573722,-1.33885592977699,-14.1013701123507,1.19717881943018,0.125440270203748,2.92330529537612,2.86857316015902,0,"reduced",0.5,0.5,3
0,-2.55284184913557,-1.33133274593432,-15.1896885621151,1.19377918075764,0.123129980870219,2.92018404540895,2.86873966911983,0,"reduced",0.5,0.5,4
0,-2.54693624271178,-1.32445315861285,-18.4957172170763,1.18367998551432,0.114957702830686,2.90983007774876,2.86911482341523,0,"reduced",0.5,0.5,5
0,-2.54352044039706,-1.31819047050253,-11.8784802016373,1.1712621517003,0.104553550883223,2.89678551749791,2.87018178418539,0,"reduced",0.5,0.5,6
0,-2.54092561693079,-1.31328730429785,-11.4585577801319,1.18575409513277,0.117984220463413,2.91306879964999,2.87180238478553,0,"reduced",0.5,0.5,7
0,-2.53702223660966,-1.30687909862693,-77.5921906379777,1.13249421806213,0.0696961973679928,2.85392338701699,2.8732806469603,0,"reduced",0.5,0.5,8
0,-2.53511198647617,-1.30253982093366,-22.2005090314533,1.13442465221998,0.0721599886522725,2.85667581892422,2.87544802581799,0,"reduced",0.5,0.5,9
0,-2.53296354598033,-1.29810554451901,-21.7656006075403,1.12197240569375,0.0606346137269552,2.84259149362424,2.87777449780787,0,"reduced",0.5,0.5,10
0,-2.53103754940037,-1.29404611726724,-24.934551510306,1.11490031222263,0.0533403669391284,2.83410940227941,2.88050929283063,0,"reduced",0.5,0.5,11
0,-2.52995410639813,-1.29089835863392,-12.3016227927989,1.11789527804489,0.0577903144357757,2.83876143319319,2.88312636124438,0,"reduced",0.5,0.5,12
0,-2.52928985765659,-1.28830377711754,-12.8148244821343,1.13378796934885,0.0738632753624863,2.85789505445686,2.88613113076021,0,"reduced",0.5,0.5,13
