"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
-0.10607118875313,-2.43168783689206,-1.51899841522293,-7.15712588123225,0.929403844649138,-0.17436982438323,2.57098963942044,2.33998618414735,0,"full",0.5,0.5,1
-0.104525350917827,-2.4462594886438,-1.52059480079728,-12.1259426249621,0.950194006093705,-0.144024671468359,2.60485330993031,2.34074622951735,0,"full",0.5,0.5,2
-0.106543069003128,-2.44077494258652,-1.52704858132082,-8.11382474150073,0.949020105674608,-0.14581722264826,2.6028293908308,2.34708282015728,0,"full",0.5,0.5,3
-0.109878912633485,-2.44016868933702,-1.52992242981289,-9.69232931558935,0.928825405684516,-0.176464184813523,2.56898953853005,2.35678521577967,0,"full",0.5,0.5,4
-0.103030755006126,-2.45046651793006,-1.50996497455062,-6.81600355059083,0.9878572320118,-0.108654507160477,2.64907557013834,2.36981201751392,0,"full",0.5,0.5,5
-0.110162616434773,-2.4358495272945,-1.53240948925723,-7.29634130360186,0.93273616350887,-0.167700754039742,2.57817952662561,2.36833255777467,0,"full",0.5,0.5,6
-0.105997598287163,-2.45264658976715,-1.51954939135023,-8.4440513884526,0.957289896094986,-0.137482969312719,2.61309998628249,2.37312154623973,0,"full",0.5,0.5,7
-0.110888238447169,-2.45458861358045,-1.5401436299993,-8.02603396629476,0.937706923217604,-0.160710488528442,2.58631251224113,2.37818362450446,0,"full",0.5,0.5,8
-0.110662661824456,-2.45445476181529,-1.53842235101992,-5.86236496240425,0.939921679580309,-0.155306188844977,2.59175692004858,2.38870278615271,0,"full",0.5,0.5,9
-0.116876004214241,-2.45254015737741,-1.53461372736051,-8.4708930422493,0.904987798368999,-0.211861787520136,2.529870199282,2.3951123688394,0,"full",0.5,0.5,10
-0.116884478070227,-2.44926735239397,-1.51537881737863,-11.7747910979455,0.892843602643973,-0.233102558824991,2.50699804409107,2.40597133803487,0,"full",0.5,0.5,11
-0.111560343167826,-2.4719242693876,-1.5485544119198,-8.11649661267701,0.968013426399043,-0.126110428288341,2.62674192360611,2.40358260662298,0,"full",0.5,0.5,12
-0.112255750135132,-2.46806734249394,-1.55047924180047,-10.9606139759364,0.966603553748119,-0.127996042071031,2.62462225250393,2.40707156037341,0,"full",0.5,0.5,13
-0.115539020298856,-2.46925224996392,-1.55022449419505,-6.42911266646104,0.927122041545758,-0.172840906175924,2.57208849506351,2.41504524512822,0,"full",0.5,0.5,14
-0.114561510525803,-2.47286407295333,-1.55602888675555,-12.6892748661751,0.936795337539696,-0.158015131853724,2.58839652553021,2.41392931618861,0,"full",0.5,0.5,15
-0.113983202345016,-2.47563639451994,-1.55803325094367,-7.38509795798677,0.95652969029609,-0.137724717057758,2.61280613019155,2.42394876850214,0,"full",0.5,0.5,16
-0.114777629890902,-2.47917947609053,-1.55697524275985,-10.0943454642389,0.940838424138257,-0.153344885720969,2.59392448182907,2.42487605187929,0,"full",0.5,0.5,17
-0.117170445162195,-2.47663630173504,-1.54596717491218,-8.12344161301019,0.916142042503832,-0.189492876481847,2.55376064296359,2.43487720903838,0,"full",0.5,0.5,18
-0.11281099076711,-2.48324207580915,-1.54122850844468,-6.94617099460834,0.942811945018262,-0.151433543197299,2.59638830323787,2.43950434041137,0,"full",0.5,0.5,19
-0.118631779965627,-2.4715085335916,-1.56142204583912,-6.09181242616506,0.921137814716376,-0.17873048266954,2.56514272428925,2.4484511311011,0,"full",0.5,0.5,20
-0.116731645162105,-2.48720777813875,-1.56861988035264,-8.01657841413318,0.960009513805995,-0.133878275406853,2.61744541633347,2.44869764677305,0,"full",0.5,0.5,21
-0.115128278999342,-2.49017576872363,-1.55369403391673,-7.24554713528448,0.942715977674609,-0.15108087899598,2.596671307294,2.45376159143962,0,"full",0.5,0.5,22
-0.12016918277043,-2.48562357239842,-1.54446135963665,-6.1285763119878,0.90447689491577,-0.206503447278252,2.53505640677586,2.46637274783575,0,"full",0.5,0.5,23
-0.11504891598049,-2.49485455856816,-1.54600254612149,-6.88116228560242,0.931317527732544,-0.162977245384988,2.58258242313513,2.46285883977688,0,"full",0.5,0.5,24
