"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.56945025901122,-1.35783910589976,-62.8491903541548,1.23044803815962,0.151931436618611,2.95693681497192,2.8714294145913,0,"reduced",0.5,0.5,1
0,-2.56121847312355,-1.34824052140638,-17.698725384337,1.11865513164546,0.0150626813202278,2.81160375926032,2.85796187366877,0,"reduced",0.5,0.5,2
0,-2.55128802244081,-1.3370145251143,-14.6479589903966,1.01896031126046,-0.129878060254897,2.65881811252646,2.84495947848716,0,"reduced",0.5,0.5,3
0,-2.54510174715538,-1.3296051116613,-13.8363131923531,1.00298806955628,-0.182816409141106,2.61497443354701,2.83290071095597,0,"reduced",0.5,0.5,4
0,-2.54614195843573,-1.32934514984935,-18.7934359238598,1.10060473621117,-0.101085215034699,2.73314626414166,2.82055970690884,0,"reduced",0.5,0.5,5
0,-2.5445507553698,-1.32652243316383,-16.1488540652548,1.16459329554139,-0.0680363137803253,2.79745296325054,2.80791510181009,0,"reduced",0.5,0.5,6
0,-2.54636398248573,-1.32714858113212,-17.688548740542,1.35213077684359,0.0518783705525793,2.9889980992138,2.7949090261596,0,"reduced",0.5,0.5,7
0,-2.54663702675048,-1.32620723109782,-15.4404250203244,1.55866988530266,0.149865275982996,3.17289004116517,2.78155301170594,0,"reduced",0.5,0.5,8
0,-2.54438020628943,-1.32277852253307,-12.6929602806435,1.64982711269563,0.171363931535576,3.24719301468041,2.76795825862593,0,"reduced",0.5,0.5,9
0,-2.5371638689484,-1.31441850866558,-33.5452020330527,1.44531181792957,0.0369214428379208,3.05922705587981,2.7547192678036,0,"reduced",0.5,0.5,10
0,-2.52844847181976,-1.30456050567183,-13.1327000910053,1.27316806792458,-0.103041673822981,2.87267027373264,2.74253686822363,0,"reduced",0.5,0.5,11
0,-2.52409251152405,-1.29548316324321,-339.594587553524,1.18038381448043,-0.201916898476425,2.75371467248463,2.73124754880074,0,"reduced",0.5,0.5,12
0,-2.51273475705357,-1.2866254984643,-21.2653761515076,1.11884289543049,-0.282175209329719,2.66380061461998,2.72058008590766,0,"reduced",0.5,0.5,13
0,-2.50470239962141,-1.27750788151788,-13.893940004001,1.06563224100332,-0.359189235021844,2.57855085001542,2.71087478065148,0,"reduced",0.5,0.5,14
0,-2.49940126095943,-1.27113975114553,-11.5348068668033,1.03835818040498,-0.408736693615508,2.52936316127781,2.70208393926371,0,"reduced",0.5,0.5,15
0,-2.49734044538255,-1.26802709375687,-15.1109419612332,1.03354713166859,-0.430508216375885,2.51614752975206,2.6936358106671,0,"reduced",0.5,0.5,16
0,-2.49827868005983,-1.2679291271938,-21.3559680366206,1.05599205545258,-0.420548073452619,2.54707433482466,2.68497895857455,0,"reduced",0.5,0.5,17
0,-2.50374042802231,-1.27236765203748,-10.9354657248079,1.08317086046566,-0.398329176831465,2.58874431131979,2.67631586064806,0,"reduced",0.5,0.5,18
0,-2.50820557159116,-1.2758260296296,-11.1916781357094,1.10128758001245,-0.386833158471628,2.61567868134366,2.66781214706582,0,"reduced",0.5,0.5,19
0,-2.51119732130865,-1.27783066392683,-18.0820939785067,1.12273653620762,-0.375957479912672,2.64583027691802,2.65899867966955,0,"reduced",0.5,0.5,20
0,-2.51295105390354,-1.2785972101329,-13.9700218570914,1.13827359678139,-0.372752959990404,2.66662551829036,2.65005800079466,0,"reduced",0.5,0.5,21
0,-2.52039918241326,-1.27982276406309,-12.6954143089594,1.15082393211759,-0.371219391310934,2.68359870619591,2.64120339830412,0,"reduced",0.5,0.5,22
0,-2.52278524876446,-1.28651454310914,-10.7519324168949,1.22574927110746,-0.314272583245204,2.78861130671249,2.63211853384941,0,"reduced",0.5,0.5,23
0,-2.52135811964406,-1.28425783280869,-10.5526106754336,1.19680514886273,-0.349791314021062,2.7477024946197,2.6229070966821,0,"reduced",0.5,0.5,24
0,-2.52120778975396,-1.28359579549784,-10.2405988350746,1.19350958746122,-0.364533628103968,2.74190681050511,2.61390404183447,0,"reduced",0.5,0.5,25
0,-2.53309222358799,-1.2863667367681,-19.9659223262704,1.22030308759981,-0.350976943669817,2.77957760755786,2.60476789855833,0,"reduced",0.5,0.5,26
0,-2.53125480802679,-1.28360103352082,-11.6912843964738,1.20721388461386,-0.374150310310704,2.76022925176178,2.59572405070338,0,"reduced",0.5,0.5,27
0,-2.5440406981699,-1.28369056536792,-12.315430227241,1.21183882713366,-0.380759521746677,2.76648451851837,2.58686939860764,0,"reduced",0.5,0.5,28
0,-2.55748762692774,-1.28595256313055,-15.2888158472069,1.22422086572978,-0.381926645529962,2.78394827289097,2.57817232529939,0,"reduced",0.5,0.5,29
0,-2.55522993876037,-1.2825929667899,-11.8943773251485,1.21019546859708,-0.403448828795857,2.76351316764148,2.56905412704773,0,"reduced",0.5,0.5,30
0,-2.55357367966811,-1.28108092033512,-16.4535432925828,1.20314486676254,-0.420592495595107,2.75277015526624,2.56023463436147,0,"reduced",0.5,0.5,31
0,-2.54971455795389,-1.28681151428465,-10.7883685583639,1.19361808405716,-0.439497992570007,2.73817596064047,2.55190596363865,0,"reduced",0.5,0.5,32
0,-2.55130369561688,-1.28598462341032,-13.8717573905846,1.19207250304499,-0.451108385631721,2.73563961922956,2.54310725559608,0,"reduced",0.5,0.5,33
0,-2.54372408056061,-1.27890634378108,-11.2727724309425,1.18056714789598,-0.47186691878539,2.71757518618444,2.53461303040056,0,"reduced",0.5,0.5,34
0,-2.54784667235469,-1.27913292889815,-16.5937875783109,1.1805111248289,-0.481631516648162,2.71737966863094,2.52603071211343,0,"reduced",0.5,0.5,35
0,-2.54673217500018,-1.2911031321329,-15.0160681790822,1.18024179840965,-0.493327013185566,2.71675380186303,2.5179385013191,0,"reduced",0.5,0.5,36
0,-2.54557051747733,-1.27887603507679,-15.7448639936719,1.17230230785171,-0.509230684757333,2.70407331818372,2.50958963978851,0,"reduced",0.5,0.5,37
