lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.110443808,-2.818403088,-2.668269758,-9.83917641,2.388435062,0.047118272,4.171135613,5.449145794,0,full,1,0.5,1
-0.456860033,-2.646024715,-1.998245001,-21.21182734,0.748233506,-0.96174702,2.00725744,5.236058412,0,full,1,0.5,2
-0.340487689,-2.733496718,-2.234801022,-9.606184976,0.797138026,-0.849672192,2.109138949,5.307029494,0,full,1,0.5,3
-0.640665507,-2.420437299,-1.642718294,-6.696559193,0.708729292,-1.168455303,1.83199808,5.368118508,0,full,1,0.5,4
-0.346826824,-2.68227685,-2.294484401,-6.696621714,0.803735253,-0.871588244,2.090165018,5.320757695,0,full,1,0.5,5
-0.400561153,-2.62991542,-2.113389078,-4.705731955,0.738742104,-0.977657103,1.987817946,5.252690829,0,full,1,0.5,6
-0.09263515,-2.817058023,-2.643610859,-40.73007993,2.564031642,0.093630175,4.359011157,5.485004746,0,full,1,0.5,7
-0.465597811,-2.645003506,-1.978455025,-7.539727334,0.748704665,-0.961521169,2.008318927,5.248207069,0,full,1,0.5,8
-0.660813113,-2.403734481,-1.565483347,-34.19523193,0.701289443,-1.190477065,1.814559672,5.434428939,0,full,1,0.5,9
-0.08809259,-2.816379208,-2.644753717,-10.9583786,2.867903855,0.163386932,4.68097104,5.491059669,0,full,1,0.5,10
-0.281645063,-2.789474851,-2.422364132,-7.291865022,0.892518464,-0.718714857,2.264683808,5.377280159,0,full,1,0.5,11
-0.383454623,-2.657581882,-2.167714321,-8.064924862,0.765291065,-0.929329435,2.032048709,5.255121089,0,full,1,0.5,12
-0.407650176,-2.638748955,-2.090603058,-26.47713427,0.744867391,-0.96628529,1.998991476,5.209183206,0,full,1,0.5,13
-0.342402212,-2.728000463,-2.230365628,-8.09642612,0.794372943,-0.855272561,2.102906671,5.303520405,0,full,1,0.5,14
-0.120759147,-2.821012914,-2.708302005,-14.6385647,2.218760855,0.000797275,3.981318489,5.433664143,0,full,1,0.5,15
-0.669466847,-2.400633478,-1.526931539,-14.16511822,0.698367905,-1.196210171,1.810248461,5.491573029,0,full,1,0.5,16
-0.118137827,-2.817569007,-2.697044306,-59.06407123,2.385142242,0.046063383,4.168013288,5.436433563,0,full,1,0.5,17
-0.442819556,-2.616010459,-2.032090234,-5.908001697,0.74376221,-0.970761823,1.996733887,5.229129036,0,full,1,0.5,18
-0.098841545,-2.825868777,-2.645038749,-10.52115398,2.396208792,0.051205697,4.176263408,5.470959364,0,full,1,0.5,19
-0.368564207,-2.683982599,-2.185374735,-7.125542025,0.773335331,-0.9035006,2.055939504,5.273443263,0,full,1,0.5,20
-0.638650891,-2.418258986,-1.650112973,-6.715121014,0.708497909,-1.16904818,1.831520976,5.366451764,0,full,1,0.5,21
-0.406256759,-2.639876835,-2.092505192,-8.088797877,0.744449956,-0.966234428,1.9988814,5.211456465,0,full,1,0.5,22
-0.078275887,-2.813139338,-2.654766717,-13.61339827,3.766466729,0.324671786,5.600186382,5.513399303,0,full,1,0.5,23
-0.390016951,-2.660109083,-2.130515232,-49.29682431,0.75513767,-0.940763359,2.021289897,5.238341168,0,full,1,0.5,24
-0.280384651,-2.709298448,-2.488532375,-7.52153876,0.892989484,-0.75644606,2.230065854,5.39144058,0,full,1,0.5,25
-0.176184185,-2.857685302,-2.628732372,-8.84721802,1.284237525,-0.389106879,2.838354751,5.40454644,0,full,1,0.5,26
-0.224970551,-2.859321129,-2.519619887,-17.32731805,1.044939957,-0.556534421,2.505371667,5.395166986,0,full,1,0.5,27
-0.608103152,-2.432702468,-1.761887506,-7.327121518,0.716421656,-1.149332526,1.846694028,5.334588702,0,full,1,0.5,28
-0.086407189,-2.812681123,-2.65140674,-8.407905157,3.004789418,0.189371785,4.829365507,5.501160752,0,full,1,0.5,29
-0.691687979,-2.387748962,-1.445891994,-7.610840844,0.695729611,-1.202717934,1.805386349,5.614731841,0,full,1,0.5,30
-0.503293813,-2.634466888,-1.894470933,-15.35183903,0.749745201,-0.963638291,2.008116005,5.300926814,0,full,1,0.5,31
-0.229894777,-2.859296505,-2.543575826,-20.29244166,1.04902662,-0.552132626,2.510398258,5.39769219,0,full,1,0.5,32
-0.224817374,-2.85748558,-2.501893631,-44.39406672,1.034296139,-0.567461741,2.490870019,5.401190083,0,full,1,0.5,33
-0.601050261,-2.437882925,-1.78853811,-6.928041053,0.71922043,-1.143103856,1.852878839,5.326885122,0,full,1,0.5,34
-0.111779336,-2.819971176,-2.675247881,-7.846523801,2.456133896,0.064682754,4.245758483,5.447767487,0,full,1,0.5,35
-0.231613862,-2.837797995,-2.51293138,-6.526475693,1.018190195,-0.583971635,2.461975392,5.398263539,0,full,1,0.5,36
-0.383792441,-2.662312209,-2.120497983,-14.71800902,0.766600797,-0.90034107,2.059294273,5.272599237,0,full,1,0.5,37
-0.161221995,-2.85091422,-2.633847547,-7.498804512,1.465288375,-0.281128781,3.080687927,5.402358436,0,full,1,0.5,38
-0.224431316,-2.860671749,-2.525585143,-8.996834456,1.0541017,-0.54749273,2.517747809,5.395022254,0,full,1,0.5,39
-0.127519611,-2.824937796,-2.693334828,-7.797124087,2.031296174,-0.056570069,3.767795095,5.42202216,0,full,1,0.5,40
-0.152875755,-2.838477382,-2.657899954,-7.087436007,1.551375245,-0.242775345,3.190013901,5.40426049,0,full,1,0.5,41
-0.385449519,-2.638276495,-2.171199743,-4.546236417,0.763225181,-0.936019283,2.025920579,5.273587962,0,full,1,0.5,42
-0.510251589,-2.638068757,-1.867219475,-16.50755337,0.743192973,-0.974111555,1.997603343,5.32008167,0,full,1,0.5,43
-0.387541204,-2.649558495,-2.15939277,-7.657373832,0.761615167,-0.937482266,2.024434931,5.249989065,0,full,1,0.5,44
-0.361736554,-2.673305271,-2.233156533,-6.285296631,0.784679183,-0.895474139,2.064640335,5.293756377,0,full,1,0.5,45
-0.342328636,-2.6857009,-2.290764416,-19.86887608,0.805549013,-0.863611867,2.097741047,5.31853901,0,full,1,0.5,46
-0.104059288,-2.818847093,-2.657450353,-17.01336587,2.460073253,0.066424766,4.248600654,5.461880864,0,full,1,0.5,47
-0.288634174,-2.715170154,-2.452481219,-6.186910585,0.878419747,-0.768143485,2.212316177,5.382994099,0,full,1,0.5,48
-0.642187054,-2.409084053,-1.62471904,-7.651670693,0.702581831,-1.18494279,1.818927784,5.37197488,0,full,1,0.5,49
-0.299447922,-2.708273068,-2.424963341,-8.479871097,0.863271632,-0.787420354,2.18749864,5.37142447,0,full,1,0.5,50
-0.301007326,-2.693913794,-2.433408787,-7.871154312,0.860171109,-0.797220643,2.177125142,5.374583799,0,full,1,0.5,51
-0.483432413,-2.639089042,-1.933637195,-6.805977304,0.746899572,-0.964852925,2.004971315,5.277199438,0,full,1,0.5,52
-0.476008891,-2.651230124,-1.954151197,-19.02191821,0.751181892,-0.956789592,2.013729085,5.26343041,0,full,1,0.5,53
-0.128546319,-2.82643968,-2.69498699,-8.214298554,1.89553829,-0.101064513,3.608092659,5.421009282,0,full,1,0.5,54
