"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-2.92276941763018,-2.33887853372606,-8.79587413521049,1.17393097059749,-0.465974394265326,2.71839074042665,5.84427166858105,0,"reduced",1,0.5,1
0,-3.09986217100743,-1.59067043261773,-14.9083216293934,0.798579745347177,-0.684935088169489,2.26728824492118,8.31767310042482,0,"reduced",1,0.5,2
0,-3.06394620393191,-1.86316361606051,-25.9817783161378,0.831433889710155,-0.664875927630435,2.28861657175978,7.20721094861176,0,"reduced",1,0.5,3
0,-3.19333745516249,-1.39601068476673,-9.21008948870478,0.695119643017198,-0.771100092566646,2.1741800605179,9.93023197777834,0,"reduced",1,0.5,4
0,-3.06149021435533,-1.98336326976641,-18.9413463138629,0.817257446878869,-0.692525880978036,2.2562289916601,7.01435580095534,0,"reduced",1,0.5,5
0,-3.06882496983462,-1.72467426702404,-10.6931506072818,0.864773507375747,-0.605440583146269,2.3601124975713,7.63303283130545,0,"reduced",1,0.5,6
0,-2.94677858874731,-2.3731468680592,-11.0627433427205,1.34586817630569,-0.356530698047973,2.958534834585,5.81118307419325,0,"reduced",1,0.5,7
0,-3.11644651434822,-1.57552419774453,-11.9091506685389,0.791514821730776,-0.680824816819635,2.26876037213996,8.45385701388908,0,"reduced",1,0.5,8
0,-3.2067499028822,-1.33874524583708,-9.25092245807481,0.674722097171504,-0.841151104362307,2.11354168558809,10.3129384016301,0,"reduced",1,0.5,9
0,-2.94635823362268,-2.38069961271135,-24.6491485887782,1.39237141140991,-0.330863813433475,3.0217958792276,5.80507207069688,0,"reduced",1,0.5,10
0,-3.06387623789023,-2.09932104797694,-9.35321332212615,0.809050136156548,-0.696883964355572,2.24420291114122,6.61025690390616,0,"reduced",1,0.5,11
0,-3.06550351346149,-1.77981915030085,-8.72861477247707,0.845663244514128,-0.640589718852943,2.31880978858772,7.45521554448588,0,"reduced",1,0.5,12
0,-3.05859772958335,-1.68023906988668,-13.7951935572373,0.839588054011834,-0.672461977865557,2.29400265779399,7.74097267391755,0,"reduced",1,0.5,13
0,-3.07105521544597,-1.85761230209551,-12.4197877949056,0.825958105577627,-0.678516458914622,2.27445768867081,7.21729684324239,0,"reduced",1,0.5,14
0,-2.90922259495736,-2.32155473748557,-10.8741578895069,1.11004763053804,-0.512520284079481,2.62511019247762,5.86420185052933,0,"reduced",1,0.5,15
0,-3.19349024497693,-1.3102694811545,-88.6006309354541,0.66718873621968,-0.869571641373164,2.08999727580636,10.5259024501771,0,"reduced",1,0.5,16
0,-2.90881046909594,-2.32742466244402,-15.2526087081408,1.12952033826497,-0.497827189010463,2.6540424966976,5.85784903808942,0,"reduced",1,0.5,17
0,-3.0785424035724,-1.61803767302699,-12.444988804464,0.806793255186294,-0.702925942709155,2.2535028636371,8.07119641515452,0,"reduced",1,0.5,18
0,-2.94053033743041,-2.3595930291937,-16.9524660590239,1.26906098191017,-0.402783119197812,2.85308399018411,5.82326626825208,0,"reduced",1,0.5,19
0,-3.06074642463695,-1.79743395106836,-20.6425815524491,0.827986388537001,-0.679657750586765,2.27618391552435,7.38766631138584,0,"reduced",1,0.5,20
0,-3.19313039077407,-1.40118314251572,-8.86396024553628,0.69662933735569,-0.766285270757444,2.17845896695792,9.89482660473677,0,"reduced",1,0.5,21
0,-3.05858749242065,-1.68367775722519,-9.19184853685032,0.830602752979218,-0.685276218383469,2.27622232224713,7.72719869080586,0,"reduced",1,0.5,22
0,-3.05858749242065,-1.68367775722519,-9.19184853685032,0.830602752979218,-0.685276218383469,2.27622232224713,7.72719869080586,0,"reduced",1,0.5,22
0,-2.93125795960104,-2.40094816694881,-28.1598848649726,1.55106221393618,-0.251201965666576,3.23005633829981,5.78829278726701,0,"reduced",1,0.5,23
0,-3.0584755858411,-1.72843686553664,-17.8351404877148,0.827719138457841,-0.687090273197084,2.27167310115861,7.58876152824157,0,"reduced",1,0.5,24
0,-2.96458076077968,-2.19019418681183,-10.8719072086554,0.805841245570909,-0.745384264042379,2.21216660361247,6.36998707490501,0,"reduced",1,0.5,25
0,-2.9589889934655,-2.29022459967221,-36.4929867578811,0.993868574343561,-0.575355269868572,2.47487189038633,6.03693616538607,0,"reduced",1,0.5,26
0,-3.0048473461228,-2.2415903772004,-13.5351388542154,0.873788460334104,-0.662724255744128,2.32062788636339,6.26651527601041,0,"reduced",1,0.5,27
0,-3.18436739419309,-1.48775347903511,-10.8769709396745,0.757598524946036,-0.609013730560284,2.32667874190668,9.32764130276425,0,"reduced",1,0.5,28
