lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.549410846,-3.32172822,-2.209082704,-34.14577561,1.118771865,-0.602868099,2.566274471,2.875014518,0,full,1,0.5,1
-0.518295659,-2.957230408,-2.126602955,-6.482792576,0.893198415,-0.817554498,2.179360641,3.06499278,0,full,1,0.5,2
-0.518409013,-2.88807962,-2.13067094,-16.44722388,0.896190339,-0.816016554,2.186130838,3.135883184,0,full,1,0.5,3
-0.51675457,-3.033368737,-2.119735305,-9.540854691,0.871802389,-0.846276446,2.140803835,3.000172431,0,full,1,0.5,4
-0.42370153,-2.653102372,-2.077596786,-9.113422371,0.763534524,-0.936837229,2.028614682,4.879422204,0,full,1,0.5,5
-0.520834311,-2.720145612,-2.147112985,-7.016716553,0.92638478,-0.783996663,2.243896197,3.322972226,0,full,1,0.5,6
-0.520118451,-2.627162672,-2.132470242,-29.60708318,0.874012846,-0.854422657,2.149314428,3.548597725,0,full,1,0.5,7
-0.430069598,-2.680938658,-2.082882811,-7.190865143,0.774977758,-0.916546089,2.049098102,4.76244106,0,full,1,0.5,8
-0.41806802,-2.562806476,-2.069538712,-6.074409257,0.738842483,-0.980634227,1.986858236,6.580742223,0,full,1,0.5,9
-0.521278299,-2.76275766,-2.159637512,-7.362739265,0.972511831,-0.730716117,2.325719219,3.280543477,0,full,1,0.5,10
-0.431922894,-2.682752064,-2.083989741,-6.130810335,0.77847807,-0.912276523,2.053817599,4.718995931,0,full,1,0.5,11
-0.517488675,-2.935913766,-2.110202535,-6.46896491,0.851762569,-0.874650659,2.101952369,3.085792334,0,full,1,0.5,12
-0.520857814,-2.769318836,-2.151042686,-10.08737001,0.933731487,-0.775389126,2.25803579,3.270779934,0,full,1,0.5,13
-0.518570499,-3.117769645,-2.140485472,-7.868440998,0.957896449,-0.734340838,2.292101803,2.878411629,0,full,1,0.5,14
-0.413983596,-2.624386978,-2.068361779,-10.14431611,0.735697393,-0.981989972,1.985324161,5.440319621,0,full,1,0.5,15
-0.441565224,-2.718602126,-2.098164772,-21.58419106,0.823942119,-0.848003469,2.126879009,4.324317266,0,full,1,0.5,16
-0.520760475,-2.710445461,-2.148837795,-8.400927444,0.92926204,-0.781171594,2.249473586,3.336193754,0,full,1,0.5,17
-0.516544351,-2.993332801,-2.108635375,-11.17489895,0.849637289,-0.876677576,2.097689486,3.024180321,0,full,1,0.5,18
-0.516255321,-3.019695117,-2.102275058,-14.23662437,0.846803251,-0.88052094,2.092344275,3.002996235,0,full,1,0.5,19
-0.42693566,-2.648073239,-2.076748307,-8.154226045,0.752489068,-0.955875254,2.009929711,5.041392172,0,full,1,0.5,20
-0.431519979,-2.719529118,-2.087443489,-5.896098808,0.799633032,-0.879489408,2.089475213,4.538078274,0,full,1,0.5,21
-0.516651419,-3.068219178,-2.110539609,-18.99044905,0.868389634,-0.845444196,2.129721606,2.899286854,0,full,1,0.5,22
-0.564659787,-3.107603522,-2.219850126,-10.63532736,1.125897044,-0.60452173,2.573959518,2.874860639,0,full,1,0.5,23
-0.516616651,-3.000901413,-2.111869568,-8.776077242,0.854558401,-0.870239079,2.107752354,3.020916424,0,full,1,0.5,24
-0.520624886,-2.720581543,-2.146045128,-12.04017132,0.922624566,-0.788504193,2.237053568,3.321003844,0,full,1,0.5,25
-0.517955102,-2.902086698,-2.123330965,-9.037002914,0.877129794,-0.840740402,2.15065027,3.117886709,0,full,1,0.5,26
-0.578324307,-3.195049211,-2.252005942,-6.46657754,1.181524382,-0.550652175,2.66726986,2.881166635,0,full,1,0.5,27
-0.41277512,-2.596676403,-2.06825185,-8.516834331,0.737472833,-0.978649434,1.988358349,6.548884899,0,full,1,0.5,28
-0.517133942,-2.980562202,-2.112770797,-6.942933288,0.856736076,-0.867380656,2.111823948,3.040346616,0,full,1,0.5,29
-0.517752309,-2.943519228,-2.119285479,-6.819591558,0.867685606,-0.853362689,2.133259994,3.077036201,0,full,1,0.5,30
-0.519191283,-2.598883207,-2.125009144,-7.142082496,0.852845234,-0.884909601,2.110827796,3.663381874,0,full,1,0.5,31
-0.516007983,-3.049648,-2.10160197,-8.520826048,0.838625016,-0.891328408,2.075881491,2.971491188,0,full,1,0.5,32
-0.51254345,-2.609560793,-2.111275054,-6.88467719,0.818231742,-0.934987678,2.050351874,3.896545258,0,full,1,0.5,33
-0.519606785,-2.823233149,-2.145062866,-11.85706578,0.921225282,-0.789297996,2.234941126,3.211735844,0,full,1,0.5,34
-0.498091085,-2.622972647,-2.106926561,-4.623526262,0.812018449,-0.926499649,2.054555267,4.075029021,0,full,1,0.5,35
-0.518036431,-3.130739775,-2.09076224,-7.875265885,0.821653586,-0.918151126,2.039715085,2.916422128,0,full,1,0.5,36
-0.397378011,-2.653536175,-2.066205001,-7.819956639,0.741543894,-0.948910041,2.014502914,6.070461982,0,full,1,0.5,37
-0.517495672,-2.927118238,-2.117984904,-8.717574702,0.865677732,-0.855789173,2.128818775,3.090803525,0,full,1,0.5,38
-0.439987602,-2.710145454,-2.094291234,-7.146230676,0.809876554,-0.868320325,2.103028806,4.428301927,0,full,1,0.5,39
-0.521784869,-3.262594752,-2.160921465,-6.985869562,1.018879434,-0.675396755,2.399238527,2.871472498,0,full,1,0.5,40
-0.515349311,-3.085627639,-2.089144536,-7.459025624,0.815850481,-0.92589186,2.031497182,2.944039749,0,full,1,0.5,41
-0.426890492,-2.663580285,-2.078394456,-16.40553573,0.758829495,-0.942548165,2.022628301,4.949632317,0,full,1,0.5,42
-0.516774987,-3.193036938,-2.126131011,-9.061493024,0.915344585,-0.782661486,2.215850721,2.884374646,0,full,1,0.5,43
-0.529675748,-3.13723278,-2.189076356,-6.908172231,1.094906234,-0.617867849,2.530320711,2.871179511,0,full,1,0.5,44
-0.519785854,-2.894213883,-2.155560797,-8.221178029,0.968434584,-0.73225461,2.31760749,3.145825796,0,full,1,0.5,45
-0.435073797,-2.719402291,-2.090917497,-7.085562963,0.80221669,-0.875292653,2.094249873,4.52152431,0,full,1,0.5,46
-0.412463074,-2.603430688,-2.068001229,-18.24807892,0.736436273,-0.978661958,1.98825639,6.38418715,0,full,1,0.5,47
-0.407282435,-2.627277555,-2.065968863,-10.89701757,0.740204402,-0.964815063,2.000554843,6.012428728,0,full,1,0.5,48
-0.517018355,-3.200598692,-2.127336949,-18.73954346,0.919988491,-0.777008216,2.223911245,2.88079712,0,full,1,0.5,49
-0.521125254,-3.187519609,-2.1152691,-11.45192047,0.880996807,-0.831828446,2.149381855,2.893076165,0,full,1,0.5,50
-0.422045257,-2.671146621,-2.076590789,-12.11981001,0.759687306,-0.936021835,2.028466109,4.962832662,0,full,1,0.5,51
-0.42407997,-2.669297735,-2.076174701,-5.565175651,0.758940633,-0.937715212,2.027000053,4.960169839,0,full,1,0.5,52
-0.520610509,-2.738768461,-2.148804755,-11.82749666,0.930605942,-0.778972098,2.251772342,3.302242819,0,full,1,0.5,53
-0.51910636,-2.934912591,-2.124936736,-7.027953039,0.882048159,-0.833492815,2.159642896,3.089848243,0,full,1,0.5,54
-0.554982025,-3.281781914,-2.205675798,-6.054198906,1.103928459,-0.623434938,2.538035633,2.878807911,0,full,1,0.5,55
-0.520776159,-2.713306426,-2.14761117,-7.452370878,0.925853034,-0.785005242,2.243134871,3.330312548,0,full,1,0.5,56
-0.51884856,-3.020109531,-2.105809974,-10.43688682,0.842409086,-0.886500289,2.08351035,2.999838957,0,full,1,0.5,57
-0.440378727,-2.705918211,-2.094111128,-11.55460002,0.806707451,-0.874124628,2.096757984,4.434999808,0,full,1,0.5,58
-0.52458201,-2.989898535,-2.186754592,-7.254927257,1.094978586,-0.611513278,2.532902788,2.869077741,0,full,1,0.5,59
-0.548023859,-3.261867165,-2.202008287,-7.927573443,1.103555371,-0.620444205,2.539159162,2.875029672,0,full,1,0.5,60
-0.406516568,-2.634736014,-2.065211848,-6.010323093,0.74049749,-0.961781021,2.003318092,5.994671216,0,full,1,0.5,61
-0.518896983,-2.65802943,-2.129727525,-13.19891709,0.865873115,-0.86523739,2.135219361,3.597992298,0,full,1,0.5,62
-0.512379649,-2.603366103,-2.109741798,-8.165483222,0.814249235,-0.941010095,2.043010339,3.958925392,0,full,1,0.5,63
-0.432470385,-2.686350231,-2.085568388,-9.233394771,0.781694452,-0.907349688,2.058993221,4.68864071,0,full,1,0.5,64
-0.519686573,-2.82486603,-2.137733859,-6.874497507,0.909843599,-0.800762583,2.212142824,3.204491185,0,full,1,0.5,65
-0.517074417,-2.987395121,-2.118319352,-10.66473054,0.870720029,-0.847438014,2.13791265,3.037032232,0,full,1,0.5,66
-0.413985947,-2.618944754,-2.070618032,-8.470065552,0.740224174,-0.97447326,1.993669876,5.883745323,0,full,1,0.5,67
-0.406969829,-2.6224448,-2.065861471,-8.047280258,0.740102684,-0.96453945,2.000794596,6.289194927,0,full,1,0.5,68
-0.527065634,-3.004758427,-2.190326125,-7.111754028,1.102259841,-0.608307229,2.544472331,2.868955796,0,full,1,0.5,69
-0.515323378,-2.961030934,-2.113287746,-7.040492659,0.858152369,-0.863185124,2.116100383,3.061353736,0,full,1,0.5,70
-0.520113887,-2.765637679,-2.144967302,-8.593859082,0.925161475,-0.783979587,2.24091051,3.270046095,0,full,1,0.5,71
-0.428306945,-2.646496468,-2.079700772,-19.10281789,0.752843693,-0.956772251,2.009200129,5.03226565,0,full,1,0.5,72
-0.59194831,-3.157940851,-2.262678437,-7.493713143,1.186284932,-0.553062492,2.671527424,2.880838844,0,full,1,0.5,73
-0.518209394,-3.253840992,-2.16538302,-8.238295802,1.025985516,-0.668397112,2.41608344,2.875248735,0,full,1,0.5,74
-0.420360063,-2.636830472,-2.063496979,-9.955261072,0.74035085,-0.969652388,1.987997312,5.078912642,0,full,1,0.5,75
-0.518486871,-3.190492241,-2.121780682,-8.152550576,0.899789605,-0.803928369,2.186783375,2.887293265,0,full,1,0.5,76
-0.519871628,-2.791019965,-2.143795446,-11.80302789,0.924101348,-0.784422812,2.238572753,3.241731162,0,full,1,0.5,77
-0.518301089,-2.681535172,-2.143555768,-9.77035172,0.911699209,-0.801230331,2.2196316,3.417478382,0,full,1,0.5,78
-0.519593641,-2.63796444,-2.129991424,-9.68071795,0.865141517,-0.867308247,2.133599074,3.639104979,0,full,1,0.5,79
-0.518671827,-2.700561004,-2.143310414,-8.108306855,0.909997572,-0.803842193,2.216478597,3.423987865,0,full,1,0.5,80
-0.517175501,-2.942537472,-2.11048801,-6.857009241,0.85060381,-0.876738579,2.100287425,3.079840507,0,full,1,0.5,81
-0.52250285,-3.137914957,-2.185407852,-7.771694928,1.095951757,-0.611618201,2.534818669,2.868117969,0,full,1,0.5,82
-0.435096208,-2.696585487,-2.088710323,-7.265294939,0.792708274,-0.891422274,2.076470995,4.583827934,0,full,1,0.5,83
-0.416685603,-2.584933791,-2.070123418,-34.27020125,0.738977379,-0.9796628,1.9876825,5.917029719,0,full,1,0.5,84
-0.528138666,-3.146813912,-2.193737117,-7.646903155,1.106696955,-0.60246278,2.552238381,2.86914434,0,full,1,0.5,85
-0.518771524,-3.262438873,-2.17627241,-11.4611004,1.071028967,-0.628436766,2.49296574,2.872951655,0,full,1,0.5,86
-0.52098941,-2.736675387,-2.15727332,-11.45159975,0.956148301,-0.750232038,2.298066114,3.308943128,0,full,1,0.5,87
-0.517664962,-2.927080448,-2.124406149,-7.276757625,0.864928248,-0.856771388,2.127469779,3.093123081,0,full,1,0.5,88
-0.550884728,-3.077415084,-2.205579931,-7.409598248,1.103725154,-0.61496385,2.539901607,2.875396889,0,full,1,0.5,89
