"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-3.89469765938611,-1.37003783162736,-86.9617965808351,14.513981314986,1.03143364408929,15.9643613173465,6.7870759906969,0,"reduced",1,0.5,1
0,-3.50871460309386,-1.48474572119131,-26.0404524899291,1.46451668079857,-0.27858544268654,3.11544261951896,6.65418159024385,0,"reduced",1,0.5,2
0,-3.44182613482864,-1.51670969978707,-8.00389985965075,1.11125367563715,-0.494483535192059,2.63129843771403,6.68572342196949,0,"reduced",1,0.5,3
0,-3.5703223194775,-1.45773328275596,-12.4377973101739,2.33815148470972,0.0373896556275187,4.1506458776286,6.63150609860147,0,"reduced",1,0.5,4
0,-3.13516466091344,-1.66636156987628,-19.6740773006958,0.842146063857617,-0.65411083069754,2.30910385704428,7.59569636022474,0,"reduced",1,0.5,5
0,-3.29012075564602,-1.59312105656283,-9.29161509134464,0.812142521469142,-0.81173430196448,2.15865799843353,6.7719851065932,0,"reduced",1,0.5,6
0,-3.21243252784924,-1.6312160777981,-25.0539624769575,0.753290969737805,-0.874888695408559,2.07203270241443,6.85335993576617,0,"reduced",1,0.5,7
0,-3.16222742105044,-1.66138400812813,-10.5671615485285,0.845587056227586,-0.643368744508973,2.31908922400274,7.52789087838444,0,"reduced",1,0.5,8
0,-2.91737808183314,-1.73568702445287,-24.7310281618812,0.709412949061766,-0.837754349369674,2.11136627666841,9.00651672546365,0,"reduced",1,0.5,9
0,-3.32315671336539,-1.57509991133035,-55.2737571864297,0.851464803983956,-0.756547655415129,2.22495766451053,6.7496609528425,0,"reduced",1,0.5,10
0,-3.17589213557792,-1.66473241698079,-20.3335420374961,0.856247900933672,-0.618817221719876,2.34497321541218,7.50102231630613,0,"reduced",1,0.5,11
0,-3.48928002004876,-1.52664083481717,-26.1088197543696,1.33228759827997,-0.349691665497547,2.94143945731001,6.66252121551049,0,"reduced",1,0.5,12
0,-3.33172114232424,-1.57003774214575,-15.4152244059243,0.872805608726623,-0.727367473959865,2.26408195857393,6.74606835467141,0,"reduced",1,0.5,13
0,-3.71830047519852,-1.38841774966609,-18.6207912131653,27.5738416504691,1.3745552360204,27.2912154281208,6.67561046925084,0,"reduced",1,0.5,14
0,-3.03982662783137,-1.67588658065853,-13.7412119072732,0.8275958792713,-0.65452663996082,2.30251839365706,8.03258107118692,0,"reduced",1,0.5,15
0,-3.2778642204919,-1.67163920010553,-17.6149879799723,0.869132182976388,-0.580814513845091,2.3805122188773,7.26625862473423,0,"reduced",1,0.5,16
0,-3.28149374094782,-1.59970964189969,-13.6745334909361,0.790395040182702,-0.837101369173543,2.11549141201643,6.77941367148276,0,"reduced",1,0.5,17
0,-3.5397309367727,-1.47315337215614,-61.1508244823291,1.81054114177213,-0.127846698266574,3.54385361731029,6.64215606611394,0,"reduced",1,0.5,18
0,-3.56257156413732,-1.46036794900846,-9.74168908001636,2.23423028005964,0.00962981096985809,4.03335236143236,6.63388651428271,0,"reduced",1,0.5,19
0,-3.09932399545795,-1.66089265551066,-11.8048090348146,0.83103529211635,-0.675434542239441,2.28670084927243,7.70756319973076,0,"reduced",1,0.5,20
