lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.414917328,-2.651862588,-2.066139781,-12.31868877,0.7447959,-0.960047494,2.005220806,5.211223867,0,full,1,0.5,1
-0.573996169,-2.622277014,-1.283882907,-9.203609933,0.748368494,-0.97589867,1.997153952,5.229482705,0,full,1,0.5,2
-0.420365226,-2.639240307,-2.05400018,-9.367703591,0.742137052,-0.970073295,1.995293873,5.210629483,0,full,1,0.5,3
-0.506645934,-2.633692658,-1.610748589,-8.599369412,0.746917279,-0.968434332,2.001047179,5.262477035,0,full,1,0.5,4
-0.524458668,-2.634093106,-1.507094542,-10.0234229,0.74650866,-0.969195365,2.000468492,5.262604877,0,full,1,0.5,5
-0.603224202,-2.651660958,-1.083813833,-7.659014105,0.753330189,-0.954587724,2.016841696,5.190874241,0,full,1,0.5,6
-0.326030632,-2.681517594,-2.59472308,-6.291301501,0.745933343,-0.93569464,2.024271689,5.16231129,0,full,1,0.5,7
-0.619924605,-2.636497874,-1.000739867,-4.970346136,0.751311974,-0.959254067,2.012581491,5.182352384,0,full,1,0.5,8
-0.633094134,-2.651954549,-0.928592339,-6.935857147,0.755165917,-0.95231631,2.019267492,5.159542096,0,full,1,0.5,9
-0.578467943,-2.6351067,-1.224681424,-15.68016569,0.751257797,-0.960522156,2.011126131,5.213533169,0,full,1,0.5,10
-0.299828414,-2.638132281,-2.89166248,-11.89375663,0.738921992,-0.972120055,1.990731565,5.114329267,0,full,1,0.5,11
-0.26594512,-2.645968177,-3.147824754,-23.9559255,0.737347746,-0.97431063,1.987638304,5.08954663,0,full,1,0.5,12
-0.125071031,-2.749588834,-5.987662233,-7.900355714,0.804033132,-0.839234745,2.127223365,4.966615959,0,full,1,0.5,13
-0.151145673,-2.725097479,-4.620208205,-6.405738192,0.779783442,-0.873975683,2.082726405,4.971492185,0,full,1,0.5,14
-0.341738665,-2.645619095,-2.552286209,-8.094022901,0.740493994,-0.969463703,1.994213383,5.142509261,0,full,1,0.5,15
-0.46309262,-2.633604115,-1.844383809,-6.370278753,0.744324154,-0.972162573,1.996108348,5.246322435,0,full,1,0.5,16
-0.417590741,-2.638642225,-2.076103155,-11.2271222,0.743274773,-0.968988887,1.997213496,5.204664572,0,full,1,0.5,17
-0.536156992,-2.647632307,-1.434140255,-10.4607819,0.749825153,-0.958868678,2.011001406,5.259937053,0,full,1,0.5,18
-0.162571687,-2.691960249,-4.386770135,-7.48646444,0.74607918,-0.931468045,2.0244739,4.984362258,0,full,1,0.5,19
-0.365455903,-2.638333986,-2.393146021,-12.26152824,0.742505313,-0.969098021,1.995442634,5.164622656,0,full,1,0.5,20
-0.237414341,-2.696887535,-3.241122018,-6.705454797,0.750130315,-0.925022523,2.032143812,5.078955378,0,full,1,0.5,21
-0.460695967,-2.623298709,-1.871909958,-6.534110972,0.743071916,-0.978597601,1.99014155,5.246571699,0,full,1,0.5,22
-0.311390903,-2.647981156,-2.780949701,-6.751834203,0.739462541,-0.968873732,1.993808861,5.12380335,0,full,1,0.5,23
-0.332359225,-2.629731463,-2.641162213,-7.735550044,0.737711446,-0.979009046,1.985328516,5.140989176,0,full,1,0.5,24
-0.312766481,-2.646019711,-2.75770389,-5.426141115,0.74287407,-0.962582811,1.999832382,5.134557892,0,full,1,0.5,25
-0.583539729,-2.63183069,-1.209837326,-16.75496487,0.752717799,-0.959102122,2.012506098,5.212388852,0,full,1,0.5,26
-0.482811551,-2.636076891,-1.731949997,-12.27594844,0.745656859,-0.968702666,1.999678603,5.254763294,0,full,1,0.5,27
-0.396139071,-2.645583431,-2.18907162,-6.801315297,0.742972317,-0.965901888,1.999303438,5.190166442,0,full,1,0.5,28
-0.646892049,-2.537529685,-1.026709054,-10.8897996,0.745397365,-1.024337629,1.955571752,5.210234626,0,full,1,0.5,29
-0.604107657,-2.634734592,-1.098916857,-7.138924747,0.751851568,-0.96334628,2.008969806,5.196708665,0,full,1,0.5,30
-0.383790342,-2.685852543,-2.182271587,-10.11555971,0.747454114,-0.938842044,2.023331672,5.208213809,0,full,1,0.5,31
-0.310798997,-2.644105379,-2.796461249,-6.573169371,0.738443827,-0.974097595,1.989025168,5.122560495,0,full,1,0.5,32
