lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.421000199,-2.229096832,-2.069513753,-6.171984714,0.735024687,-0.992029507,1.976725689,6.039163987,0,full,1,0.5,1
-0.405890048,-3.758731423,-2.072672484,-9.39413514,0.78872779,-0.863750625,2.099254804,4.447542889,0,full,1,0.5,2
-0.486360391,-1.19421827,-2.07031919,-10.82106654,0.736304762,-1.074352169,1.907082559,7.738773604,0,full,1,0.5,3
-0.408038575,-4.080478244,-2.074377648,-6.980684274,0.790379457,-0.862684344,2.100750121,4.396911084,0,full,1,0.5,4
-0.491792234,-0.905641922,-2.062509619,-13.83543752,0.724443319,-1.105465264,1.880734494,8.974027543,0,full,1,0.5,5
-0.487565393,-1.238270908,-2.065658113,-9.005632174,0.729149793,-1.090252917,1.893392669,7.676894741,0,full,1,0.5,6
-0.44255682,-1.884924242,-2.073191645,-6.640295519,0.736850888,-1.017148351,1.955366302,6.609731474,0,full,1,0.5,7
-0.48659348,-1.077503216,-2.068431302,-12.42964486,0.735654012,-1.076671841,1.905047221,7.951967661,0,full,1,0.5,8
-0.413642837,-2.402951672,-2.067587033,-5.73305841,0.737776199,-0.977038726,1.989892051,5.771577833,0,full,1,0.5,9
-0.487664167,-1.032835246,-2.065163164,-8.775258407,0.727038424,-1.094614759,1.889622836,8.071323233,0,full,1,0.5,10
-0.487420702,-1.063315203,-2.068269704,-15.15976745,0.733380101,-1.081511976,1.90085402,8.01416019,0,full,1,0.5,11
-0.490281462,-0.984329647,-2.053339756,-7.452515192,0.723712939,-1.105332428,1.880869694,8.346911071,0,full,1,0.5,12
-0.412793222,-2.600282468,-2.06925375,-9.780082583,0.74172396,-0.966931191,1.998807682,5.318668202,0,full,1,0.5,13
-0.486644408,-1.090287989,-2.06989735,-7.174838066,0.736111587,-1.074868597,1.906616906,7.931048644,0,full,1,0.5,14
-0.482161924,-0.585903354,-2.023700221,-9.677333007,0.713061426,-1.125855013,1.864493104,10.07832805,0,full,1,0.5,15
