lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.534075756,-2.854908847,-3.270202399,-7.778501034,0.737686993,-0.989871931,1.981280402,6.035644175,0,full,1,0.5,1
-0.511487916,-2.819481809,-2.903183024,-6.143831667,0.73473204,-0.986331157,1.980531839,5.901209654,0,full,1,0.5,2
-0.528824754,-2.851088136,-3.204051288,-8.056891569,0.737656488,-0.98856967,1.982081846,6.017589114,0,full,1,0.5,3
-0.508644585,-2.824640398,-2.878240671,-5.835782751,0.739761134,-0.977739523,1.991540941,5.874747379,0,full,1,0.5,4
-0.490994902,-2.776904288,-2.572425772,-7.094934869,0.740996955,-0.975430831,1.993058981,5.709245544,0,full,1,0.5,5
-0.490492878,-2.801060618,-2.567506557,-6.943249302,0.75702803,-0.947191802,2.020716091,5.682089895,0,full,1,0.5,6
-0.398089103,-2.59427551,-1.97095287,-6.810770405,0.744117806,-0.966979624,1.998868283,5.107460378,0,full,1,0.5,7
-0.537514623,-2.878756971,-3.427387075,-6.46104023,0.738137344,-0.985644417,1.985209179,6.083196367,0,full,1,0.5,8
-0.491219876,-2.792479135,-2.590743219,-9.860609338,0.750709616,-0.957842273,2.010014852,5.695238901,0,full,1,0.5,9
-0.440649078,-2.676049622,-2.185150655,-5.980820508,0.743466311,-0.969798149,1.996953046,5.332974162,0,full,1,0.5,10
-0.400946616,-2.518343973,-1.962111106,-5.90683595,0.741431339,-0.983309144,1.984297306,5.112106523,0,full,1,0.5,11
-0.359623177,-2.518654508,-1.817872385,-38.52605985,0.746199597,-0.961614029,2.002544049,4.898152243,0,full,1,0.5,12
-0.436260426,-2.657553549,-2.160382069,-6.518470949,0.74195546,-0.9747415,1.992568186,5.304459206,0,full,1,0.5,13
-0.426359308,-2.706162492,-2.135103682,-5.883135843,0.744054206,-0.961712388,2.004142004,5.279815606,0,full,1,0.5,14
-0.386701229,-2.5265931,-1.908294455,-15.60854947,0.744933947,-0.969222819,1.99641455,5.031193009,0,full,1,0.5,15
-0.497843425,-2.840614627,-2.76997934,-8.373631607,0.742303359,-0.96380125,2.003526522,5.818620046,0,full,1,0.5,16
-0.470405998,-2.72332066,-2.366360962,-5.54143822,0.744188974,-0.971032794,1.996752769,5.526440782,0,full,1,0.5,17
-0.530990217,-2.878621171,-3.167726942,-12.51547891,0.7404994,-0.97843673,1.992389387,6.054877307,0,full,1,0.5,18
-0.337609703,-2.474921087,-1.7413974,-13.86698707,0.74749517,-0.958082148,2.005147127,4.76399039,0,full,1,0.5,19
-0.462282141,-2.729884289,-2.325539304,-12.25427582,0.757935073,-0.94415078,2.021920423,5.480520793,0,full,1,0.5,20
-0.43816185,-2.717334914,-2.223399398,-27.60638531,0.7459703,-0.953583501,2.011511351,5.38359422,0,full,1,0.5,21
-0.446341676,-2.691061377,-2.225889724,-10.82820115,0.744653893,-0.9672981,1.999466646,5.373074571,0,full,1,0.5,22
-0.509275628,-2.817750244,-2.846966679,-6.369071494,0.739934528,-0.977937812,1.991275884,5.85068708,0,full,1,0.5,23
-0.512923385,-2.828450484,-2.908026601,-15.26438325,0.741408538,-0.975663559,1.993671026,5.878571447,0,full,1,0.5,24
-0.508544105,-2.850907141,-2.808772255,-14.86214637,0.757222082,-0.946219085,2.020867865,5.831495192,0,full,1,0.5,25
-0.513649294,-2.825192188,-2.846890114,-5.570133284,0.754890978,-0.953145244,2.014665402,5.854182041,0,full,1,0.5,26
-0.318817254,-2.372993051,-1.666704303,-7.553596997,0.748332027,-0.961636657,2.001422304,4.607227319,0,full,1,0.5,27
-0.528138969,-2.861719578,-2.957138924,-6.379174546,0.738678701,-0.982279792,1.987875052,6.02826417,0,full,1,0.5,28
-0.484224055,-2.769775701,-2.545267455,-11.20911658,0.742928441,-0.970426435,1.997425613,5.663492162,0,full,1,0.5,29
-0.373479821,-2.582841942,-1.896587332,-9.964860559,0.747418423,-0.950407801,2.012982319,5.022640554,0,full,1,0.5,30
-0.411327098,-2.628074789,-2.036207876,-7.850228224,0.743864839,-0.966903629,1.999018607,5.172728067,0,full,1,0.5,31
-0.478988588,-2.765229066,-2.517203703,-6.568926053,0.744799925,-0.967652829,2.00003653,5.651559362,0,full,1,0.5,32
-0.345794886,-2.467090218,-1.763634035,-10.79734743,0.746521104,-0.962597072,2.001294846,4.806686707,0,full,1,0.5,33
-0.50617727,-2.80774949,-2.803321816,-6.032156309,0.737132845,-0.981842163,1.985839278,5.838409607,0,full,1,0.5,34
-0.496196945,-2.806218391,-2.644356426,-19.99038402,0.751528928,-0.956565493,2.010899183,5.730743052,0,full,1,0.5,35
-0.428743532,-2.626481443,-2.103892165,-8.616822443,0.741386445,-0.983513376,1.984641554,5.247111343,0,full,1,0.5,36
-0.515740044,-2.870650327,-3.087833672,-18.05385864,0.741445169,-0.969060017,1.999387814,5.97972576,0,full,1,0.5,37
-0.525835306,-2.877893619,-3.181531566,-7.468984703,0.740806569,-0.97613092,1.993625938,5.999021333,0,full,1,0.5,38
-0.480665324,-2.754574479,-2.482758274,-7.431844026,0.74447536,-0.968917641,1.998762354,5.613658257,0,full,1,0.5,39
-0.454082917,-2.705438134,-2.282073663,-6.340538909,0.74296498,-0.970486491,1.996792619,5.438067662,0,full,1,0.5,40
