"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-3.89535437380891,-2.5666210876881,-15.786277239255,0.802510457401846,-0.634962931239445,2.31379016447874,9.82258043027748,0,"reduced",1,0.5,1
0,-3.71420864108543,-2.35633848228046,-24.5112230084824,0.81866220930514,-0.605408734901523,2.34518343460968,9.47345197874675,0,"reduced",1,0.5,2
0,-3.86729398281112,-2.53491562260797,-21.2476822869485,0.802226547708211,-0.638829737758949,2.31015287841655,9.77540119500797,0,"reduced",1,0.5,3
0,-3.6892251590829,-2.32959144852427,-10.7868123960067,0.807026951356145,-0.642655035440013,2.30778945187718,9.43709627599488,0,"reduced",1,0.5,4
0,-3.50891985215304,-2.1324153855019,-13.8952718860173,0.811091581520504,-0.653480998316344,2.29907730523134,9.03957478573798,0,"reduced",1,0.5,5
0,-3.47086596979248,-2.0831451753158,-11.5321090984374,0.81247527552913,-0.655219096432475,2.29776314566698,8.94869075541691,0,"reduced",1,0.5,6
0,-2.95201954202116,-1.55503808556258,-15.4470737910076,0.8254042968164,-0.709644577083123,2.25496900513356,7.49310629158135,0,"reduced",1,0.5,7
0,-3.97380807816016,-2.65047053178062,-11.0582694109938,0.800083685877726,-0.635450364077909,2.31277491715278,9.9428204043932,0,"reduced",1,0.5,8
0,-3.49123137890997,-2.10551189005215,-16.7203035411056,0.811641556925346,-0.654503983259597,2.29823906018566,8.99753778229579,0,"reduced",1,0.5,9
0,-3.17649023720822,-1.77332999320416,-40.5520395680732,0.817268987364632,-0.68213149540954,2.27459919434167,8.16768756558816,0,"reduced",1,0.5,10
0,-2.94630606715509,-1.55484256672916,-8.11667162098415,0.828225060285855,-0.707274628894239,2.25898082520498,7.4646052883139,0,"reduced",1,0.5,11
0,-2.79213109192514,-1.42290085580162,-10.5936187492587,0.866435712677638,-0.621700668711926,2.34718617735802,6.83559847618548,0,"reduced",1,0.5,12
0,-3.15197944416474,-1.74456249521954,-9.40370469899844,0.821485155158682,-0.682321039098601,2.27742867083484,8.10213455112901,0,"reduced",1,0.5,13
0,-3.12755091740904,-1.72406868221285,-10.3953010622437,0.823621590014108,-0.684199931605484,2.2772701515082,8.03894188972624,0,"reduced",1,0.5,14
0,-2.88302020655123,-1.49670181148536,-19.6650435824663,0.828743142966177,-0.699537338298456,2.2626430630638,7.23954380215575,0,"reduced",1,0.5,15
0,-3.62362245964795,-2.2544089426514,-11.1993016892324,0.810816895142002,-0.637850023387047,2.31316971415807,9.29422312696145,0,"reduced",1,0.5,16
0,-3.32922665277288,-1.92814399536385,-10.7269612136672,0.820447539498352,-0.660415579801166,2.29640556377717,8.59016989248725,0,"reduced",1,0.5,17
0,-3.92958422498257,-2.60428650481838,-10.8444310129186,0.818504082570797,-0.580200503774759,2.36832252550177,9.86311170262393,0,"reduced",1,0.5,18
0,-2.70043840774448,-1.45992426345101,-67.0043792572471,0.922104524776227,-0.525835417639209,2.45797019297258,6.45729923470052,0,"reduced",1,0.5,19
0,-3.28108210336331,-1.88516651302239,-8.08933286484674,0.817387178151105,-0.671223656329391,2.28561165555923,8.48392760615963,0,"reduced",1,0.5,20
0,-3.21088830344241,-1.80402483172688,-24.0777739537179,0.82175359249161,-0.674323821810125,2.28514860409625,8.26925658318966,0,"reduced",1,0.5,21
0,-3.20989892459769,-1.80519374396213,-22.4507006109737,0.822226554448794,-0.674073935671061,2.2857120880649,8.26713554058738,0,"reduced",1,0.5,22
0,-3.71268864638096,-2.30730958536788,-12.2952859443794,0.813744711374288,-0.623408392595367,2.32723456350818,9.3890394755498,0,"reduced",1,0.5,23
0,-3.70225055032392,-2.3443521984827,-9.41193881408653,0.808265710752231,-0.637036030548413,2.3132757300995,9.46154152005579,0,"reduced",1,0.5,24
0,-3.63270644537555,-2.26463762840868,-7.90233830126911,0.812136030616286,-0.63267917755734,2.31828835312473,9.31304024305074,0,"reduced",1,0.5,25
0,-3.65464029168032,-2.28961649076078,-9.16121885491059,0.810600916670329,-0.635174041848212,2.31558833768397,9.36062980760139,0,"reduced",1,0.5,26
0,-2.60615136790868,-1.50326272865497,-11.6240385786443,0.988767705674125,-0.430509986587603,2.57374921541597,6.05119400346343,0,"reduced",1,0.5,27
0,-3.8764241734032,-2.53391126740697,-23.3499244372983,0.802838526089475,-0.636732491643726,2.31223060400107,9.77409136394243,0,"reduced",1,0.5,28
0,-3.46596504701298,-2.07748021159085,-130.251023580934,0.813104237568403,-0.654349830687987,2.29873884139206,8.93656724139639,0,"reduced",1,0.5,29
0,-2.90471184171606,-1.48711553781079,-15.1713450517847,0.83512710540126,-0.686573010633299,2.2770422575517,7.19140621913258,0,"reduced",1,0.5,30
0,-3.01764128530798,-1.62102248109547,-8.03582847478634,0.821979448179607,-0.706736463256086,2.25641971074251,7.73227494536921,0,"reduced",1,0.5,31
0,-3.4283375854718,-2.05669429260746,-12.3908991829458,0.810324570119406,-0.664351086770818,2.28878063189613,8.89604665865155,0,"reduced",1,0.5,32
0,-2.72666915130704,-1.4459569022962,-17.0389614229894,0.895458022640802,-0.569275698273856,2.40650466762064,6.57152282470574,0,"reduced",1,0.5,33
0,-3.64516888545318,-2.27879009512242,-14.4375824845615,0.812587546355225,-0.630072843531274,2.32079716085582,9.33768448923713,0,"reduced",1,0.5,34
0,-3.52866027530946,-2.14630174281781,-9.30370088728245,0.810137001146544,-0.652616279901797,2.29944422778669,9.08281264032753,0,"reduced",1,0.5,35
0,-3.08778464113559,-1.68187465641202,-37.028338635312,0.819260773391131,-0.692606509506867,2.26604931128507,7.90900934975291,0,"reduced",1,0.5,36
0,-3.82193624637968,-2.48067136401992,-9.69396624575609,0.810898144584468,-0.615176423437073,2.33408822242733,9.68425372141519,0,"reduced",1,0.5,37
0,-3.85834283776298,-2.52282007154053,-14.8652633379025,0.814998448784862,-0.601033664740707,2.34858827073402,9.74787562050155,0,"reduced",1,0.5,38
0,-3.41007098813038,-2.02354213967368,-10.0219180534067,0.813499838958422,-0.660893069301347,2.29289562608099,8.81878625104002,0,"reduced",1,0.5,39
0,-3.26110283532123,-1.860479769589,-87.0992802121285,0.819357757573629,-0.670299353640717,2.28741516548189,8.40541753726131,0,"reduced",1,0.5,40
0,-3.41884160024491,-2.0162672943395,-13.1282365173226,0.816712064554335,-0.653863454252214,2.30029540616164,8.79935704579293,0,"reduced",1,0.5,41
0,-2.64921617399008,-1.48598811905755,-17.1209364752763,0.979968708287438,-0.439303220103552,2.56171609651848,6.21252434871785,0,"reduced",1,0.5,42
0,-3.57431521914185,-2.19873612689367,-25.9185189823106,0.809440183107486,-0.648927065478663,2.30264352131456,9.18940923534017,0,"reduced",1,0.5,43
0,-2.63612453654414,-1.49025346745669,-14.5939095278871,0.968419584440772,-0.45692718267005,2.54047633138512,6.16710425693635,0,"reduced",1,0.5,44
0,-2.86622471197499,-1.45398928686229,-12.2219740036571,0.87576458672973,-0.610488184534204,2.36514983832779,6.99911787251417,0,"reduced",1,0.5,45
0,-2.74722875965516,-1.44231957123417,-8.61120811700248,0.930275279083263,-0.499908846028179,2.48391469964017,6.61835452093969,0,"reduced",1,0.5,46
0,-3.38817813244568,-1.98898840703242,-13.8409236682084,0.816695093760098,-0.658003637400243,2.29652263229591,8.73456927879247,0,"reduced",1,0.5,47
0,-2.65105838811453,-1.4859232945933,-89.5409928622732,0.985890558008471,-0.431035793193151,2.57217377401058,6.21807297444528,0,"reduced",1,0.5,48
0,-3.01007059618868,-1.60832567777899,-10.3350565098235,0.822432367040592,-0.702225098008333,2.25948957127916,7.67492617246042,0,"reduced",1,0.5,49
0,-3.86417454019527,-2.5309366713168,-9.84460721224742,0.803110836655574,-0.636889968368821,2.31221131015783,9.77014446411596,0,"reduced",1,0.5,50
0,-2.74030669415002,-1.4388634222292,-15.0169245239137,0.893476457006142,-0.571679536609051,2.40360409034502,6.63568459612692,0,"reduced",1,0.5,51
0,-2.88009276224606,-1.49595589880035,-12.9739125215905,0.830317341602767,-0.696668411608279,2.26589528505312,7.22993988239473,0,"reduced",1,0.5,52
0,-3.7614912986355,-2.41150531966659,-45.4244845491161,0.816120137012317,-0.606370842181483,2.343666224474,9.56776124234118,0,"reduced",1,0.5,53
0,-2.69923567241542,-1.45967035255952,-48.4521805940196,0.917875734272885,-0.531481485511247,2.4503727187696,6.45622738234366,0,"reduced",1,0.5,54
0,-3.97397047633636,-2.65171780672211,-92.1578617153466,0.800105566191824,-0.635538498378869,2.31281084236016,9.94429703047257,0,"reduced",1,0.5,55
0,-3.2207587208603,-1.81598572273619,-9.5446151136425,0.820587710675987,-0.674054520597968,2.2846262697424,8.29605122803576,0,"reduced",1,0.5,56
0,-3.90714161445146,-2.5804367385654,-14.9900307701112,0.80129608795238,-0.637864584005817,2.31082957993094,9.84381052907143,0,"reduced",1,0.5,57
0,-3.06585330587427,-1.66777418002475,-26.6134430190436,0.822286525390981,-0.693613996190842,2.26733428278436,7.84701591792211,0,"reduced",1,0.5,58
0,-2.79805905039835,-1.43214189013514,-19.7730430183804,0.869102433780197,-0.617901580059667,2.35266339931286,6.8834778874749,0,"reduced",1,0.5,59
0,-3.37355549953923,-1.94769196386063,-10.9967514585506,0.824090420994141,-0.648224581311514,2.30857099591921,8.63593704884283,0,"reduced",1,0.5,60
0,-2.96054261796655,-1.56323710865873,-17.0645196941353,0.829165238437061,-0.700987124315844,2.26487613426592,7.52068686707938,0,"reduced",1,0.5,61
0,-3.41389233065289,-2.01987265898793,-10.539127205442,0.815051633924017,-0.657422321687422,2.29653440439196,8.80839506113308,0,"reduced",1,0.5,62
0,-3.26622707248995,-1.86150351668724,-21.6240427259789,0.820945754169131,-0.668432223372891,2.2902702475085,8.42037443631528,0,"reduced",1,0.5,63
0,-3.41688987603724,-2.02310650988583,-24.3953749503375,0.81768182251593,-0.650459300274667,2.30369997291091,8.81416872114198,0,"reduced",1,0.5,64
0,-2.91555145705044,-1.50632480816592,-18.9612670524865,0.825172902169188,-0.708255025655128,2.25355899373492,7.2883381574212,0,"reduced",1,0.5,65
0,-3.0636790888644,-1.65843050461013,-10.7015027981957,0.823700935810362,-0.692911627573447,2.26904803267334,7.84175564511334,0,"reduced",1,0.5,66
0,-3.7747500798495,-2.42671234255229,-7.72641431096976,0.817393489490827,-0.600387437289104,2.34942896402414,9.59289055380022,0,"reduced",1,0.5,67
0,-3.86430295112234,-2.42739177826054,-8.05443255346203,0.8137802056773,-0.610912911435146,2.33875988042308,9.59772065002819,0,"reduced",1,0.5,68
0,-3.92284369031413,-2.60610645140834,-11.8051648779915,0.800762007367132,-0.637872731382511,2.31069788396967,9.87387876511379,0,"reduced",1,0.5,69
0,-3.31837882519712,-1.91649043699197,-10.1119567764466,0.817486788419606,-0.664975332588932,2.29041044872575,8.5599336407917,0,"reduced",1,0.5,70
0,-3.54054499594287,-2.16042620300122,-11.4233389352096,0.812640661934897,-0.644379276590551,2.30770718835117,9.11006710667051,0,"reduced",1,0.5,71
0,-3.69799608035497,-2.33369541809167,-11.3964172531654,0.807899971314461,-0.639381105096156,2.31102282758475,9.44320359570637,0,"reduced",1,0.5,72
0,-3.14246557156848,-1.73504291466002,-11.0306244857734,0.81904142181141,-0.685214439324883,2.27288897773261,8.07102458191863,0,"reduced",1,0.5,73
0,-2.5478627749583,-1.52417067733191,-14.2107323970101,0.981379947931837,-0.444890387854459,2.55722434826859,5.88929172789615,0,"reduced",1,0.5,74
0,-3.59610582752869,-2.2252464598228,-21.8058501611995,0.813755017590504,-0.634350582268974,2.31750162248157,9.23772428099086,0,"reduced",1,0.5,75
0,-3.88350266569647,-2.42783235678446,-11.9424362662704,0.816008145964146,-0.605706651829537,2.34413360366348,9.5706297119002,0,"reduced",1,0.5,76
0,-2.93467765903142,-1.54043885103361,-12.9042221393031,0.82483763694286,-0.71322049292975,2.25132620187715,7.43884056363474,0,"reduced",1,0.5,77
0,-3.86843458143078,-2.53064853060781,-11.9672463989743,0.803060837819865,-0.636475369709163,2.31252188046955,9.76685636895237,0,"reduced",1,0.5,78
0,-3.62340010263953,-2.25394967065027,-19.4009600781868,0.811854954352628,-0.635082567384986,2.31599887471575,9.29227690500509,0,"reduced",1,0.5,79
0,-3.71581620515596,-2.35786510751328,-38.2834861727813,0.814862574643957,-0.614781424899534,2.33547104448626,9.47530967054855,0,"reduced",1,0.5,80
0,-3.5497396162504,-2.16798204893196,-16.9463062606791,0.810003518290108,-0.650874404514497,2.30104884726549,9.12784063611987,0,"reduced",1,0.5,81
0,-3.96577070981323,-2.64752782215593,-13.2201442919289,0.802509986847391,-0.627912884695049,2.32030672301153,9.93672915486171,0,"reduced",1,0.5,82
0,-3.18188490832507,-1.77489031813086,-9.88893414963931,0.819421540922295,-0.682541016552762,2.27634184819725,8.19030684133658,0,"reduced",1,0.5,83
0,-3.98382209661539,-2.66873599555603,-11.4186761031749,0.805582571262899,-0.615825086941161,2.332199873504,9.96270042594001,0,"reduced",1,0.5,84
0,-3.64336512418601,-2.27664887797159,-7.84037648775131,0.815532910843213,-0.624607989193141,2.32722822802788,9.33564960615293,0,"reduced",1,0.5,85
0,-2.82011628760781,-1.44871401782595,-20.485110776859,0.854764804204676,-0.645032804537094,2.32185821147782,6.97971788177816,0,"reduced",1,0.5,86
0,-3.48256067710274,-2.09545671533057,-10.5908437083903,0.81205592129202,-0.6545923185843,2.29820479993004,8.97619517279154,0,"reduced",1,0.5,87
0,-2.9374423999926,-1.54262058467545,-28.1817917142895,0.825600697271891,-0.712699167760306,2.25263189511427,7.4497556948353,0,"reduced",1,0.5,88
0,-3.74918178228778,-2.39802530025019,-20.962925598246,0.809563934844999,-0.627497540407139,2.32238831667477,9.55136488891534,0,"reduced",1,0.5,89
0,-2.92821243054527,-1.53772234635934,-16.6832211436012,0.822840779849263,-0.716068264348318,2.24720604071494,7.41555565779727,0,"reduced",1,0.5,90
0,-3.73429688770842,-2.38131545067861,-8.87727527427814,0.805052529647676,-0.643324741322591,2.30667286782897,9.52898371332152,0,"reduced",1,0.5,91
0,-2.79674240514277,-1.43116389547184,-12.107688016896,0.866013087237521,-0.62190755481633,2.34701526693419,6.87759660972523,0,"reduced",1,0.5,92
0,-2.84157928008499,-1.46419830714606,-11.722447448051,0.845068732247463,-0.663985814877643,2.30070358292576,7.0666903613827,0,"reduced",1,0.5,93
0,-3.49616153746988,-2.11091891100048,-8.24678392635577,0.811284157793221,-0.654297661542975,2.29825956374086,9.0098401813589,0,"reduced",1,0.5,94
0,-3.67621164921802,-2.3143651119956,-9.18711282035415,0.810437573117904,-0.632838960651495,2.31768795206125,9.40545858968586,0,"reduced",1,0.5,95
0,-2.65330974667765,-1.48631054293675,-12.479612034402,0.993207323636053,-0.424737079653634,2.58275576192427,6.22927626042435,0,"reduced",1,0.5,96
0,-3.7086987310151,-2.3512523330583,-14.8431877314056,0.812668047257459,-0.621826049932684,2.32839770687693,9.46744555655544,0,"reduced",1,0.5,97
0,-2.52189823652235,-1.45621695554891,-10.1859898879997,1.04734175759688,-0.371916990800593,2.65371351552797,5.25013613412174,0,"reduced",1,0.5,98
0,-3.57933154549019,-2.18120651568786,-9.75562320417395,0.81140507746434,-0.644565415535644,2.30717002322878,9.15242669197137,0,"reduced",1,0.5,99
0,-2.52079786794922,-1.53734942186279,-12.328042943953,1.03480567727812,-0.377894543111999,2.64303130710415,5.79030939383651,0,"reduced",1,0.5,100
0,-3.49082039853268,-2.10469923808928,-10.1869016253128,0.812528506032753,-0.652692865000533,2.30027851506888,8.99592727979083,0,"reduced",1,0.5,101
0,-3.45893113883047,-2.07041321437582,-24.3690683579571,0.814709705669169,-0.651539572838269,2.30179498464996,8.91925260358395,0,"reduced",1,0.5,102
0,-2.89196008987448,-1.50440227843381,-20.4233738909176,0.828073136542121,-0.702449369699776,2.2602712811717,7.2768826223675,0,"reduced",1,0.5,103
0,-2.80348435046898,-1.43574353069987,-10.6962758333973,0.861492516771861,-0.630563037178706,2.33721894679861,6.90237914536282,0,"reduced",1,0.5,104
0,-3.87015213678356,-2.53708706961182,-59.3228057095786,0.807947110190462,-0.619551292348274,2.32931878951218,9.77353087879985,0,"reduced",1,0.5,105
0,-2.69827165511314,-1.45879131197222,-15.885033550418,0.90653266402356,-0.551014492663439,2.42773208517811,6.46186423726074,0,"reduced",1,0.5,106
0,-3.01244957727673,-1.64873032080017,-45.6196802289694,0.82337399699475,-0.699152944387173,2.26259793765687,7.68355816840852,0,"reduced",1,0.5,107
0,-3.34571988176266,-1.94581586735901,-10.9846277517348,0.818278587645598,-0.660426861107383,2.29483005709758,8.63229666838096,0,"reduced",1,0.5,108
0,-3.76448579487934,-2.41488746370979,-13.1560096360534,0.815814196120878,-0.605897613857278,2.34390284515581,9.5725200706839,0,"reduced",1,0.5,109
0,-2.86733500114098,-1.48447578133312,-19.7217635998242,0.834494940136331,-0.687310023177028,2.27579282661392,7.17821332474724,0,"reduced",1,0.5,110
0,-2.95068462796574,-1.56178174988845,-25.1893771682785,0.825664855793906,-0.710172181250226,2.25482197363658,7.49262894002285,0,"reduced",1,0.5,111
0,-3.31729137042943,-1.92359931534604,-100.414765425475,0.818080511916266,-0.666175338683133,2.2901599184439,8.58098445795568,0,"reduced",1,0.5,112
0,-3.15812210554508,-1.75142408113468,-13.9784941313198,0.822639379258071,-0.680560783869175,2.27990450004756,8.1231715058949,0,"reduced",1,0.5,113
0,-3.54321785322437,-2.17383172682676,-15.4170621316463,0.809866097701285,-0.651887693776059,2.30005442035388,9.11986493569565,0,"reduced",1,0.5,114
0,-3.42558022513002,-2.03275477186208,-10.8659456828635,0.816290618146704,-0.655920470738873,2.29935644546656,8.8397902136736,0,"reduced",1,0.5,115
0,-2.8984352641785,-1.50934954721034,-8.70181309308146,0.826340037809964,-0.706242926364349,2.25621510960709,7.30138506209621,0,"reduced",1,0.5,116
