lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.430137158,-2.582883571,-1.988405487,-23.41248585,0.737906722,-0.982771355,1.985023232,5.343346552,0,full,1,0.5,1
-0.419266087,-2.640649074,-2.060045141,-9.47668497,0.743710412,-0.967806071,1.998611809,5.226286603,0,full,1,0.5,2
-0.423007027,-2.647592565,-1.985935148,-12.2662555,0.742668488,-0.961463557,2.003931981,5.352854178,0,full,1,0.5,3
-0.425051623,-2.638329311,-1.993917719,-8.00666556,0.741625231,-0.968215049,1.997926443,5.338015872,0,full,1,0.5,4
-0.431701846,-2.601729392,-1.986834056,-8.247507859,0.739881567,-0.978048963,1.989291259,5.34377876,0,full,1,0.5,5
-0.433630377,-2.579259824,-1.980165766,-8.440959343,0.738864689,-0.981583994,1.986173712,5.353830294,0,full,1,0.5,6
-0.418037877,-2.639344018,-2.050806472,-9.68462274,0.74316191,-0.968631929,1.997601558,5.241142121,0,full,1,0.5,7
-0.433935884,-2.602868206,-1.975077021,-12.93091617,0.739114555,-0.979342602,1.9881321,5.360390402,0,full,1,0.5,8
-0.422702822,-2.610514071,-2.041677745,-9.95363543,0.742073183,-0.97377143,1.993049906,5.258138342,0,full,1,0.5,9
-0.424492475,-2.607110438,-2.022929542,-176.4012702,0.741743359,-0.974283413,1.992602052,5.285526399,0,full,1,0.5,10
-0.435533933,-2.603039211,-1.968456361,-7.517712707,0.739028942,-0.978696573,1.988734285,5.368955134,0,full,1,0.5,11
-0.425030629,-2.587446764,-2.030167621,-42.24513178,0.741454633,-0.976996303,1.990220834,5.27740146,0,full,1,0.5,12
-0.437814133,-2.564948535,-1.972344875,-6.58609081,0.738213015,-0.984210087,1.983940029,5.369613463,0,full,1,0.5,13
-0.432223735,-2.594612173,-1.991586804,-8.783092806,0.739688943,-0.978631413,1.988766385,5.350247876,0,full,1,0.5,14
-0.421451113,-2.62369418,-2.010189626,-102.5179661,0.742736593,-0.965581341,2.000268287,5.315227234,0,full,1,0.5,15
-0.413299448,-2.656951971,-2.062587221,-13.84578483,0.745309276,-0.956316972,2.008497562,5.225683002,0,full,1,0.5,16
-0.432110827,-2.611877479,-1.976479451,-10.07572771,0.7385222,-0.97856245,1.988093362,5.357544715,0,full,1,0.5,17
-0.414183136,-2.642994737,-2.069048382,-30.36222867,0.743443578,-0.966447627,1.999197561,5.211220576,0,full,1,0.5,18
-0.426702394,-2.582113897,-2.02314827,-47.51618305,0.741161456,-0.977820431,1.989516357,5.289584954,0,full,1,0.5,19
-0.413580644,-2.632755109,-2.019472956,-7.056235346,0.737730066,-0.978049604,1.989015961,5.301790522,0,full,1,0.5,20
-0.423658956,-2.636629263,-2.002878957,-17.63263209,0.742747009,-0.968607954,1.997680798,5.324752684,0,full,1,0.5,21
-0.430552184,-2.630034187,-1.975120245,-27.29041949,0.740405678,-0.971968429,1.994625146,5.360640129,0,full,1,0.5,22
-0.424232941,-2.615155176,-2.033635753,-6.809448032,0.741679633,-0.974900011,1.992089335,5.273646761,0,full,1,0.5,23
-0.423487033,-2.627677731,-2.024796773,-5.257297229,0.740622279,-0.97397603,1.992917125,5.291207601,0,full,1,0.5,24
-0.411746414,-2.661824948,-2.041938836,-6.736167362,0.745390548,-0.952828236,2.011611305,5.265776597,0,full,1,0.5,25
-0.419563807,-2.639928178,-2.051244391,-9.980016267,0.743238647,-0.968206167,1.997987622,5.239925252,0,full,1,0.5,26
-0.426872831,-2.637581339,-1.985526138,-5.472764035,0.740615501,-0.969373535,1.997006641,5.353675899,0,full,1,0.5,27
-0.426647463,-2.594670256,-2.047578351,-7.075613316,0.739175925,-0.986588756,1.98078675,5.258716344,0,full,1,0.5,28
-0.424298206,-2.610598072,-2.02384403,-12.99820555,0.738967767,-0.97984942,1.985856821,5.289587295,0,full,1,0.5,29
-0.407292098,-2.670109099,-2.04760344,-9.972127712,0.746025512,-0.950792564,2.013415655,5.255925036,0,full,1,0.5,30
-0.425788593,-2.592022022,-2.04278144,-6.280839851,0.740797094,-0.980358427,1.98715553,5.263012118,0,full,1,0.5,31
-0.419242129,-2.63021691,-2.037531871,-14.66494045,0.743292364,-0.966166398,1.999766683,5.267395596,0,full,1,0.5,32
-0.424368465,-2.594058244,-2.041462466,-9.058497562,0.740416936,-0.979782275,1.986970948,5.261846149,0,full,1,0.5,33
-0.418279798,-2.634386021,-2.048711252,-8.504152336,0.742467835,-0.970231768,1.995671431,5.233703358,0,full,1,0.5,34
-0.429401265,-2.632130984,-1.983873825,-5.73751602,0.740230272,-0.972928972,1.993855882,5.351444601,0,full,1,0.5,35
-0.435025439,-2.618157164,-1.979561755,-19.03775339,0.738630721,-0.982042846,1.984584806,5.361716379,0,full,1,0.5,36
-0.434689766,-2.587060305,-1.977277468,-6.458830156,0.738821038,-0.980721639,1.986822369,5.358375967,0,full,1,0.5,37
-0.432335473,-2.6031695,-1.981700537,-9.398107135,0.739720798,-0.977654232,1.989624546,5.350116656,0,full,1,0.5,38
-0.424185261,-2.616259821,-2.022381796,-26.89511843,0.741821727,-0.973180292,1.993567757,5.289091722,0,full,1,0.5,39
-0.43467499,-2.604087404,-1.972415195,-18.85192331,0.739296066,-0.978508038,1.988890217,5.362992028,0,full,1,0.5,40
-0.433446864,-2.571824271,-1.98484518,-6.623104469,0.738424798,-0.982625942,1.9847113,5.348545022,0,full,1,0.5,41
-0.430500832,-2.575450791,-2.015761732,-9.796691805,0.739956195,-0.984104963,1.98398285,5.305749858,0,full,1,0.5,42
-0.419837388,-2.638210022,-2.042220957,-9.044328893,0.742937376,-0.968934331,1.997326708,5.255774404,0,full,1,0.5,43
-0.41856508,-2.643902528,-2.044677029,-25.75818299,0.743573963,-0.965411251,2.000460625,5.253569215,0,full,1,0.5,44
-0.424326916,-2.603159456,-2.017958869,-51.89818953,0.741374162,-0.975252761,1.991747967,5.297717999,0,full,1,0.5,45
-0.428334101,-2.576064878,-2.009335573,-71.64292949,0.739594911,-0.980640719,1.986949737,5.316436753,0,full,1,0.5,46
-0.423267134,-2.634716824,-2.005496744,-15.17630148,0.741766256,-0.97128096,1.995214458,5.310739684,0,full,1,0.5,47
-0.419714366,-2.627799056,-2.060978014,-10.97480328,0.743136104,-0.969853161,1.996520967,5.2236711,0,full,1,0.5,48
-0.42876841,-2.627009825,-1.991229082,-7.176475962,0.740492749,-0.973981503,1.992864332,5.338973602,0,full,1,0.5,49
-0.436288403,-2.569278304,-1.974034892,-14.60375332,0.738633571,-0.982960654,1.984927013,5.361439429,0,full,1,0.5,50
-0.424203822,-2.591513941,-2.04000328,-9.430273239,0.741959844,-0.975735376,1.991348223,5.262766676,0,full,1,0.5,51
-0.416870675,-2.645605368,-2.011236176,-12.14553078,0.744411948,-0.961929209,2.00363652,5.318754209,0,full,1,0.5,52
-0.420976039,-2.621642658,-2.054248168,-6.52237684,0.742484444,-0.972151669,1.994530497,5.237919842,0,full,1,0.5,53
-0.420713387,-2.636559256,-2.041901151,-8.491021922,0.742341064,-0.970215118,1.995836896,5.256160573,0,full,1,0.5,54
-0.430170219,-2.624676494,-1.965258995,-17.47666222,0.738407129,-0.97764242,1.98888392,5.375808892,0,full,1,0.5,55
-0.427069698,-2.583497115,-2.020725206,-7.27335968,0.740944398,-0.978079043,1.989283532,5.294220405,0,full,1,0.5,56
-0.424277836,-2.626908326,-2.015036731,-21.70371482,0.741748233,-0.972131297,1.994447103,5.30002249,0,full,1,0.5,57
-0.428861974,-2.61497289,-1.99374575,-8.053673967,0.740456803,-0.975291366,1.991635692,5.332937659,0,full,1,0.5,58
-0.421762027,-2.637530248,-2.030271521,-37.39207703,0.742703081,-0.969762481,1.996602204,5.276392287,0,full,1,0.5,59
-0.424544804,-2.638896507,-1.997047793,-9.231690171,0.741831554,-0.968081042,1.998050253,5.330577853,0,full,1,0.5,60
-0.420710342,-2.635077652,-2.025379058,-6.105186932,0.7408856,-0.972778329,1.99389897,5.28742141,0,full,1,0.5,61
-0.430515015,-2.589748494,-1.995490089,-8.071275128,0.740129212,-0.978523894,1.988863375,5.331404069,0,full,1,0.5,62
-0.433941671,-2.571462215,-1.986106469,-7.929644549,0.739352533,-0.98169965,1.986113067,5.34554609,0,full,1,0.5,63
-0.427049273,-2.632539121,-1.994472418,-14.7876805,0.741053141,-0.972545513,1.994104662,5.331369527,0,full,1,0.5,64
-0.427633564,-2.636019006,-1.992470299,-14.75148402,0.742449231,-0.969447789,1.997840536,5.341754379,0,full,1,0.5,65
-0.426127615,-2.583381963,-2.025362866,-8.212235473,0.740111691,-0.979745446,1.987043344,5.287155733,0,full,1,0.5,66
-0.431519965,-2.619296133,-1.977667459,-6.859765367,0.738909053,-0.977195876,1.989878308,5.356898856,0,full,1,0.5,67
-0.43628832,-2.554037216,-2.015549301,-8.639971292,0.737345114,-0.998553965,1.970906322,5.318138331,0,full,1,0.5,68
-0.41856694,-2.630389399,-2.025255178,-20.3295879,0.7429476,-0.966650018,1.999334806,5.288933737,0,full,1,0.5,69
-0.426188108,-2.634997749,-1.99840028,-6.562099886,0.741085079,-0.971163619,1.995429473,5.333214743,0,full,1,0.5,70
-0.432335221,-2.587865751,-1.989058431,-6.096772135,0.73958786,-0.97955068,1.988037006,5.343183842,0,full,1,0.5,71
-0.429291457,-2.625811103,-1.987516321,-8.897325346,0.74059599,-0.973748189,1.993064298,5.341901932,0,full,1,0.5,72
-0.420074335,-2.648017168,-2.00234869,-7.8848257,0.743147521,-0.961571124,2.003823871,5.328013894,0,full,1,0.5,73
-0.431319603,-2.630929536,-1.974099643,-9.565831006,0.740133238,-0.973320894,1.993429028,5.360960039,0,full,1,0.5,74
-0.428734641,-2.617544261,-2.004590824,-5.894850798,0.740453243,-0.976145288,1.991046707,5.328288971,0,full,1,0.5,75
-0.419163731,-2.64902863,-2.007220458,-19.72153702,0.743518093,-0.960972498,2.004541228,5.321486314,0,full,1,0.5,76
-0.42612787,-2.613743354,-2.012248141,-6.269754917,0.741122567,-0.974530094,1.992446597,5.308159146,0,full,1,0.5,77
-0.430384741,-2.627446339,-1.97836625,-15.14155925,0.738932856,-0.975883725,1.990205704,5.353896466,0,full,1,0.5,78
-0.420155044,-2.63854579,-2.045012976,-8.048639989,0.742916576,-0.969183129,1.997111883,5.250767025,0,full,1,0.5,79
-0.436739317,-2.566812126,-1.972651955,-7.824881015,0.738321403,-0.984133751,1.98386617,5.364929855,0,full,1,0.5,80
-0.426352325,-2.610053342,-2.00981296,-27.91274229,0.741251562,-0.974577084,1.992337252,5.309366746,0,full,1,0.5,81
