"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-3.01128572072377,-1.55183785461454,-20.5366019720285,0.803768988221459,-0.729456128898228,2.22863086722977,8.0229042998774,0,"reduced",1,0.5,1
0,-3.04786615614569,-1.6378109956021,-12.7349772502959,0.81978103546269,-0.702299617984482,2.25907498855594,7.85425508997839,0,"reduced",1,0.5,2
0,-3.01091996674556,-1.54989155233404,-13.2212445690316,0.803554762253074,-0.730212698820367,2.22802479825468,8.0295831869507,0,"reduced",1,0.5,3
0,-3.01163641707802,-1.56969235556651,-19.6399219635743,0.805718998406827,-0.72798987247173,2.23109871951836,8.00894403559762,0,"reduced",1,0.5,4
0,-3.01257478558138,-1.55153380065744,-15.5862545928303,0.802938888989655,-0.726924287799263,2.2299665960349,8.03186992888438,0,"reduced",1,0.5,5
0,-3.00981782755872,-1.54931102277974,-9.61004675969323,0.800836726788587,-0.732935933950813,2.22418923613717,8.05524510793142,0,"reduced",1,0.5,6
0,-3.04157144843967,-1.63415860993832,-13.8110651723156,0.813462932293085,-0.709977008825852,2.24816636267209,7.86606891587739,0,"reduced",1,0.5,7
0,-2.98384464984646,-1.53789473215387,-12.174523301719,0.793888043037678,-0.749344690705151,2.20640720514787,8.07871846520437,0,"reduced",1,0.5,8
0,-3.03035119918262,-1.64436353844673,-14.4305146081959,0.814469562495388,-0.713531000775252,2.24680852121942,7.88468258108797,0,"reduced",1,0.5,9
0,-3.02233157038045,-1.58833148544145,-10.0160716216659,0.814708601173707,-0.714912807233615,2.24670389833009,7.91514716390094,0,"reduced",1,0.5,10
0,-3.00819179575605,-1.53497881026405,-11.3311831843702,0.799657172934809,-0.733769251615696,2.22351568598815,8.10033545721535,0,"reduced",1,0.5,11
0,-3.0261667795212,-1.59646565158084,-22.4966639528739,0.810135224200508,-0.71875008222863,2.23962466496321,7.9033370589449,0,"reduced",1,0.5,12
0,-3.00844278369372,-1.53701507298127,-9.62530846284582,0.798191789791308,-0.735724704055826,2.22063085961939,8.09207339387998,0,"reduced",1,0.5,13
0,-3.00911723193844,-1.54660118295688,-8.59434573326496,0.805209310900719,-0.728808612147873,2.23075117013038,8.04096311180276,0,"reduced",1,0.5,14
0,-3.01712050073378,-1.57271524424778,-8.911322295439,0.807446713856346,-0.724535389924891,2.23406439518676,7.9539139690255,0,"reduced",1,0.5,15
0,-3.05375063926081,-1.64591463988286,-12.4086177737574,0.819835293583763,-0.699978529903878,2.26069049483693,7.84937725927605,0,"reduced",1,0.5,16
0,-3.00965340945758,-1.54261576292476,-33.9224204014067,0.799599452831185,-0.734038880240321,2.22251939219521,8.06532180200886,0,"reduced",1,0.5,17
0,-3.06147732767853,-1.65649220622357,-7.31417051778108,0.82485438487992,-0.692891265454466,2.27019730480563,7.84460930947777,0,"reduced",1,0.5,18
0,-3.03222018331699,-1.58613639199175,-39.4095076103629,0.815347638639059,-0.711966971497563,2.24954852394041,7.92239343943791,0,"reduced",1,0.5,19
0,-3.02200860333637,-1.58714325853056,-7.79321237956201,0.810149957813247,-0.720381153573649,2.23882319121439,7.9202509169838,0,"reduced",1,0.5,20
0,-3.01544305874787,-1.56373742077008,-33.6590128404957,0.809631563028112,-0.723367465772594,2.23727308982416,7.97590801410346,0,"reduced",1,0.5,21
0,-3.0080976963975,-1.53977941661947,-13.7348334574832,0.801782128345759,-0.732615494984374,2.22561724640281,8.07279785383425,0,"reduced",1,0.5,22
0,-3.02674092599168,-1.59909749175467,-22.1154405783283,0.812994279548563,-0.716159477618825,2.24390605315383,7.89704523224898,0,"reduced",1,0.5,23
0,-3.02377746600522,-1.59103773023547,-12.4490087396426,0.810177256633679,-0.719679994098873,2.23917121968593,7.91234728573184,0,"reduced",1,0.5,24
0,-3.03435434618329,-1.62865220453695,-17.1491636799744,0.815082562337585,-0.711448909141596,2.24874080313829,7.87686033045348,0,"reduced",1,0.5,25
