lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.433444957,-2.773564796,-2.253556173,-8.458169067,0.740932338,-0.975689534,1.99299186,5.714383833,0,full,1,0.5,1
-0.373452051,-2.471560757,-1.879373788,-8.021279346,0.756943519,-0.945102257,2.01850488,4.74282297,0,full,1,0.5,2
-0.405103547,-2.598976223,-2.014472954,-6.184229026,0.745163197,-0.964295082,2.001071015,5.076096626,0,full,1,0.5,3
-0.304333548,-2.40438102,-1.661740468,-9.900682731,0.8034385,-0.838927341,2.121895814,4.33000756,0,full,1,0.5,4
-0.412792096,-2.620739554,-2.049435597,-5.312388538,0.743527907,-0.965890852,1.999877537,5.153225053,0,full,1,0.5,5
-0.395679322,-2.523323047,-1.958902029,-7.935736127,0.751424945,-0.956513352,2.007989641,4.939120298,0,full,1,0.5,6
-0.44645126,-2.769159978,-2.269361076,-14.01968264,0.736410294,-0.98540184,1.982140289,5.743096241,0,full,1,0.5,7
-0.369605599,-2.456991484,-1.86351057,-6.062307682,0.756336772,-0.945700669,2.017084551,4.708680002,0,full,1,0.5,8
-0.276770752,-2.352858739,-1.58959477,-27.76660043,0.792976602,-0.854566024,2.103774658,4.312078366,0,full,1,0.5,9
-0.444986213,-2.785517959,-2.273793888,-7.175183524,0.739899573,-0.977272421,1.991620717,5.741766804,0,full,1,0.5,10
-0.423000767,-2.662688431,-2.096113516,-5.504238542,0.742914245,-0.967119103,1.999230901,5.280776198,0,full,1,0.5,11
-0.397531307,-2.579233605,-1.982767276,-6.440952604,0.749401344,-0.955501185,2.00918292,4.999869047,0,full,1,0.5,12
-0.390658706,-2.524868629,-1.944063047,-72.98962529,0.752936512,-0.951944618,2.012013753,4.901818971,0,full,1,0.5,13
-0.406216243,-2.588219792,-2.012959041,-6.222601639,0.744167637,-0.96771059,1.997970477,5.075504349,0,full,1,0.5,14
-0.445177217,-2.765327104,-2.255022731,-7.149442139,0.739968099,-0.979107647,1.989561305,5.693238285,0,full,1,0.5,15
-0.258034329,-2.307254636,-1.536771484,-46.21742893,0.779919187,-0.875697661,2.080650371,4.30723905,0,full,1,0.5,16
-0.441239423,-2.816641547,-2.256053889,-43.43536831,0.741801805,-0.970064106,1.997860937,5.696092597,0,full,1,0.5,17
-0.379422543,-2.516444399,-1.904581785,-13.10476696,0.756968454,-0.942004202,2.020903332,4.80533865,0,full,1,0.5,18
-0.426363204,-2.843398138,-2.261227693,-41.67493247,0.748532177,-0.935232448,2.030030489,5.749030371,0,full,1,0.5,19
-0.406011787,-2.51638684,-1.991027847,-6.246955723,0.747402873,-0.967375196,1.99843155,5.023962364,0,full,1,0.5,20
-0.307419022,-2.403330065,-1.668823945,-14.53085346,0.810221894,-0.829502471,2.132872313,4.342109803,0,full,1,0.5,21
-0.409109653,-2.417617475,-1.944747985,-21.59291337,0.742167539,-0.99310171,1.97494231,4.935335175,0,full,1,0.5,22
-0.446250575,-2.783110643,-2.281176696,-9.667832687,0.740611214,-0.97683847,1.992078058,5.755424402,0,full,1,0.5,23
-0.394684138,-2.554482945,-1.965560971,-11.53106072,0.751239318,-0.954336947,2.010648427,4.953829203,0,full,1,0.5,24
-0.427837253,-2.68333747,-2.132989238,-5.645334974,0.740817404,-0.973938849,1.993479794,5.378329755,0,full,1,0.5,25
-0.436527721,-2.782101315,-2.210416488,-21.73770443,0.742132057,-0.969183042,1.998177228,5.576747241,0,full,1,0.5,26
-0.435173429,-2.694413248,-2.1568035,-7.958413875,0.741322253,-0.976350762,1.991405571,5.430836699,0,full,1,0.5,27
-0.317126124,-2.433084659,-1.754662675,-11.51006289,0.762880029,-0.909093058,2.04911619,4.464092176,0,full,1,0.5,28
-0.446392313,-2.777525506,-2.276355389,-18.04291938,0.738600615,-0.981427893,1.987606517,5.750166215,0,full,1,0.5,29
-0.201615363,-2.366306047,-1.438434618,-8.795088017,0.788750257,-0.853583535,2.102207911,4.398526701,0,full,1,0.5,30
-0.343242335,-2.429058422,-1.794768326,-13.33398807,0.752846177,-0.94654277,2.014921332,4.543098913,0,full,1,0.5,31
-0.432529648,-2.699583045,-2.152042162,-9.752572262,0.742194586,-0.971819429,1.995493652,5.420366832,0,full,1,0.5,32
-0.427599148,-2.714320673,-2.153451844,-16.63496994,0.74380256,-0.962044479,2.004139671,5.429112736,0,full,1,0.5,33
-0.325186226,-2.434090053,-1.77197317,-9.475946875,0.75898112,-0.922106018,2.037090588,4.494634928,0,full,1,0.5,34
-0.444093959,-2.765618004,-2.257042959,-7.976823163,0.736839279,-0.982331769,1.98457938,5.710343854,0,full,1,0.5,35
-0.435286153,-2.693804444,-2.153619591,-26.96187122,0.741302931,-0.977230367,1.990585272,5.423200916,0,full,1,0.5,36
-0.392087695,-2.559857078,-1.958069708,-5.156636656,0.751148228,-0.951299702,2.013473026,4.949470502,0,full,1,0.5,37
-0.439630544,-2.740539104,-2.216327469,-11.81954525,0.738886877,-0.9778393,1.988836702,5.596522278,0,full,1,0.5,38
-0.424502587,-2.770280976,-2.154417158,-8.330335597,0.74453677,-0.957007087,2.008626841,5.439906703,0,full,1,0.5,39
-0.442227174,-2.764037137,-2.249232832,-7.989909373,0.740905457,-0.97578785,1.992826066,5.674808716,0,full,1,0.5,40
-0.441015934,-2.749896754,-2.228407872,-6.340063417,0.739975297,-0.97676963,1.991731155,5.624379047,0,full,1,0.5,41
-0.400545598,-2.55347749,-1.985823485,-27.82334352,0.745241441,-0.965894455,1.99925814,5.007312547,0,full,1,0.5,42
-0.325048994,-2.443829651,-1.783864031,-6.28906428,0.759856332,-0.916940127,2.041940105,4.514989651,0,full,1,0.5,43
-0.398656438,-2.569856538,-1.978418566,-6.455669701,0.749431467,-0.957629174,2.007014236,4.989437112,0,full,1,0.5,44
-0.397415243,-2.619615013,-2.013679628,-6.937772973,0.748318645,-0.94754343,2.015964187,5.082459707,0,full,1,0.5,45
-0.408325602,-2.626415853,-2.041213044,-10.951196,0.744984905,-0.961193862,2.003943427,5.138976508,0,full,1,0.5,46
-0.443343235,-2.784190962,-2.265250829,-11.26188078,0.741511443,-0.972617509,1.995824194,5.717534045,0,full,1,0.5,47
-0.42673825,-2.679783199,-2.118281942,-16.51258764,0.742917987,-0.969512154,1.997237964,5.32804146,0,full,1,0.5,48
-0.293379929,-2.411625704,-1.646212153,-16.73473287,0.790712078,-0.856847483,2.101577076,4.32691158,0,full,1,0.5,49
-0.423710928,-2.664743184,-2.104818368,-17.50673124,0.743023204,-0.969561589,1.997083629,5.293835338,0,full,1,0.5,50
-0.42456081,-2.666296659,-2.106501312,-4.943757189,0.741773403,-0.970988305,1.995935261,5.316669162,0,full,1,0.5,51
-0.350979687,-2.466836527,-1.831138934,-8.160732386,0.757564917,-0.933974934,2.027226376,4.627432584,0,full,1,0.5,52
-0.371457715,-2.364006052,-1.84539054,-7.312106944,0.756156674,-0.955804323,2.008095102,4.664442594,0,full,1,0.5,53
-0.436742858,-2.785087877,-2.246313582,-8.401549007,0.743036407,-0.962324263,2.004655666,5.678291853,0,full,1,0.5,54
-0.415347044,-2.622070632,-2.058739093,-29.85815104,0.743328749,-0.969127879,1.997036339,5.175504422,0,full,1,0.5,55
-0.397458851,-2.578305961,-1.983346554,-21.962584,0.749939055,-0.954242698,2.009996626,4.997394893,0,full,1,0.5,56
-0.443708598,-2.788114808,-2.268176957,-8.246694289,0.741052782,-0.9736285,1.994820665,5.725895303,0,full,1,0.5,57
-0.360020593,-2.547775409,-1.899118839,-9.681464732,0.758367875,-0.918047102,2.04203245,4.809128,0,full,1,0.5,58
-0.263816066,-2.339291758,-1.561990068,-15.61564668,0.779288909,-0.875495303,2.080859562,4.310414327,0,full,1,0.5,59
-0.405362188,-2.53031753,-1.995789976,-9.979013927,0.745311909,-0.969539311,1.996248161,5.032525316,0,full,1,0.5,60
-0.387913648,-2.485949994,-1.92437215,-10.37439205,0.750860616,-0.957844702,2.006313981,4.85808412,0,full,1,0.5,61
-0.438001792,-2.792341986,-2.242084862,-16.78774179,0.742574189,-0.965626341,2.001672667,5.662907541,0,full,1,0.5,62
-0.310242606,-2.423182146,-1.717302119,-11.35374938,0.778809197,-0.877877401,2.080076193,4.404206298,0,full,1,0.5,63
-0.420751447,-2.728145392,-2.163743308,-19.80982716,0.743136266,-0.962826472,2.003492169,5.479700468,0,full,1,0.5,64
-0.272244953,-2.40683097,-1.587222709,-51.40474867,0.792593822,-0.851397221,2.106407134,4.313250999,0,full,1,0.5,65
-0.4163736,-2.603645198,-2.048551489,-4.891193881,0.742039697,-0.972949418,1.993800506,5.168656608,0,full,1,0.5,66
