"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-3.42733576979151,-1.79080462933978,-20.7723581370416,0.807353123498258,-0.673819323125468,2.27953096549129,8.661769492501,0,"reduced",1,0.5,1
0,-2.7567576328886,-1.51961745294259,-7.97611757254818,0.901959595586041,-0.558058927142408,2.41930674165293,6.83382116228658,0,"reduced",1,0.5,2
0,-2.9608917767327,-1.61089159062525,-11.2720027486581,0.829736881044197,-0.701466239217977,2.26468875246492,7.5760208406035,0,"reduced",1,0.5,3
0,-2.51096915468503,-1.45275250016686,-12.1173161513232,1.52974510777056,0.0105359665030324,3.23367941375696,5.61421074038502,0,"reduced",1,0.5,4
0,-3.01163598897187,-1.65061441949113,-9.10533211369362,0.826095822233064,-0.69696376167124,2.26640491875881,7.70795561111863,0,"reduced",1,0.5,5
0,-2.86869187696044,-1.56903224142414,-11.4985889783146,0.838810253927666,-0.678839928164595,2.2848938691472,7.27249260261743,0,"reduced",1,0.5,6
0,-3.44600302359136,-1.79426161463085,-11.9897047666231,0.805514543604376,-0.675097869347583,2.27786221025962,8.70771493543485,0,"reduced",1,0.5,7
0,-2.74148571878469,-1.50771214241933,-10.167456625057,0.917921609904432,-0.532144436693713,2.44977342265736,6.75107564666787,0,"reduced",1,0.5,8
0,-2.47466761669925,-1.49187654232478,-29.2343943472871,1.20058209372574,-0.221265653138607,2.86584388368375,5.33324521815091,0,"reduced",1,0.5,9
0,-3.45354059183455,-1.79612299964885,-18.7481185091596,0.80817255610263,-0.667364859378314,2.28571723088218,8.71608422763466,0,"reduced",1,0.5,10
0,-3.11032406899363,-1.67847186999065,-21.1304428668249,0.822175482359135,-0.689189321014767,2.2719982699493,7.95927398980328,0,"reduced",1,0.5,11
0,-2.91482511334722,-1.58692846261238,-10.5330436263188,0.838630672892585,-0.682948564218139,2.28355231612625,7.40388853235738,0,"reduced",1,0.5,12
0,-2.86434298668582,-1.55563943473167,-33.578689821295,0.835483348458438,-0.688115934801623,2.27511456611213,7.19450768777461,0,"reduced",1,0.5,13
0,-2.96022950160582,-1.61012351137261,-9.22003819864011,0.829334925694336,-0.701047488260679,2.2645201205529,7.56888520205032,0,"reduced",1,0.5,14
0,-3.41696941390436,-1.78900240869511,-19.7221695693091,0.819831047331485,-0.643533722413534,2.31094680699285,8.6374625656225,0,"reduced",1,0.5,15
0,-2.50474978682528,-1.49021815637834,-11.5787353920693,1.13791941707701,-0.282447006248068,2.78012111135917,5.20420413353741,0,"reduced",1,0.5,16
0,-3.42636862447884,-1.78590878500799,-10.2738166140114,0.809468081547282,-0.669639302616051,2.28396518651492,8.64376409578925,0,"reduced",1,0.5,17
0,-2.7919993888503,-1.53480030569569,-15.9099340632733,0.882951862234214,-0.592454503483584,2.38080809392467,6.97581414604657,0,"reduced",1,0.5,18
0,-3.4417746987776,-1.79221543109863,-22.2907280497144,0.807737831282872,-0.670481795871193,2.28269544120213,8.69007348002827,0,"reduced",1,0.5,19
0,-2.92025055518025,-1.59277220736946,-9.70188562499942,0.825998074026522,-0.708178550944902,2.2547071167741,7.44969950454179,0,"reduced",1,0.5,20
0,-2.51466330540626,-1.44881799028941,-10.7902901194021,1.40861607087156,-0.060906808575901,3.11083955958098,5.64705782103787,0,"reduced",1,0.5,21
0,-2.8502922384111,-1.56154240806676,-14.8468507039723,0.851787365796258,-0.652355042935351,2.31425738145066,7.20159486017396,0,"reduced",1,0.5,22
0,-3.46516196374913,-1.79861354012478,-12.576764070283,0.805155084502821,-0.673304073368186,2.27938341618005,8.74008217463591,0,"reduced",1,0.5,23
0,-2.88053900520114,-1.57347391343555,-10.9860957919234,0.836744293418742,-0.682791732781767,2.28053551273684,7.30479891631606,0,"reduced",1,0.5,24
0,-3.17790632384432,-1.70605436676378,-12.5081370715297,0.819293921419964,-0.683806595506629,2.27565069779255,8.12005228210158,0,"reduced",1,0.5,25
0,-3.32449794673253,-1.76548961470967,-33.0213691543201,0.813606555766747,-0.676224359691633,2.27979168549325,8.45122364336643,0,"reduced",1,0.5,26
0,-3.21925139407694,-1.72220639305039,-40.095925618736,0.81496827020206,-0.684723949979247,2.27260195022894,8.21546305346399,0,"reduced",1,0.5,27
0,-2.606735407043,-1.43448098414211,-12.3051514940707,1.08708350864792,-0.315742675179157,2.72395334731955,6.1346517390521,0,"reduced",1,0.5,28
0,-3.45816916997962,-1.79678578564552,-41.9723007712354,0.805642459073928,-0.673139298215582,2.27967075449068,8.7263370614047,0,"reduced",1,0.5,29
0,-2.577662381755,-1.4029635383399,-9.58981174325761,0.936979617285033,-0.500725866194758,2.48118012231259,4.99252195285628,0,"reduced",1,0.5,30
0,-2.6552848930045,-1.46310994569762,-8.8376089953229,1.00774849549181,-0.405382147125333,2.60519894264714,6.37466224787905,0,"reduced",1,0.5,31
0,-3.21811299356078,-1.72279645796024,-25.2841150908864,0.823922900178003,-0.665640540698337,2.29390882402405,8.20695421791039,0,"reduced",1,0.5,32
0,-3.21660550941956,-1.72041959149236,-7.44991011840752,0.809897034782537,-0.694883282582208,2.26083603533264,8.21472304900126,0,"reduced",1,0.5,33
0,-2.62601098739958,-1.44689213759509,-11.1306781291618,1.05116243963371,-0.35439582381596,2.67182551750367,6.23204644779916,0,"reduced",1,0.5,34
0,-3.43025133232862,-1.79339575487524,-8.04373794459059,0.82484034049809,-0.629057879704159,2.3257528292908,8.66251868140364,0,"reduced",1,0.5,35
0,-3.21373693499878,-1.72090093863572,-14.3033997980757,0.814798716059302,-0.685132391795845,2.2719585005154,8.20077996526279,0,"reduced",1,0.5,36
0,-2.90018126935118,-1.57029368257882,-12.6999438686502,0.840492272914928,-0.67438797717287,2.28948889288148,7.27599288710477,0,"reduced",1,0.5,37
0,-3.34175050022059,-1.76367277700699,-9.87390091097497,0.815150380962091,-0.666779070035005,2.2882546897764,8.48293543767578,0,"reduced",1,0.5,38
0,-3.22142074233,-1.72221325224967,-14.067785420536,0.817997990503089,-0.68128737358334,2.27776556245249,8.2202504675873,0,"reduced",1,0.5,39
0,-3.40206967617434,-1.78156896244469,-15.8965484017131,0.810807043865787,-0.668707790271624,2.28520758229772,8.61149478930789,0,"reduced",1,0.5,40
0,-3.36110404763288,-1.76938611540025,-9.93062529106176,0.813211494162509,-0.669291604794245,2.28542414230189,8.52690263441324,0,"reduced",1,0.5,41
0,-2.91279162340826,-1.58706244839602,-41.0790025345496,0.825201569466063,-0.708843549883213,2.25307355823728,7.41956750384046,0,"reduced",1,0.5,42
0,-2.63245225105875,-1.44897195077084,-11.6694844984194,1.04253823308565,-0.364093429137266,2.65895575458642,6.26031429897688,0,"reduced",1,0.5,43
0,-2.91651730848251,-1.58288896278249,-75.3814783294863,0.831880630060129,-0.694773293921882,2.26866378039073,7.38125838533277,0,"reduced",1,0.5,44
0,-2.95988721022419,-1.6121100703974,-11.4696287812624,0.823375864032081,-0.705794801309701,2.25566397456165,7.56806814962892,0,"reduced",1,0.5,45
0,-3.01147379319377,-1.63479309026538,-40.8630442951343,0.826120874127276,-0.697004131862841,2.2663780055468,7.70594017672609,0,"reduced",1,0.5,46
0,-3.43381877568629,-1.79010910075896,-13.0049740223064,0.806630017693267,-0.674430615329334,2.27878057529079,8.67840875450474,0,"reduced",1,0.5,47
0,-3.14933114190295,-1.70836180766219,-12.8823565312038,0.819103069538054,-0.687713689819617,2.27170837855632,8.05376606260139,0,"reduced",1,0.5,48
0,-2.50182395671399,-1.45921075136985,-11.5017586163286,1.64573646563019,0.0697965333819597,3.3432772284756,5.55707549922334,0,"reduced",1,0.5,49
0,-3.124213675402,-1.68403817991041,-12.1544996148926,0.822439747395867,-0.687581827442824,2.27389308192648,7.99397919451311,0,"reduced",1,0.5,50
0,-3.1322025819517,-1.70116824576584,-30.626026126397,0.817811384851984,-0.690264624354534,2.26812330467555,8.01029994535402,0,"reduced",1,0.5,51
0,-2.69493919346715,-1.48441323772473,-11.2379803870778,0.947030117623305,-0.488030997012866,2.50245425107563,6.56727823045112,0,"reduced",1,0.5,52
0,-2.71265611880349,-1.49374565251767,-8.688430762537,0.933713365658705,-0.50763522288471,2.47876231638029,6.64239000772524,0,"reduced",1,0.5,53
0,-3.39934245435594,-1.78047224556375,-10.4388646901746,0.808616003603665,-0.674729980663107,2.27906269111136,8.60844214549189,0,"reduced",1,0.5,54
0,-3.04299791491206,-1.65026136745306,-10.408406047613,0.821037364586998,-0.696980573533467,2.26295348596367,7.78461793833738,0,"reduced",1,0.5,55
0,-2.90704828328425,-1.58614252566518,-9.65634609078038,0.828956292323967,-0.700205465593513,2.26245445715988,7.40398848048035,0,"reduced",1,0.5,56
0,-3.43856216920911,-1.79241246830402,-7.94060972259583,0.80610844438179,-0.674925660668789,2.27818536304203,8.69357017680861,0,"reduced",1,0.5,57
0,-2.78644705460895,-1.53216826127514,-9.25787117834885,0.887544544929475,-0.584492314030631,2.39008850917565,6.9535738584273,0,"reduced",1,0.5,58
0,-2.48780253538976,-1.50370607192746,-13.1536658778862,1.14449871344831,-0.274072242422963,2.79073960722936,5.27212993809469,0,"reduced",1,0.5,59
0,-2.92773528483793,-1.59459343851306,-13.0070963701777,0.827545920511395,-0.706263541288645,2.25782070221962,7.47330387825066,0,"reduced",1,0.5,60
0,-2.81887350420395,-1.5467009895047,-11.1731450575336,0.860130692250581,-0.634946926491165,2.33255423138733,7.08675056118318,0,"reduced",1,0.5,61
0,-3.38395645680019,-1.77697722201302,-9.03690480912607,0.808133522214169,-0.677649061678534,2.27625614848088,8.58848153882943,0,"reduced",1,0.5,62
0,-2.5658546061035,-1.42137178839343,-10.8257795660852,1.19431435553455,-0.215346103561073,2.86656775239705,5.92046566639733,0,"reduced",1,0.5,63
0,-3.34250117116149,-1.74022949838753,-12.6117236219104,0.82995490368122,-0.639831323215346,2.31913726868356,8.28449906435858,0,"reduced",1,0.5,64
0,-2.47644021321686,-1.49347872751973,-10.9753644044628,1.20875929170281,-0.214405816122445,2.87608427048602,5.3258571944735,0,"reduced",1,0.5,65
0,-3.02178335109353,-1.64152040934443,-8.06087467080004,0.823188688004146,-0.699467944728205,2.26256177500068,7.74688901551017,0,"reduced",1,0.5,66
0,-3.228794971991,-1.72722445332912,-10.0221034160488,0.811519292850991,-0.687504314549654,2.26801977720657,8.24308004521088,0,"reduced",1,0.5,67
0,-2.8247280712164,-1.54982533974723,-12.6843014299015,0.860804873052933,-0.633243707284135,2.33440016260426,7.10610845318357,0,"reduced",1,0.5,68
0,-3.43675652178856,-1.79388425413938,-7.8561133109186,0.817705248072459,-0.64492903935996,2.30901356208334,8.67909134273764,0,"reduced",1,0.5,69
0,-2.51540555928567,-1.47508508579856,-16.5592366690794,0.988495171922733,-0.430334589968224,2.57003073046299,5.15012572538023,0,"reduced",1,0.5,70
0,-3.39042883076593,-1.77750833500357,-10.430087040464,0.810148324507839,-0.672774940800656,2.28141391805362,8.5872210297509,0,"reduced",1,0.5,71
0,-2.89564364225795,-1.58109856632101,-18.1458091905046,0.83149350863157,-0.695725941625781,2.26759456673892,7.36723872429536,0,"reduced",1,0.5,72
0,-2.76999698849976,-1.52320971312109,-33.3746324480943,0.889957383646607,-0.583708397549345,2.39281463643677,6.89725896411198,0,"reduced",1,0.5,73
0,-2.75015522703434,-1.48867525893701,-39.0669901442334,0.942920501235072,-0.493858839488321,2.4953427200543,6.60074608770417,0,"reduced",1,0.5,74
0,-2.92027373180397,-1.59241215262908,-13.702909975929,0.823369913456916,-0.711311347768747,2.25009940049637,7.45359705953074,0,"reduced",1,0.5,75
0,-3.04895605113974,-1.65191816655778,-28.1985950591441,0.824541440931702,-0.693900264198442,2.26855645927338,7.80412394499503,0,"reduced",1,0.5,76
