lambdaA,kN,kA,c,mu,sigma,P0,fit,con,model,epsilon,frac,index
-0.000972712,-3.009996384,-1.44277861,-5.446875309,1.032874878,-1.089157929,2.470156162,5.110069138,0,full,1,0.5,1
-0.444746594,-2.809455863,-2.052360924,-7.30547981,0.803836031,-0.915983771,2.076123421,5.063578051,0,full,1,0.5,2
-0.615873456,-0.062007201,-0.092624555,-6.659275544,-2.651211506,2.312329256,4.898142408,2.007336052,0,full,1,0.5,3
-0.049471857,-3.011385829,-1.612517082,-8.437532889,0.994165142,-1.077532894,2.377787047,5.226780975,0,full,1,0.5,4
-0.487402782,-2.830315021,-2.019570686,-6.659896359,0.889257599,-0.909670238,2.176702686,4.923876361,0,full,1,0.5,5
-0.000885681,-3.032983763,-1.46005316,-13.17674713,1.096789257,-1.007441349,2.640173249,5.102008653,0,full,1,0.5,6
-0.458560053,-2.970409899,-2.040753393,-6.069025821,0.999137896,-0.86005927,2.367785965,5.055876004,0,full,1,0.5,7
-0.374196809,-3.022450111,-2.008251801,-6.633217126,0.924489022,-0.929711279,2.246054548,5.146932481,0,full,1,0.5,8
-0.504815447,-2.80504783,-2.045105074,-58.06454306,0.90287643,-0.875315851,2.200448896,4.948934285,0,full,1,0.5,9
-0.407586748,-2.684686357,-2.36968744,-45.82179839,-3.695230596,1.149308257,4.682295418,15.29440482,0,full,1,0.5,10
-0.52270314,-2.749999411,-2.060301294,-20.12528017,1.069052767,-0.761088369,2.497874388,4.926392482,0,full,1,0.5,11
-0.06014192,-3.007083382,-1.622913127,-6.403913645,0.954122526,-1.154781793,2.26632845,5.225087884,0,full,1,0.5,12
-0.373361207,-2.678368011,-2.17358586,-17.97922517,0.733866483,-0.775465061,2.114826941,6.419689266,0,full,1,0.5,13
-0.407797294,-2.478645688,-2.11220825,-10.28405562,0.736310949,-0.9059541,2.027228193,5.73506232,0,full,1,0.5,14
-0.000694894,-3.031208603,-1.458055875,-11.20308832,1.090548768,-1.005062526,2.623622247,5.117715853,0,full,1,0.5,15
-0.504355169,-2.742023518,-2.057668693,-7.019959983,1.083772735,-0.769731346,2.523440675,4.979674542,0,full,1,0.5,16
-0.000260706,-2.998099989,-1.40715535,-8.966491076,1.045624647,-1.204732953,2.499530594,4.895992761,0,full,1,0.5,17
-0.013472033,-3.00708581,-1.484622222,-11.88959705,1.028300366,-1.114281105,2.457346107,5.087687478,0,full,1,0.5,18
-0.061242774,-3.006695401,-1.620521759,-4.936093107,0.923608021,-1.174906065,2.192489748,5.310996051,0,full,1,0.5,19
-0.477438241,-2.8730952,-2.056353305,-13.16399391,0.855538299,-0.892340908,2.13738104,4.985758946,0,full,1,0.5,20
-0.40371808,-2.43720713,-2.111177623,-7.474698677,0.734061018,-0.913089943,2.020107093,5.758071497,0,full,1,0.5,21
-0.467455434,-2.795368374,-2.017524189,-15.56112808,0.979849434,-0.825072321,2.342043251,4.905254038,0,full,1,0.5,22
-0.000300678,-3.017329826,-1.422362483,-32.04967078,1.076935868,-1.097593492,2.592428419,4.999899944,0,full,1,0.5,23
-0.481313312,-2.93247432,-2.045680542,-18.35354645,1.056219319,-0.790515514,2.47677185,4.999190293,0,full,1,0.5,24
-0.371324284,-2.807567526,-2.341070909,-9.731881709,0.693178156,-0.605086587,2.21295774,8.105690659,0,full,1,0.5,25
-0.007414104,-3.008223286,-1.449658695,-11.53958087,1.040283913,-1.169276817,2.48420248,4.969316415,0,full,1,0.5,26
-0.527406266,-2.722772256,-2.064972904,-4.870679462,1.138378404,-0.711290086,2.623105843,4.934791777,0,full,1,0.5,27
-0.000310248,-3.012875092,-1.452446382,-3.934232176,1.072497113,-1.056817885,2.575436576,5.083388742,0,full,1,0.5,28
-0.014016868,-3.010357173,-1.504125847,-10.09334882,1.056777082,-1.080550029,2.534883635,5.073623684,0,full,1,0.5,29
-0.244438956,-2.934770582,-1.879897579,-8.994543149,1.670106984,-0.503680659,3.775021978,5.269034112,0,full,1,0.5,30
-0.03896933,-3.010594291,-1.58061642,-11.9397205,1.003266042,-1.103219565,2.394634012,5.165126688,0,full,1,0.5,31
-0.000975833,-3.006368649,-1.457088956,-9.065230097,1.09304284,-1.116701432,2.642209976,4.932959965,0,full,1,0.5,32
-0.244682913,-2.932907009,-1.881024695,-7.636901334,1.781905983,-0.46005238,3.99499311,5.279030056,0,full,1,0.5,33
-0.493368194,-2.938500479,-2.044361683,-7.935922593,1.094669748,-0.740658055,2.54909885,4.946854317,0,full,1,0.5,34
-0.000722414,-3.015864645,-1.445311028,-8.967914069,1.063441058,-1.064181981,2.553181892,5.070760382,0,full,1,0.5,35
-0.000722414,-2.998633706,-1.435572021,-7.201916712,1.078203716,-1.176573441,2.60502702,4.876431653,0,full,1,0.5,36
-0.515464532,-2.738664898,-2.052465699,-5.583628412,1.105228903,-0.730183752,2.56368146,4.922650403,0,full,1,0.5,37
-0.236814252,-2.963987066,-1.861804999,-12.20997718,1.406251519,-0.589399038,3.218489265,5.241914445,0,full,1,0.5,38
-0.000436116,-3.025734528,-1.473311113,-8.046279279,1.131533957,-0.986107461,2.731025513,5.075396597,0,full,1,0.5,39
-0.059495614,-3.03217472,-1.653391757,-5.457126701,1.009532688,-0.978657032,2.432899578,5.336872835,0,full,1,0.5,40
-0.000722412,-2.994698955,-1.431818513,-6.866084398,1.068431657,-1.190992094,2.571506883,4.873910615,0,full,1,0.5,41
-0.481758511,-2.866794621,-2.037268423,-7.215870638,1.040795362,-0.791845878,2.448829246,4.953412675,0,full,1,0.5,42
-0.231014072,-2.936469025,-1.854623444,-7.830368915,1.354079398,-0.58485734,3.101067232,5.23544163,0,full,1,0.5,43
-0.330383508,-3.009537782,-1.980703764,-7.482169706,1.072113852,-0.756062702,2.554956442,5.223442551,0,full,1,0.5,44
