"lambdaA","kN","kA","c","mu","sigma","P0","fit","con","model","epsilon","frac","index"
0,-3.014718803,-1.447522972,-10.59406604,1.059610781,-1.055357705,2.543654189,5.099206351,0,"reduced",1,0.5,1
0,-3.020681558,-1.600412008,-10.56314522,0.796724327,-0.83530841,2.14905517,7.603191957,0,"reduced",1,0.5,2
0,-0.053418807,-0.053005703,-2.829970641,5.372842132,1.866697285,4.706914228,2.45391556,0,"reduced",1,0.5,3
0,-3.031949223,-1.479629471,-29.80988806,1.084575034,-0.94612514,2.607215524,5.242161072,0,"reduced",1,0.5,4
0,-3.162547935,-1.74588584,-8.406771311,0.797169776,-0.980179726,2.067072422,7.051259276,0,"reduced",1,0.5,5
0,-3.013955099,-1.447566546,-11.28756188,1.068502035,-1.045955537,2.56726172,5.094355703,0,"reduced",1,0.5,6
0,-3.122799982,-1.678819803,-11.42820959,0.856290184,-0.920590398,2.187839752,6.605149115,0,"reduced",1,0.5,7
0,-3.1108006,-1.655844742,-11.23718667,0.893377188,-0.876641275,2.265546826,6.431956347,0,"reduced",1,0.5,8
0,-3.033210073,-1.777502665,-15.03576712,0.782438812,-0.982126323,2.043194453,7.243647559,0,"reduced",1,0.5,9
0,-2.692557518,-2.105823378,-9.012242884,-12.58125793,1.632440289,7.535276306,20.74890508,0,"reduced",1,0.5,10
0,-3.141143773,-1.709913215,-13.80911652,0.818250834,-0.967649496,2.10599527,6.829474825,0,"reduced",1,0.5,11
0,-3.028652641,-1.477425105,-8.792992935,1.081660706,-0.954247379,2.600721996,5.236419537,0,"reduced",1,0.5,12
0,-3.21849819,-1.855508212,-9.913214352,1.289729855,0.1587555,3.131732336,8.721674385,0,"reduced",1,0.5,13
0,-3.134459874,-1.751361628,-17.41512645,0.897594993,-0.426233061,2.510937528,8.226126417,0,"reduced",1,0.5,14
0,-3.018486511,-1.452378582,-8.504422762,1.075396101,-1.02565674,2.585032915,5.113721992,0,"reduced",1,0.5,15
0,-3.136587173,-1.700654197,-13.2828155,0.843639759,-0.913941637,2.172886604,6.734291968,0,"reduced",1,0.5,16
0,-3.001693044,-1.406214368,-8.092097865,1.067631006,-1.179657859,2.572070526,4.892842529,0,"reduced",1,0.5,17
0,-3.012300439,-1.443875878,-10.43553172,1.069725142,-1.055069415,2.570607639,5.075746324,0,"reduced",1,0.5,18
