kappaN,kappaA,gammaN,gammaA,sigma1,sigma2,pR,rho,epsilon,phi,frac,bias,xc
0.125807656,0.474564148,0.45,2.727022749,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.728577718,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.242670835,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.261650557,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.36241585,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.001620013,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.822689134,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.686017317,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.165589471,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.840610433,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.630902782,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.099493321,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.945758515,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.236527584,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.675780576,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.115406066,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.690329078,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.808650996,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.785747658,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.137084825,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.270634876,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.95174617,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.893492497,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.025209271,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.832114273,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.33645701,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.965379484,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.425118783,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.863465172,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.013474589,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.515467524,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.948811001,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.957329627,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.460296782,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.722688283,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.944064835,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.003701017,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.390412858,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.972626556,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.627137327,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.469080309,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.113343002,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.470983684,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.082599509,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.235382655,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.361963297,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.761827832,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.744550455,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.246045073,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.672282393,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.6903524,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.597853533,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.632471918,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.621525661,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.43947937,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.100488143,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.789745882,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.795430395,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.142123602,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.15638461,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.876292052,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.581457101,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.353373366,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.055782712,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.162681299,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.4002657,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.005022703,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.888632166,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.757036284,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.093091032,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.580466969,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.07178236,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.762655739,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.612440171,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.139766671,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.459950176,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.574481723,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.544210718,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.330801102,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.12742162,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.174237062,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.708249253,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.395280015,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.752941952,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.724142428,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.332379287,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.296358245,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.522346354,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.868710269,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.713959096,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.033184678,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.07015536,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.560783686,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.294408393,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,2.300464285,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.235674346,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,1.479307244,1,1.1,0.01,150,1,0,0.5,stages,0.5
