kappaN,kappaA,gammaN,gammaA,sigma1,sigma2,pR,rho,epsilon,phi,frac,bias,xc
0.125807656,0.474564148,2.867608264,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.121134531,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.954939758,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.263917056,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.583971261,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.588474177,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.359835983,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.633096381,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.025571534,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.669111983,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.653104617,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.074993584,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.685348309,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.658846905,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.37113554,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.836802852,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.565702831,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.193039311,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.248530168,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.515151289,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.738879355,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.548198407,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.938250382,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.204402381,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.589380714,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.990119758,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.891237971,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.033796652,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.162475474,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.082924783,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.261688959,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.317156526,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.076009229,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.801727506,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.97845979,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.496089209,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.179391664,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.046969468,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.786899559,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.721524897,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.402619167,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.551092145,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.602093749,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.807577281,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.946338335,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.744282972,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.081703365,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.193612667,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.617045839,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.598958111,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.547904229,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.551372046,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.624504296,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.058374406,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.929077321,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.574268734,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.252775927,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.784751702,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.762913266,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.896769621,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.201031912,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.316365467,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.031221411,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.665140595,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.817190695,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.172163997,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.232408814,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.110798564,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.783156313,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.122219609,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.685750299,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.519630876,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.946783641,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.683641771,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.509237729,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.599433747,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.740287699,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.48519643,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.286100229,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.478924404,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.085379106,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.764106196,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.713545076,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.221599781,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.771886523,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.708282714,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.612781538,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.048112701,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.866645707,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.266251143,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.954767832,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.2680062,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.408261088,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.714413071,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.465461042,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.631706284,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.245843615,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.547804985,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.893389666,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.067376061,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.104286249,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.214838865,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.59045584,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.433692316,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.66146011,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.469846574,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.637495286,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.440853542,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.563040756,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.408875091,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.875430249,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.634649624,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.099263542,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.498375983,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.064397457,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.347903796,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.279103362,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.699925123,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.927449183,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.256067796,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.871579106,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.365792462,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.999029401,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.770905315,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.181957137,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.439797567,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.796192204,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.559871252,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.87398139,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.059414579,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.02907883,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.981214955,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.115913162,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.498966452,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.617141905,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.29426454,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.617530238,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.039086944,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.191344081,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.319321466,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.193293615,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.113615487,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.389720877,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.165764903,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.97215056,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.132305878,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.007967992,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.600886373,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,2.862105759,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.2195496,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.812166025,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.250148541,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,1.713380664,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
