kappaN,kappaA,gammaN,gammaA,sigma1,sigma2,pR,rho,epsilon,phi,frac,bias,xc
0.125807656,0.476170501,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.80723042,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.480595049,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.660166215,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.705244744,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.912400255,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.323801479,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.955360508,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.998127994,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.839589468,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.248055298,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.193721226,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.011887238,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.046534349,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.323940125,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.562817912,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.472835683,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.739944451,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.059501964,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.368567756,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.177919779,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.551589763,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.270336555,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.301201794,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.272326045,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.847172529,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.608912548,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.432263799,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.922241357,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.902649109,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.433102352,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.265629209,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.278054283,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.328029299,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.726928164,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.137400342,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.43156944,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.809615516,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.587765756,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.585725856,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.513586988,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.953418664,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.217385818,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
