kappaN,kappaA,gammaN,gammaA,sigma1,sigma2,pR,rho,epsilon,phi,frac,bias,xc
0.230206887,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.013132922,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.49660789,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.006226656,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.724740303,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.483791858,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.310373464,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.537962912,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.195996538,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.558340258,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.548447317,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.605071751,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.139550911,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.53366745,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.999599189,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.847842385,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.403755127,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.894237754,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.66305131,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.63499156,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.766506107,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.428612341,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.045329819,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.355156439,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.435868084,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.162179838,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.314458386,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.121251478,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.929355727,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.114700164,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.284844869,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.291939804,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.56593118,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.474558952,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.514936609,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.706753304,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.593199854,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.813039326,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.338958249,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.003730874,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.816230537,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.342771281,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.825662663,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.468091002,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.73739321,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.861509682,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.1949914,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.800187567,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.06362939,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.782822302,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.677537661,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.511782963,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.158068475,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.135675678,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.046589935,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.297950401,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.402784868,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.333449115,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.211178508,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.018298491,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.549287026,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.481206144,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.119570895,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.778161432,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.611740016,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.369532161,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.99666089,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.511560215,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.412291172,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
0.15057763,0.474564148,0.45,0.9,1,1.1,0.01,150,1,0,0.5,stages,0.5
