kappaN,kappaA,gammaN,gammaA,sigma1,sigma2,pR,rho,epsilon,phi,frac,bias,xc
0.125807656,0.474564148,0.45,0.9,1,1.1,0.027356723,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.022209023,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.026553053,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.021777228,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.017691239,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.016914513,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.008476904,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.02960134,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.017327464,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.011648775,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.008354749,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.006088132,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.011296414,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.010966184,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.007487634,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.020164013,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.014249891,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.028050991,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.00490503,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.013536227,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.012227865,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.012214888,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.021210677,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1,1.1,0.022072973,150,1,0,0.5,stages,0.5
