kappaN,kappaA,gammaN,gammaA,sigma1,sigma2,pR,rho,epsilon,phi,frac,bias,xc
0.125807656,0.474564148,0.45,0.9,3.154323931,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.079360503,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,0.002938418,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,2.825113412,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.30007664,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,3.167300404,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.524697453,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.625589456,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.217321166,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,0.119683364,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.405669614,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,2.837323421,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,0.77674092,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,0.891815375,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,3.117139569,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.454882395,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,3.869257729,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,3.219300891,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,2.670280482,1.1,0.01,150,1,0,0.5,stages,0.5
0.125807656,0.474564148,0.45,0.9,1.147058896,1.1,0.01,150,1,0,0.5,stages,0.5
